goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,go_to_door,inclusive,0,168,0.8165717124938965,0.5899493098258972,0.38261938095092773,1.1062482595443726
0,go_to_door,inclusive,1,168,1.2500543594360352,0.27792438864707947,1.1066172122955322,1.3247065544128418
0,go_to_door,inclusive,2,168,1.341629981994629,0.08630333840847015,1.3248356580734253,1.3548786640167236
0,go_to_door,inclusive,3,168,1.3637028932571411,0.053423840552568436,1.3552371263504028,1.3715471029281616
0,go_to_door,inclusive,4,168,1.3780760765075684,0.05557692050933838,1.3717906475067139,1.3845384120941162
0,go_to_door,inclusive,5,168,1.3904057741165161,0.046373456716537476,1.3847286701202393,1.3960247039794922
0,go_to_door,inclusive,6,168,1.4039475917816162,0.06550882756710052,1.3960306644439697,1.4109209775924683
0,go_to_door,inclusive,7,168,1.4192440509796143,0.08643278479576111,1.411048173904419,1.427606463432312
0,go_to_door,inclusive,8,168,1.4350544214248657,0.09670531004667282,1.427640438079834,1.4450254440307617
0,go_to_door,inclusive,9,168,1.4643030166625977,0.11308509856462479,1.4451234340667725,1.587730884552002
0,go_to_door,exclusive,0,168,0.8165717124938965,0.551276683807373,0.38261938095092773,1.1062482595443726
0,go_to_door,exclusive,1,168,1.2500543594360352,0.25485292077064514,1.1066172122955322,1.3247065544128418
0,go_to_door,exclusive,2,168,1.341629981994629,0.08630333840847015,1.3248356580734253,1.3548786640167236
0,go_to_door,exclusive,3,168,1.3637028932571411,0.0490250289440155,1.3552371263504028,1.3715471029281616
0,go_to_door,exclusive,4,168,1.3780760765075684,0.05557692050933838,1.3717906475067139,1.3845384120941162
0,go_to_door,exclusive,5,168,1.3904057741165161,0.046373456716537476,1.3847286701202393,1.3960247039794922
0,go_to_door,exclusive,6,168,1.4039475917816162,0.06550882756710052,1.3960306644439697,1.4109209775924683
0,go_to_door,exclusive,7,168,1.4192440509796143,0.08101612329483032,1.411048173904419,1.427606463432312
0,go_to_door,exclusive,8,168,1.4350544214248657,0.09670531004667282,1.427640438079834,1.4450254440307617
0,go_to_door,exclusive,9,168,1.4643030166625977,0.11308509856462479,1.4451234340667725,1.587730884552002
1,fetch,inclusive,0,221,1.163760781288147,0.1649400293827057,0.22218286991119385,1.4083516597747803
1,fetch,inclusive,1,221,1.47908616065979,0.22903484106063843,1.408797264099121,1.5195623636245728
1,fetch,inclusive,2,220,1.535974383354187,0.24602966010570526,1.5198644399642944,1.5483989715576172
1,fetch,inclusive,3,221,1.5584057569503784,0.20043638348579407,1.5484567880630493,1.565810203552246
1,fetch,inclusive,4,220,1.571460485458374,0.14044684171676636,1.5658307075500488,1.5765095949172974
1,fetch,inclusive,5,221,1.5810258388519287,0.0893711969256401,1.5765166282653809,1.5867422819137573
1,fetch,inclusive,6,220,1.5960521697998047,0.06050528585910797,1.5867536067962646,1.6055445671081543
1,fetch,inclusive,7,221,1.6168532371520996,0.048832010477781296,1.6057968139648438,1.6297324895858765
1,fetch,inclusive,8,220,1.6560794115066528,0.026169590651988983,1.6298043727874756,1.68864107131958
1,fetch,inclusive,9,221,1.7682254314422607,0.04194328188896179,1.6889629364013672,2.01704740524292
1,fetch,exclusive,0,221,1.163760781288147,0.15547849237918854,0.22218286991119385,1.4083516597747803
1,fetch,exclusive,1,221,1.47908616065979,0.22634254395961761,1.408797264099121,1.5195623636245728
1,fetch,exclusive,2,220,1.535974383354187,0.2416478395462036,1.5198644399642944,1.5483989715576172
1,fetch,exclusive,3,221,1.5584057569503784,0.1879522055387497,1.5484567880630493,1.565810203552246
1,fetch,exclusive,4,220,1.571460485458374,0.13581502437591553,1.5658307075500488,1.5765095949172974
1,fetch,exclusive,5,221,1.5810258388519287,0.0893711969256401,1.5765166282653809,1.5867422819137573
1,fetch,exclusive,6,220,1.5960521697998047,0.05796437710523605,1.5867536067962646,1.6055445671081543
1,fetch,exclusive,7,221,1.6168532371520996,0.04508087411522865,1.6057968139648438,1.6297324895858765
1,fetch,exclusive,8,220,1.6560794115066528,0.026169590651988983,1.6298043727874756,1.68864107131958
1,fetch,exclusive,9,221,1.7682254314422607,0.04194328188896179,1.6889629364013672,2.01704740524292
2,go_to_object,inclusive,0,162,0.9557605385780334,0.0,0.611931324005127,0.9746395349502563
2,go_to_object,inclusive,1,162,0.9833298921585083,0.0,0.9746459722518921,0.9902508854866028
2,go_to_object,inclusive,2,161,0.9974988698959351,0.0,0.9903356432914734,1.005785346031189
2,go_to_object,inclusive,3,162,1.0162373781204224,0.0,1.0060451030731201,1.0277901887893677
2,go_to_object,inclusive,4,161,1.0374304056167603,0.0,1.0279414653778076,1.0478702783584595
2,go_to_object,inclusive,5,162,1.0581034421920776,0.0,1.0479553937911987,1.0694634914398193
2,go_to_object,inclusive,6,161,1.081846833229065,0.0,1.069516897201538,1.0941200256347656
2,go_to_object,inclusive,7,162,1.104169249534607,0.0,1.094138741493225,1.1141681671142578
2,go_to_object,inclusive,8,161,1.1256405115127563,0.0,1.1143354177474976,1.1369367837905884
2,go_to_object,inclusive,9,162,1.1514766216278076,0.0,1.137535572052002,1.1774569749832153
2,go_to_object,exclusive,0,162,0.9557605385780334,0.0,0.611931324005127,0.9746395349502563
2,go_to_object,exclusive,1,162,0.9833298921585083,0.0,0.9746459722518921,0.9902508854866028
2,go_to_object,exclusive,2,161,0.9974988698959351,0.0,0.9903356432914734,1.005785346031189
2,go_to_object,exclusive,3,162,1.0162373781204224,0.0,1.0060451030731201,1.0277901887893677
2,go_to_object,exclusive,4,161,1.0374304056167603,0.0,1.0279414653778076,1.0478702783584595
2,go_to_object,exclusive,5,162,1.0581034421920776,0.0,1.0479553937911987,1.0694634914398193
2,go_to_object,exclusive,6,161,1.081846833229065,0.0,1.069516897201538,1.0941200256347656
2,go_to_object,exclusive,7,162,1.104169249534607,0.0,1.094138741493225,1.1141681671142578
2,go_to_object,exclusive,8,161,1.1256405115127563,0.0,1.1143354177474976,1.1369367837905884
2,go_to_object,exclusive,9,162,1.1514766216278076,0.0,1.137535572052002,1.1774569749832153
3,put_near,inclusive,0,162,0.03809242323040962,0.0,0.033536676317453384,0.038442689925432205
3,put_near,inclusive,1,162,0.03924372419714928,0.0,0.03844550997018814,0.039334386587142944
3,put_near,inclusive,2,161,0.03945685550570488,0.0,0.03933446854352951,0.040271908044815063
3,put_near,inclusive,3,162,0.04028019681572914,0.0,0.04027223959565163,0.040288202464580536
3,put_near,inclusive,4,161,0.040309350937604904,0.0,0.040288470685482025,0.04037781059741974
3,put_near,inclusive,5,162,0.0411408506333828,0.0,0.040378570556640625,0.04125416278839111
3,put_near,inclusive,6,161,0.0412735641002655,0.0,0.04125417768955231,0.04135395213961601
3,put_near,inclusive,7,162,0.042135581374168396,0.0,0.04135444760322571,0.042253125458955765
3,put_near,inclusive,8,161,0.04293864592909813,0.0,0.04225313663482666,0.04424812272191048
3,put_near,inclusive,9,162,0.05693424493074417,0.0,0.044251661747694016,0.28628116846084595
3,put_near,exclusive,0,162,0.03809242323040962,0.0,0.033536676317453384,0.038442689925432205
3,put_near,exclusive,1,162,0.03924372419714928,0.0,0.03844550997018814,0.039334386587142944
3,put_near,exclusive,2,161,0.03945685550570488,0.0,0.03933446854352951,0.040271908044815063
3,put_near,exclusive,3,162,0.04028019681572914,0.0,0.04027223959565163,0.040288202464580536
3,put_near,exclusive,4,161,0.040309350937604904,0.0,0.040288470685482025,0.04037781059741974
3,put_near,exclusive,5,162,0.0411408506333828,0.0,0.040378570556640625,0.04125416278839111
3,put_near,exclusive,6,161,0.0412735641002655,0.0,0.04125417768955231,0.04135395213961601
3,put_near,exclusive,7,162,0.042135581374168396,0.0,0.04135444760322571,0.042253125458955765
3,put_near,exclusive,8,161,0.04293864592909813,0.0,0.04225313663482666,0.04424812272191048
3,put_near,exclusive,9,162,0.05693424493074417,0.0,0.044251661747694016,0.28628116846084595
