event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,kill_goblin,0,kill_goblin,64,0.002077610930427909,0.9916383624076843,0.998991072177887,1.0009900331497192
0,kill_goblin,1,bury_bones,64,0.0002079878468066454,0.9865785837173462,0.9899993538856506,0.991641104221344
0,kill_goblin,2,chop_logs,64,0.0004240606212988496,0.9945345520973206,0.9976335763931274,0.9996147155761719
0,kill_goblin,3,light_fire,64,0.0020133566576987505,0.9922531843185425,0.996097207069397,0.9979519844055176
0,kill_goblin,4,catch_fish,64,0.0019343823660165071,0.9919347763061523,0.9959276914596558,0.9978513121604919
1,bury_bones,0,kill_goblin,64,0.21959534287452698,0.809969425201416,0.9342206120491028,0.9351295232772827
1,bury_bones,1,bury_bones,64,0.16370633244514465,0.7775445580482483,0.9300457239151001,0.930929958820343
1,bury_bones,2,chop_logs,64,0.09607052803039551,0.923011064529419,0.9304841756820679,0.9312523603439331
1,bury_bones,3,light_fire,64,0.22948068380355835,0.8115754127502441,0.9311838150024414,0.9318780303001404
1,bury_bones,4,catch_fish,64,0.22458860278129578,0.8076407313346863,0.9312043190002441,0.9320123195648193
2,chop_logs,0,kill_goblin,64,0.8929749727249146,0.15241789817810059,0.9931285381317139,0.9923039078712463
2,chop_logs,1,bury_bones,64,0.6104236841201782,0.3240358233451843,0.9855344295501709,0.9842393398284912
2,chop_logs,2,chop_logs,64,0.7980432510375977,0.22759419679641724,0.9923571348190308,0.99113929271698
2,chop_logs,3,light_fire,64,0.8899579048156738,0.16642893850803375,0.9907792806625366,0.9896228313446045
2,chop_logs,4,catch_fish,64,0.8866475820541382,0.16394999623298645,0.9903088808059692,0.9893444776535034
