observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,go_to_door,0,go_to_door,0.011365490412671618,0.655583828102912,0.018613835521889877,6.882077390931348e-08,3.363262918402517e-07,0.020290251702719198,0.09910968660968661,0.9289126468650769,0.9969422398978829,0.9974522093931834
0,go_to_door,1,fetch,2.3221779195213595e-07,,,,2.3221779195213595e-07,0.0002741201139574674,,1.0,0.9969835932829871,
0,go_to_door,2,go_to_object,3.447060062390192e-07,,,,3.447060062390192e-07,0.00027332194087094,,1.0,0.9969027593507239,
0,go_to_door,3,put_near,3.4864460699462554e-07,,,,3.4864460699462554e-07,0.0002838362201773741,,1.0,0.9970313781869272,
0,go_to_door,4,unlock_pickup,3.747717087057209e-07,,,,3.747717087057209e-07,0.00028891229949005483,,1.0,0.9970440944435209,
0,go_to_door,5,pickup_dist,3.676467759631429e-07,,,,3.676467759631429e-07,0.0002790018541729031,,1.0,0.9968812331881755,
1,fetch,0,go_to_door,0.00041458034318874023,,,,0.00041458034318874023,0.00138975841777066,,1.0,0.9957959854511047,
1,fetch,1,fetch,0.002713278631998262,0.9991171277221895,0.828409090909091,0.10451460218443269,1.3403136400390838e-07,0.002517475648796803,0.9997057092407299,0.999998960715148,0.997049000945212,0.6557717702041069
1,fetch,2,go_to_object,0.0004221708809496189,,,,0.0004221708809496189,0.001429204376212313,,1.0,0.9957222423158433,
1,fetch,3,put_near,0.0004225985787814888,,,,0.0004225985787814888,0.0014530594113809972,,1.0,0.9958560976748767,
1,fetch,4,unlock_pickup,0.0004388954033794351,,,,0.0004388954033794351,0.0014517743173232875,,1.0,0.9958756272437985,
1,fetch,5,pickup_dist,0.00042756230169764607,,,,0.00042756230169764607,0.0014344432115380016,,1.0,0.9957120037520212,
2,go_to_object,0,go_to_door,2.1679204009514164e-07,,,,2.1679204009514164e-07,0.00023680457796169515,,1.0,0.9968789964914322,
2,go_to_object,1,fetch,1.5494119330316786e-07,,,,1.5494119330316786e-07,0.00023356665614063788,,1.0,0.9969093804834875,
2,go_to_object,2,go_to_object,0.010331600606739476,0.7513909495548962,0.037525734633482466,2.623901892290226e-07,2.2805504916691338e-07,0.015594849095316577,0.34700209197603094,0.9654912727762345,0.9968295379618789,0.9968814651171366
2,go_to_object,3,put_near,2.2185625793013935e-07,,,,2.2185625793013935e-07,0.00022970576964515395,,1.0,0.9969566056717876,
2,go_to_object,4,unlock_pickup,2.2475663441473933e-07,,,,2.2475663441473933e-07,0.00022812825668592257,,1.0,0.996974694020937,
2,go_to_object,5,pickup_dist,2.425609911862642e-07,,,,2.425609911862642e-07,0.00026093427736388625,,1.0,0.9968178052007278,
3,put_near,0,go_to_door,1.875715788867589e-07,,,,1.875715788867589e-07,0.0002968879693215436,,1.0,0.9968071260886027,
3,put_near,1,fetch,1.3171201150966287e-07,,,,1.3171201150966287e-07,0.00030759201929120734,,1.0,0.9968253859125151,
3,put_near,2,go_to_object,1.8362801753609156e-07,,,,1.8362801753609156e-07,0.00033107484773834154,,1.0,0.9967540545702571,
3,put_near,3,put_near,1.8883050220553786e-07,,,,1.8883050220553786e-07,0.00028430917623019456,,1.0,0.9968833667733291,
3,put_near,4,unlock_pickup,1.9732667206606135e-07,,,,1.9732667206606135e-07,0.0002854175054200805,,1.0,0.9968955067567306,
3,put_near,5,pickup_dist,2.0226804118591133e-07,,,,2.0226804118591133e-07,0.0003380839998769288,,1.0,0.9967394825624357,
