event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,0.00016184663400053978,0.5388630628585815,0.0538126565515995,0.05533747002482414
0,go_to_door,1,fetch,16,9.690849765320309e-06,0.9494724869728088,0.0579722598195076,0.05958826094865799
0,go_to_door,2,go_to_object,16,0.0011412829626351595,0.2556975185871124,0.05104680359363556,0.052458155900239944
0,go_to_door,3,put_near,16,0.0002179917210014537,0.5565071105957031,0.05320021137595177,0.05471368879079819
0,go_to_door,4,unlock_pickup,16,0.00024765924899838865,0.5188136100769043,0.05344703793525696,0.05489562824368477
0,go_to_door,5,pickup_dist,16,0.0002208121441071853,0.5446392297744751,0.053450021892786026,0.05515156686306
1,fetch,0,go_to_door,14,0.046912550926208496,0.8772743940353394,0.05014035105705261,0.05173792690038681
1,fetch,1,fetch,14,0.01228537131100893,0.9829478859901428,0.05130020156502724,0.052794985473155975
1,fetch,2,go_to_object,14,0.07788240909576416,0.7744019627571106,0.04919089749455452,0.05085030198097229
1,fetch,3,put_near,14,0.05444065108895302,0.8793334364891052,0.049671001732349396,0.05133555084466934
1,fetch,4,unlock_pickup,14,0.05440942198038101,0.8733711838722229,0.04951042681932449,0.05117688328027725
1,fetch,5,pickup_dist,14,0.05273738503456116,0.8771873116493225,0.04990515857934952,0.05141467973589897
