actor_modal_goal_diversity,actor_pairwise_goal_js_mean,actor_pairwise_goal_js_p95,arm,continuation_all_mean,continuation_factual_mean,continuation_nonmatching_mean,goal_queries,jobs,reward_all_mean,reward_factual_mean,reward_factual_minus_nonmatching,reward_goal_range_mean,reward_goal_std_mean,reward_goal_top1_accuracy,reward_nonmatching_event_rate,reward_nonmatching_mean,reward_slowvalue_within_state_correlation,reward_value_within_state_correlation,reward_value_within_state_slope,scope,slowvalue_all_mean,slowvalue_factual_mean,slowvalue_nonmatching_mean,slowvalue_query_over_threshold_rate,state_kind,states,step,stop_factual_mean,stop_factual_minus_nonmatching,stop_goal_top1_accuracy,stop_nonmatching_mean,value_all_goals_above_factual_return_state_rate,value_all_goals_over_threshold_state_rate,value_all_mean,value_factual_bias_vs_realized,value_factual_mae_vs_realized,value_factual_mean,value_factual_minus_nonmatching,value_goal_range_mean,value_goal_relative_range_mean,value_goal_std_mean,value_goal_top1_accuracy,value_max_across_goals_mean,value_min_across_goals_mean,value_nonmatching_mean,value_query_above_factual_return_rate,value_query_over_threshold_rate,value_slowvalue_within_state_correlation
0.24603661518608902,2.707587562256161e-07,4.3427988684337975e-07,current_old_50_50,0.5288299918174744,0.5288296143213908,0.5288300315539042,37318.0,3,0.0,0.0,0.0,0.0,0.0,0.19535388715442936,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,all,6219.666666666667,0,0.46957754095395404,4.669030507405599e-07,0.14056542926317764,0.4695770740509033,0.0,0.0,0.0,-0.07661565641562144,0.07661565641562144,0.0,0.0,0.0,0.0,0.0,0.19535388715442936,0.0,0.0,0.0,0.0,0.0,
0.268867623881704,3.792773961526075e-07,6.022064865165779e-07,current_old_50_50,0.5072299838066101,0.5099020103613535,0.5066956281661987,584.0,3,0.0,0.0,0.0,0.0,0.0,0.32916145181476847,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,episode_initial,97.33333333333333,0,0.48856213688850403,-0.0032160580158233643,0.12436118064246976,0.4917781949043274,0.0,0.0,0.0,-0.25545384486516315,0.25545384486516315,0.0,0.0,0.0,0.0,0.0,0.32916145181476847,0.0,0.0,0.0,0.0,0.0,
0.22331262183235867,2.57791632784033e-07,3.82220874525876e-07,current_old_50_50,0.5288591384887695,0.5278612772623698,0.529058704773585,200.0,3,0.0,0.0,0.0,0.0,0.0,0.48479532163742683,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,goal_completion,33.333333333333336,0,0.4705487787723541,0.0012009938557942708,0.12328216374269006,0.4693477849165599,0.0,0.0,0.0,-0.7840322454770406,0.7840322454770406,0.0,0.0,0.0,0.0,0.0,0.48479532163742683,0.0,0.0,0.0,0.0,0.0,
0.24617307639395425,2.7084865962757595e-07,4.343835472994256e-07,current_old_50_50,0.5288093984127045,0.5288129150867462,0.5288087328275045,37118.0,3,0.0,0.0,0.0,0.0,0.0,0.193792869206469,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,ordinary,6186.333333333333,0,0.4695942898591359,-4.202127456665039e-06,0.14066675305922258,0.4695984919865926,0.0,0.0,0.0,-0.07267926385005315,0.07267926385005315,0.0,0.0,0.0,0.0,0.0,0.193792869206469,0.0,0.0,0.0,0.0,0.0,
,,,current_old_50_50,,,,0.0,3,,,,,,,,,,,,all_slots,,,,,physical_terminal,0.0,0,,,,,,,,,,,,,,,,,,,,,
0.3439355930345409,2.6726920499343694e-07,4.5560283749391084e-07,current_old_50_50,0.5297763446966807,0.5288296143213908,0.5300918718179067,24878.666666666668,3,0.0,0.0,0.0,0.0,0.0,0.19535388715442936,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,all,6219.666666666667,0,0.46957754095395404,0.00126609206199646,0.2737207115885907,0.4683114488919576,0.0,0.0,0.0,-0.07661565641562144,0.07661565641562144,0.0,0.0,0.0,0.0,0.0,0.19535388715442936,0.0,0.0,0.0,0.0,0.0,
0.3698709758726186,3.6983834658765284e-07,6.27523058874763e-07,current_old_50_50,0.5092908839384714,0.5099020103613535,0.5090871651967367,389.3333333333333,3,0.0,0.0,0.0,0.0,0.0,0.32916145181476847,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,episode_initial,97.33333333333333,0,0.48856213688850403,-0.0008172790209452311,0.2435075093867334,0.4893794159094493,0.0,0.0,0.0,-0.25545384486516315,0.25545384486516315,0.0,0.0,0.0,0.0,0.0,0.32916145181476847,0.0,0.0,0.0,0.0,0.0,
0.31981907894736844,2.4007045105109673e-07,4.0078091706037186e-07,current_old_50_50,0.5302182932694753,0.5278612772623698,0.531003991762797,133.33333333333334,3,0.0,0.0,0.0,0.0,0.0,0.48479532163742683,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,goal_completion,33.333333333333336,0,0.4705487787723541,0.003152191638946533,0.3034356725146199,0.4673965871334076,0.0,0.0,0.0,-0.7840322454770406,0.7840322454770406,0.0,0.0,0.0,0.0,0.0,0.48479532163742683,0.0,0.0,0.0,0.0,0.0,
0.34408390791964144,2.674471419675374e-07,4.5593350795079744e-07,current_old_50_50,0.529753307501475,0.5288129150867462,0.5300668080647787,24745.333333333332,3,0.0,0.0,0.0,0.0,0.0,0.193792869206469,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,ordinary,6186.333333333333,0,0.4695942898591359,0.0012576580047607422,0.27360430572053696,0.4683366318543752,0.0,0.0,0.0,-0.07267926385005315,0.07267926385005315,0.0,0.0,0.0,0.0,0.0,0.193792869206469,0.0,0.0,0.0,0.0,0.0,
,,,current_old_50_50,,,,0.0,3,,,,,,,,,,,,trained,,,,,physical_terminal,0.0,0,,,,,,,,,,,,,,,,,,,,,
