all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,goal_ids,goal_names,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,seed,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,83,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996234939759037,0.0007530120481927711,0.0003260637815453459,0.999874497991968,0,0.0,0.0,0.0,0.0,0.0,recorded,332,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920698924731183,0.1928763440860215,0.073333630916252,0.5933131720430107,0,0.0,0.0,0.0,0.0,0.0,actor,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9203629032258065,0.09509408602150538,0.03714160819153867,0.9251008064516131,0,0.0,0.0,0.0,0.0,0.0,actor,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909274193548387,0.017641129032258066,0.007359611468501341,0.9921706989247311,0,0.0,0.0,0.0,0.0,0.0,actor,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,all,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,actor,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5920698924731183,0.1928763440860215,0.073333630916252,0.5933131720430107,0,0.0,0.0,0.0,0.0,0.0,actor,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,90,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9041666666666667,0.11736111111111111,0.046105482098371994,0.9073611111111111,0,0.0,0.0,0.0,0.0,0.0,actor,540,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,88,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9886363636363636,0.022727272727272728,0.009486994101637518,0.9907670454545454,0,0.0,0.0,0.0,0.0,0.0,actor,528,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,83,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,actor,498,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5656922043010753,0.20631720430107528,0.07756143167927411,0.5651209677419355,0,0.0,0.0,0.0,0.0,0.0,recorded,1116,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
