actor_modal_goal_diversity,actor_pairwise_goal_js_mean,actor_pairwise_goal_js_p95,arm,continuation_all_mean,continuation_factual_mean,continuation_nonmatching_mean,goal_ids,goal_names,goal_queries,reward_all_mean,reward_factual_mean,reward_factual_minus_nonmatching,reward_goal_range_mean,reward_goal_std_mean,reward_goal_top1_accuracy,reward_nonmatching_event_rate,reward_nonmatching_mean,reward_slowvalue_within_state_correlation,reward_value_within_state_correlation,reward_value_within_state_slope,scope,seed,slowvalue_all_mean,slowvalue_factual_mean,slowvalue_nonmatching_mean,slowvalue_query_over_threshold_rate,state_kind,states,step,stop_factual_mean,stop_factual_minus_nonmatching,stop_goal_top1_accuracy,stop_nonmatching_mean,value_all_goals_above_factual_return_state_rate,value_all_goals_over_threshold_state_rate,value_all_mean,value_factual_bias_vs_realized,value_factual_mae_vs_realized,value_factual_mean,value_factual_minus_nonmatching,value_goal_range_mean,value_goal_relative_range_mean,value_goal_std_mean,value_goal_top1_accuracy,value_max_across_goals_mean,value_min_across_goals_mean,value_nonmatching_mean,value_query_above_factual_return_rate,value_query_over_threshold_rate,value_slowvalue_within_state_correlation
0.3324318628828323,2.1581706406042063e-07,3.7062345832928296e-07,current_old_50_50,0.4718254506587982,0.4699329137802124,0.47245630621910095,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",28472,0.0,0.0,0.0,0.0,0.0,0.23602135431300927,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,all,7118,0,0.5286516547203064,0.002530992031097412,0.3013486934532172,0.526120662689209,0.0,0.0,0.0,-0.07339788973331451,0.07339788973331451,0.0,0.0,0.0,0.0,0.0,0.23602135431300927,0.0,0.0,0.0,0.0,0.0,
0.3324633182844244,2.1576492964703643e-07,3.7050779591354176e-07,current_old_50_50,0.471976637840271,0.4701049029827118,0.4726005792617798,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",28352,0.0,0.0,0.0,0.0,0.0,0.23476297968397292,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,ordinary,7088,0,0.5284791588783264,0.00250321626663208,0.3007900677200903,0.5259759426116943,0.0,0.0,0.0,-0.07076864689588547,0.07076864689588547,0.0,0.0,0.0,0.0,0.0,0.23476297968397292,0.0,0.0,0.0,0.0,0.0,
0.325,2.281346881293274e-07,3.8482490688504814e-07,current_old_50_50,0.43610242009162903,0.4293016195297241,0.4383693337440491,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",120,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,goal_completion,30,0,0.5694053173065186,0.009095072746276855,0.43333333333333335,0.5603102445602417,0.0,0.0,0.0,-0.6946001052856445,0.6946001052856445,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,
,,,current_old_50_50,,,,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",0,,,,,,,,,,,,trained,0,,,,,physical_terminal,0,0,,,,,,,,,,,,,,,,,,,,,
0.36436170212765956,2.9382450409397857e-07,5.00410248494069e-07,current_old_50_50,0.46974092721939087,0.46826204657554626,0.47023382782936096,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",376,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,,,,trained,0,0.0,0.0,0.0,0.0,episode_initial,94,0,0.5303274989128113,0.0019777417182922363,0.32978723404255317,0.528349757194519,0.0,0.0,0.0,-0.2056078016757965,0.2056078016757965,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,
0.23859698417158376,2.3943361100493814e-07,3.8942406251566134e-07,current_old_50_50,0.469810426235199,0.4699329137802124,0.4697859287261963,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",42708,0.0,0.0,0.0,0.0,0.0,0.23602135431300927,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,all,7118,0,0.5286516547203064,-0.00014734268188476562,0.20904748524866534,0.5287989974021912,0.0,0.0,0.0,-0.07339788973331451,0.07339788973331451,0.0,0.0,0.0,0.0,0.0,0.23602135431300927,0.0,0.0,0.0,0.0,0.0,
0.238642776523702,2.393747850522543e-07,3.895539830307773e-07,current_old_50_50,0.46996185183525085,0.4701049029827118,0.46993327140808105,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",42528,0.0,0.0,0.0,0.0,0.0,0.23476297968397292,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,ordinary,7088,0,0.5284791588783264,-0.00017207860946655273,0.20894469525959367,0.528651237487793,0.0,0.0,0.0,-0.07076864689588547,0.07076864689588547,0.0,0.0,0.0,0.0,0.0,0.23476297968397292,0.0,0.0,0.0,0.0,0.0,
0.2277777777777778,2.533322227590275e-07,3.6956389269519993e-07,current_old_50_50,0.4340347647666931,0.4293016195297241,0.4349813759326935,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",180,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,goal_completion,30,0,0.5694053173065186,0.00569683313369751,0.23333333333333334,0.563708484172821,0.0,0.0,0.0,-0.6946001052856445,0.6946001052856445,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,
,,,current_old_50_50,,,,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",0,,,,,,,,,,,,all_slots,0,,,,,physical_terminal,0,0,,,,,,,,,,,,,,,,,,,,,
0.26595744680851063,3.4809860232636504e-07,5.712610055347736e-07,current_old_50_50,0.4667360484600067,0.46826204657554626,0.4664309024810791,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",564,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,episode_initial,94,0,0.5303274989128113,-0.0018367171287536621,0.20212765957446807,0.5321642160415649,0.0,0.0,0.0,-0.2056078016757965,0.2056078016757965,0.0,0.0,0.0,0.0,0.0,0.3404255319148936,0.0,0.0,0.0,0.0,0.0,
0.25238831132340545,0.000635004562244351,0.003360931136269872,current_old_50_50,0.9793408513069153,0.9789912104606628,0.979457437992096,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",28472,0.00024390783801209182,0.0002600352745503187,2.1503277821466327e-05,0.00010667810420272872,4.25055404775776e-05,0.29867940432705814,0.0,0.0002385319967288524,-0.01856062027412076,-0.01611321843281104,-0.13680903999821412,trained,0,0.6965481042861938,0.6969388127326965,0.6964178681373596,0.0,all,7118,200000,0.018167611211538315,0.000477716326713562,0.30528238269176733,0.017689894884824753,0.9539196403484125,0.0,0.6985604763031006,0.6255269050598145,0.6439142823219299,0.698924720287323,0.00048553943634033203,0.009484975598752499,0.017787348479032516,0.0037544507067650557,0.24093846586119697,0.7043883204460144,0.6949032545089722,0.6984391808509827,0.9547976959820175,0.0,0.9801541165918407
0.2523984198645598,0.0006367947510083534,0.0033631424613716067,current_old_50_50,0.9819527268409729,0.9816219210624695,0.9820629358291626,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",28352,0.00023118281387723982,0.0002546359901316464,3.1270901672542095e-05,9.527399379294366e-05,3.81557947548572e-05,0.29895598194130923,0.0,0.0002233650884591043,-0.013718990581524221,-0.012214183355832284,-0.10600323989980369,trained,0,0.6967326998710632,0.6970953345298767,0.696611762046814,0.0,ordinary,7088,200000,0.015529287979006767,0.000452529639005661,0.30516365688487584,0.015076758340001106,0.9564051918735892,0.0,0.6987122893333435,0.6282858848571777,0.6456249356269836,0.6990545392036438,0.000456392765045166,0.009464776143431664,0.01774325966835022,0.003746824339032173,0.23955981941309254,0.7045267820358276,0.6950620412826538,0.6985981464385986,0.9572869638826185,0.0,0.9802030410607817
0.25,0.00021204263026935587,2.756446962225501e-05,current_old_50_50,0.36225298047065735,0.35744187235832214,0.3638566732406616,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",120,0.003250401234254241,0.001535704592242837,-0.002286261413246393,0.002801088849082589,0.0010702050058171153,0.23333333333333334,0.0,0.00382196600548923,-0.33251663973227713,-0.2771765133736489,-0.7535620197135827,trained,0,0.652935266494751,0.6599525809288025,0.6505961418151855,0.0,goal_completion,30,200000,0.6415154933929443,0.0064293742179870605,0.3333333333333333,0.6350861191749573,0.36666666666666664,0.0,0.6627218723297119,-0.02633536234498024,0.23973964154720306,0.668264627456665,0.007390320301055908,0.014257417060434818,0.028204333037137985,0.005556254647672176,0.5666666666666667,0.671650230884552,0.6573927998542786,0.6608743071556091,0.36666666666666664,0.0,0.9708176832578734
,,,current_old_50_50,,,,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",0,,,,,,,,,,,,trained,0,,,,,physical_terminal,0,200000,,,,,,,,,,,,,,,,,,,,,
0.2553191489361702,0.0028223878615801744,0.022575645942348465,current_old_50_50,0.9098653793334961,0.9098845720291138,0.9098588824272156,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",376,0.010273653082549572,0.011026238091289997,0.001003446988761425,0.0038906459230929613,0.0015501941088587046,0.26595744680851063,0.0,0.010022791102528572,-0.10245119346840534,-0.09593978044136099,-0.27218733345664997,trained,0,0.662329912185669,0.6644188761711121,0.6616336703300476,0.0,episode_initial,94,200000,0.0874265730381012,-4.775822162628174e-06,0.3404255319148936,0.08743134886026382,0.8297872340425532,0.0,0.6673449873924255,0.4635404646396637,0.5205355882644653,0.6691482663154602,0.002404332160949707,0.030391262844204903,0.048059284687042236,0.012011000886559486,0.2978723404255319,0.6851759552955627,0.654784619808197,0.6667439341545105,0.8351063829787234,0.0,0.9947054839599992
0.1685164372014611,0.0005910734987125894,0.0033793363858629602,current_old_50_50,0.9792007207870483,0.9789912104606628,0.9792425632476807,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",42708,0.00024727906566113234,0.0002600352745503187,1.5307479770854115e-05,0.00010668447066564113,3.529460809659213e-05,0.23349255408822703,0.0,0.0002447277947794646,-0.01691031203047606,-0.014559962529234404,-0.12819120142924495,all_slots,0,0.6960288286209106,0.6969388127326965,0.695846676826477,0.0,all,7118,200000,0.018167611211538315,0.0002713240683078766,0.25568980050576007,0.017896287143230438,0.9539196403484125,0.0,0.6980936527252197,0.6255269050598145,0.6439142823219299,0.698924720287323,0.0009972453117370605,0.009917923249304295,0.01853558048605919,0.0033930873032659292,0.23124473166619838,0.7044184803962708,0.6945005655288696,0.6979274749755859,0.9546923293059848,0.0,0.976965716747136
0.16852426636568846,0.0005928020649571157,0.003380587094378735,current_old_50_50,0.9818142652511597,0.9816219210624695,0.9818528294563293,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",42528,0.00023421640798915178,0.0002546359901316464,2.4503504391759634e-05,9.527736983727664e-05,3.162851498927921e-05,0.23391647855530473,0.0,0.00023013248573988676,-0.01222030377469955,-0.01078010821309783,-0.09705902943531376,all_slots,0,0.6962133646011353,0.6970953345298767,0.6960369944572449,0.0,ordinary,7088,200000,0.015529287979006767,0.0002508247271180153,0.25564334085778784,0.015278463251888752,0.9564051918735892,0.0,0.6982455849647522,0.6282858848571777,0.6456249356269836,0.6990545392036438,0.0009707212448120117,0.009896818548440933,0.01848887838423252,0.0033862413838505745,0.2298250564334086,0.7045571804046631,0.6946604251861572,0.6980838179588318,0.957181151241535,0.0,0.9770070279249136
