all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,jobs,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,70.33333333333333,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963513634204463,0.007368550448126818,0.002895330327159841,0.9972785815794949,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,422.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525832789971216,0.12095207476102571,0.04850748336034724,0.45033178349092234,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7909500466059054,0.09250626266852979,0.03716419677866616,0.7922204837785403,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9377323205651639,0.04161775269769489,0.017129627500386917,0.9380399733981298,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,all,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967187947696075,0.003556606149010619,0.0015659023127946742,0.9966133374720348,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4525832789971216,0.12095207476102571,0.04850748336034724,0.45033178349092234,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,92.0,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814058784782469,0.09659364758048967,0.03923727579187785,0.8129403592671136,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,368.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,87.66666666666667,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9534765547633195,0.03787832367795603,0.015881881480460654,0.95325311942959,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,350.6666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,70.33333333333333,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983911697621375,0.0022605083088954054,0.0010050339542396246,0.9976444553057456,0.0,3,0.0,0.0,0.0,0.0,0.0,actor,281.3333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.440206705697712,0.12609972186301507,0.05059229011327102,0.4370578122355253,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,770.6666666666666,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,92.0,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8122737399053189,0.1155398512306407,0.04613328064386644,0.8116512345679011,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,368.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,87.66666666666667,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494036566646861,0.04793616310160428,0.020150908385739012,0.9508863141216083,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,350.6666666666667,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,70.33333333333333,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963513634204463,0.0044359991284787246,0.0019437943352623472,0.9973073296771315,0.0,3,0.0,0.0,0.0,0.0,0.0,recorded,281.3333333333333,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,trained,0.0,0.0,0.0,0.0,0
0.0,192.66666666666666,current_old_50_50,0.7148613613626331,0.013208139186593628,0.004445272041146513,0.7141930060699674,all,1,0.027654068367838226,0.0008722283630544008,0.00034074435632035915,0.027644114898121002,0.023720914864105356,0.0008946169761428069,0.00034199579870317754,0.02369736506748335,0.03490404021943987,0.0015914785835501883,0.0006454394421845433,0.03460374774917844,0.0,3,0.6684163484975691,0.6810326665030232,0.022766178211222395,0.0076861630261228124,0.6778170924217232,actor,1156.0,0.7385822760579878,0.012728530888026543,0.004266032585441179,0.7378903710626742,-0.3353697883835984,0.023720914695354662,0.0008946171075901146,0.0003419958557717068,0.023697364992706832,0.02585344980082066,-0.01835743003720781,0.025853449550830503,all_slots,0.6806578701953229,0.023611523614703464,0.007967567176464128,0.6772876318245871,200000
