all_actor_pairwise_goal_js_mean,all_reward_factual_mean,all_reward_factual_minus_nonmatching,all_reward_goal_top1_accuracy,all_reward_nonmatching_event_rate,all_reward_nonmatching_mean,all_reward_value_within_state_correlation,all_states,all_stop_factual_mean,all_stop_factual_minus_nonmatching,all_stop_goal_top1_accuracy,all_stop_nonmatching_mean,all_value_all_goals_above_factual_return_state_rate,all_value_all_goals_over_threshold_state_rate,all_value_all_mean,all_value_factual_bias_vs_realized,all_value_factual_mae_vs_realized,all_value_factual_mean,all_value_factual_minus_nonmatching,all_value_goal_range_mean,all_value_goal_relative_range_mean,all_value_min_across_goals_mean,all_value_nonmatching_mean,all_value_query_above_factual_return_rate,all_value_query_over_threshold_rate,arm,goal_completion_actor_pairwise_goal_js_mean,goal_completion_reward_factual_mean,goal_completion_reward_factual_minus_nonmatching,goal_completion_reward_goal_top1_accuracy,goal_completion_reward_nonmatching_event_rate,goal_completion_reward_nonmatching_mean,goal_completion_reward_value_within_state_correlation,goal_completion_states,goal_completion_stop_factual_mean,goal_completion_stop_factual_minus_nonmatching,goal_completion_stop_goal_top1_accuracy,goal_completion_stop_nonmatching_mean,goal_completion_value_all_goals_above_factual_return_state_rate,goal_completion_value_all_goals_over_threshold_state_rate,goal_completion_value_all_mean,goal_completion_value_factual_bias_vs_realized,goal_completion_value_factual_mae_vs_realized,goal_completion_value_factual_mean,goal_completion_value_factual_minus_nonmatching,goal_completion_value_goal_range_mean,goal_completion_value_goal_relative_range_mean,goal_completion_value_min_across_goals_mean,goal_completion_value_nonmatching_mean,goal_completion_value_query_above_factual_return_rate,goal_completion_value_query_over_threshold_rate,imag_actor_h15_all_goal_value_over_threshold_anchor_rate,imag_actor_h15_imagined_reward_sum_mean_factual_mean,imag_actor_h15_imagined_reward_sum_mean_nonmatching_mean,imag_actor_h15_online_value_start_mean_factual_mean,imag_actor_h15_online_value_start_mean_nonmatching_mean,imag_actor_h15_return_mean_factual_mean,imag_actor_h15_return_mean_nonmatching_mean,imag_actor_h15_reward_only_mean_factual_mean,imag_actor_h15_reward_only_mean_nonmatching_mean,imag_actor_h15_reward_only_value_within_anchor_correlation,imag_recorded_h15_all_goal_value_over_threshold_anchor_rate,imag_recorded_h15_imagined_reward_sum_mean_factual_mean,imag_recorded_h15_imagined_reward_sum_mean_nonmatching_mean,imag_recorded_h15_online_value_start_mean_factual_mean,imag_recorded_h15_online_value_start_mean_nonmatching_mean,imag_recorded_h15_return_mean_factual_mean,imag_recorded_h15_return_mean_nonmatching_mean,imag_recorded_h15_reward_only_mean_factual_mean,imag_recorded_h15_reward_only_mean_nonmatching_mean,imag_recorded_h15_reward_only_value_within_anchor_correlation,is_final_step,ordinary_actor_pairwise_goal_js_mean,ordinary_reward_factual_mean,ordinary_reward_factual_minus_nonmatching,ordinary_reward_goal_top1_accuracy,ordinary_reward_nonmatching_event_rate,ordinary_reward_nonmatching_mean,ordinary_reward_value_within_state_correlation,ordinary_states,ordinary_stop_factual_mean,ordinary_stop_factual_minus_nonmatching,ordinary_stop_goal_top1_accuracy,ordinary_stop_nonmatching_mean,ordinary_value_all_goals_above_factual_return_state_rate,ordinary_value_all_goals_over_threshold_state_rate,ordinary_value_all_mean,ordinary_value_factual_bias_vs_realized,ordinary_value_factual_mae_vs_realized,ordinary_value_factual_mean,ordinary_value_factual_minus_nonmatching,ordinary_value_goal_range_mean,ordinary_value_goal_relative_range_mean,ordinary_value_min_across_goals_mean,ordinary_value_nonmatching_mean,ordinary_value_query_above_factual_return_rate,ordinary_value_query_over_threshold_rate,seed,step
2.1581706406042063e-07,0.0,0.0,0.23602135431300927,0.0,0.0,,7118,0.5286516547203064,0.002530992031097412,0.3013486934532172,0.526120662689209,0.0,0.0,0.0,-0.07339788973331451,0.07339788973331451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_old_50_50,2.281346881293274e-07,0.0,0.0,0.5333333333333333,0.0,0.0,,30,0.5694053173065186,0.009095072746276855,0.43333333333333335,0.5603102445602417,0.0,0.0,0.0,-0.6946001052856445,0.6946001052856445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,2.1576492964703643e-07,0.0,0.0,0.23476297968397292,0.0,0.0,,7088,0.5284791588783264,0.00250321626663208,0.3007900677200903,0.5259759426116943,0.0,0.0,0.0,-0.07076864689588547,0.07076864689588547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.000635004562244351,0.0002600352745503187,2.1503277821466327e-05,0.29867940432705814,0.0,0.0002385319967288524,-0.01611321843281104,7118,0.018167611211538315,0.000477716326713562,0.30528238269176733,0.017689894884824753,0.9539196403484125,0.0,0.6985604763031006,0.6255269050598145,0.6439142823219299,0.698924720287323,0.00048553943634033203,0.009484975598752499,0.017787348479032516,0.6949032545089722,0.6984391808509827,0.9547976959820175,0.0,current_old_50_50,0.00021204263026935587,0.001535704592242837,-0.002286261413246393,0.23333333333333334,0.0,0.00382196600548923,-0.2771765133736489,30,0.6415154933929443,0.0064293742179870605,0.3333333333333333,0.6350861191749573,0.36666666666666664,0.0,0.6627218723297119,-0.02633536234498024,0.23973964154720306,0.668264627456665,0.007390320301055908,0.014257417060434818,0.028204333037137985,0.6573927998542786,0.6608743071556091,0.36666666666666664,0.0,0.0,2.3231069895849434,2.3320347208489656,0.6794235804869283,0.6761435689838555,0.7637065444687449,0.7667789143945197,0.36415447146317526,0.36819715407352477,-0.31411706825638613,0.0,2.1362720335344924e-05,5.1125871828135946e-05,0.6719218137034451,0.6722124976566038,0.6550159986948914,0.6545460579373157,1.1139668998328837e-05,2.4648634761458326e-05,-0.052678956015663615,False,0.0006367947510083534,0.0002546359901316464,3.1270901672542095e-05,0.29895598194130923,0.0,0.0002233650884591043,-0.012214183355832284,7088,0.015529287979006767,0.000452529639005661,0.30516365688487584,0.015076758340001106,0.9564051918735892,0.0,0.6987122893333435,0.6282858848571777,0.6456249356269836,0.6990545392036438,0.000456392765045166,0.009464776143431664,0.01774325966835022,0.6950620412826538,0.6985981464385986,0.9572869638826185,0.0,0,200000
0.009265221535388713,0.0015638243639841676,4.463666118681431e-05,0.2339140207923574,0.0016858668165214948,0.0015191877027973533,-0.031311866055189194,7118,0.00696412893012166,-0.000374015886336565,0.22155099747119977,0.007338144816458225,0.9772407979769598,0.17083450407417813,0.8242492079734802,0.7485289573669434,0.7553830742835999,0.8219268918037415,-0.0030964016914367676,0.027876105159521103,0.0346137136220932,0.8124385476112366,0.8250232934951782,0.979769598201742,0.18217898286035403,current_old_50_50,0.0019037511651869626,0.2590939700603485,-0.005778372287750244,0.0,0.4,0.26487234234809875,0.05521509373696207,30,0.9920068979263306,0.018894433975219727,0.0,0.9731124639511108,0.6333333333333333,0.2,0.8161708116531372,0.12450031191110611,0.25655052065849304,0.8191003203392029,0.003905951976776123,0.10695913434028625,0.14519761502742767,0.7750604152679443,0.8151943683624268,0.6666666666666666,0.26666666666666666,0.10215053763440861,0.2831146194195254,0.293049605608316,0.8331711986052093,0.8351756707100885,0.9025200024012269,0.9224511333422726,0.14550735168556042,0.151180313744905,-0.2895418283201269,0.012048192771084338,0.003010537975744929,0.003626074038671308,0.8302728648645332,0.8328744369338317,0.7676789382856714,0.7660687804152971,0.0019325416577109494,0.0021323373962712756,-0.17453670050795556,False,0.009296379000273877,0.00047382662887685,6.928262882865965e-05,0.2349040632054176,0.0,0.00040454400004819036,-0.03402425540143025,7088,0.002794929314404726,-0.0004555701743811369,0.22248871331828443,0.003250499488785863,0.978696388261851,0.17071106094808128,0.8242833614349365,0.7511701583862305,0.7574943900108337,0.8219388127326965,-0.003126084804534912,0.02754138596355915,0.03414566442370415,0.8125967383384705,0.8250648975372314,0.9810948081264108,0.181821388261851,0,400000
0.07937810051795895,0.001221975195221603,0.0002383377868682146,0.2999438044394493,0.0008429334082607474,0.0009836374083533883,0.05053619421637764,7118,0.006390392780303955,-0.001534411683678627,0.18333801629671256,0.007924804463982582,0.9974711997752178,0.9780837313852205,2.4180781841278076,2.5587267875671387,2.5590198040008545,2.632124900817871,0.28539514541625977,1.1954741477966309,0.49384284019470215,1.9382622241973877,2.3467297554016113,0.9983141331834785,0.9897091879741501,current_old_50_50,0.03620023234537616,0.26917678117752075,0.056222766637802124,0.26666666666666666,0.2,0.21295401453971863,0.4935613863545,30,0.9966443777084351,0.02234625816345215,0.4,0.9742981195449829,0.9333333333333333,0.8666666666666667,2.4645659923553467,2.2880218029022217,2.2880218029022217,2.982621669769287,0.6907408237457275,1.427613615989685,0.6517159938812256,1.8831756114959717,2.2918808460235596,0.9666666666666667,0.9416666666666667,0.967741935483871,0.0010768453575747973,0.00016092199925244306,2.4495277427217013,2.131800257817819,2.8652051822825393,2.6456319397694865,0.0008894302431072103,0.00011936100084967296,0.11233911994875853,1.0,0.0006702600546742519,0.000740282660951131,2.346018646136824,2.038311287581202,2.1886589177149482,1.9420185722678884,0.00036562827933707176,0.0004171768686872745,0.14869594688009574,False,0.07956085108866683,8.785488171270117e-05,1.3833778211846948e-06,0.30008465011286684,0.0,8.647150389151648e-05,0.07973302027316505,7088,0.0021991366520524025,-0.001635487424209714,0.18242099322799096,0.0038346240762621164,0.9977426636568849,0.9785553047404063,2.417881727218628,2.55987286567688,2.560166597366333,2.630641460418701,0.283679723739624,1.1944916248321533,0.49317464232444763,1.9384955167770386,2.346961736679077,0.9984480812641083,0.9899125282167043,0,600000
0.02996813629527771,0.0011305607622489333,0.00018501083832234144,0.3090755830289407,0.0007024445068839561,0.0009455499239265919,0.136250197825002,7118,0.005551642272621393,-0.0009596385061740875,0.19527957291373982,0.006511280778795481,0.9852486653554369,0.6673222815397584,1.0354548692703247,0.9690383672714233,0.9714602828025818,1.0424362421035767,0.009308338165283203,0.11265906691551208,0.14786387979984283,0.9773395657539368,1.0331279039382935,0.991114076987918,0.7234475976397865,current_old_50_50,0.051627616985336564,0.24847252666950226,0.0858171135187149,0.4,0.12222222222222222,0.16265541315078735,0.26820557296424635,30,0.9948754906654358,0.13532745838165283,0.7333333333333333,0.859548032283783,0.7666666666666667,0.5666666666666667,1.2200086116790771,0.6007266640663147,0.631263792514801,1.2953264713287354,0.10042393207550049,0.319856196641922,0.2851693034172058,1.0486823320388794,1.1949025392532349,0.9,0.7666666666666667,0.3763440860215054,0.014182989950106608,0.010818464242433786,1.0516750046642878,1.0053989255273428,1.163182275029352,1.1502209348794759,0.0078678693874263,0.006378811014021538,0.1697115269934817,0.10843373493975904,0.0010729010906873962,0.0011425683081061136,0.9932690350316375,0.9354192940106834,0.9660649458330252,0.9635544211518569,0.0005657641534152108,0.0005584279085094687,0.14851941470834742,True,0.029876462421025207,8.368465205421671e-05,-0.00017742731142789125,0.30869074492099324,0.00018811136192626034,0.0002611119707580656,0.1568738679668829,7088,0.001364323659799993,-0.0015364737482741475,0.1930022573363431,0.0029007974080741405,0.9861738148984198,0.6677483069977427,1.0346739292144775,0.9705972671508789,0.9729002118110657,1.0413658618927002,0.008922696113586426,0.11178209632635117,0.14728276431560516,0.9770376682281494,1.0324431657791138,0.9914997178329571,0.7232646726862303,0,800000
2.860300197909368e-07,0.0,0.0,0.2030957645858139,0.0,0.0,,5879,0.4009321331977844,0.00015735626220703125,0.2480013607756421,0.4007747769355774,0.0,0.0,0.0,-0.07750140130519867,0.07750140130519867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,current_old_50_50,2.225743252247473e-07,0.0,0.0,0.42105263157894735,0.0,0.0,,38,0.39156797528266907,0.003329545259475708,0.2894736842105263,0.38823843002319336,0.0,0.0,0.0,-0.8661841154098511,0.8661841154098511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,False,2.8644284574428643e-07,0.0,0.0,0.2016777948981339,0.0,0.0,,5841,0.4009930491447449,0.0001366734504699707,0.24773155281629858,0.4008563756942749,0.0,0.0,0.0,-0.07237043976783752,0.07237043976783752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
0.001165093001293325,0.0023611271753907204,-3.869878128170967e-06,0.28474230311277426,0.002721551284232012,0.0023649970535188913,-0.022539355497947975,5879,0.01057758741080761,4.842877388000488e-05,0.2413675795203266,0.010529158636927605,0.9197142371151557,0.0,0.6573352217674255,0.5796398520469666,0.6146337389945984,0.6571412682533264,-0.00025850534439086914,0.016871152445673943,0.033470988273620605,0.6496490240097046,0.6573997735977173,0.9209899642796394,0.0,current_old_50_50,0.0006127169206410064,0.36079105734825134,6.8247318267822266e-06,0.18421052631578946,0.42105263157894735,0.36078423261642456,-0.08178694924287118,38,0.8426607251167297,0.00016957521438598633,0.21052631578947367,0.8424911499023438,0.10526315789473684,0.0,0.6923413276672363,-0.17774568498134613,0.20427609980106354,0.6884385943412781,-0.005203664302825928,0.016434213146567345,0.02835405245423317,0.6850852966308594,0.693642258644104,0.10526315789473684,0.0,0.0,1.683650482399639,1.686846582474345,0.67225700594596,0.6726807660081889,0.7613372052296312,0.7616103361453098,0.3126618302212515,0.31162322366585926,-0.11275844709338143,0.0,8.732807278840593e-05,8.213816673477676e-05,0.6864494374304106,0.6854797436131371,0.6120655071609928,0.6122886020009507,4.7038114282928755e-05,4.479259928565715e-05,-0.11922475983171704,False,0.0011686866138707582,2.9277163775986992e-05,-3.939128873753361e-06,0.28539633624379385,0.0,3.321629264974035e-05,-0.0218866496340554,5841,0.005164274014532566,4.763901233673096e-05,0.24156822461907207,0.005116635002195835,0.9250128402670775,0.0,0.657107412815094,0.5845671892166138,0.6173034310340881,0.6569376587867737,-0.0002263784408569336,0.01687399297952652,0.03350427746772766,0.6494184732437134,0.6571640372276306,0.926296866974833,0.0,1,200000
0.005900531994151891,0.004442221950739622,0.00026200897991657257,0.2679027045415887,0.003742133015819017,0.0041802129708230495,-0.11768029532469888,5879,0.010757146403193474,0.00028874725103378296,0.23133185915972104,0.01046839915215969,0.9637693485286614,0.27521687361796227,0.9527440071105957,0.8707982301712036,0.8766626119613647,0.9482996463775635,-0.005925893783569336,0.0825052484869957,0.08608674257993698,0.9119385480880737,0.9542255401611328,0.9689147814254124,0.3435533253954754,current_old_50_50,0.010773465904986495,0.45087000727653503,0.003154456615447998,0.10526315789473684,0.5263157894736842,0.44771555066108704,-0.6188068889216836,38,0.6517518162727356,0.028033316135406494,0.42105263157894735,0.6237185001373291,0.5263157894736842,0.42105263157894735,1.041766881942749,0.17127715051174164,0.280852347612381,1.037461280822754,-0.0057408809661865234,0.04058525338768959,0.04307316243648529,1.023893117904663,1.0432021617889404,0.5592105263157895,0.4342105263157895,0.13930348258706468,0.26582574924202446,0.2828917719985918,0.9268195881179316,0.9192561777076911,0.9866125315989636,0.9987435456907513,0.14749564757395342,0.16316767775183985,-0.38969868523252704,0.0,0.002353130866416023,0.0019602230980131073,0.8851646934494828,0.8943109090882119,0.9194885854100848,0.9200377121057518,0.002162460790939801,0.0017044837018136754,-0.15658738058414645,False,0.005868829975899585,0.0015378803946077824,0.00024319055955857038,0.2689607943845232,0.000342407122068139,0.001294689835049212,-0.11546291857272414,5841,0.006587004289031029,0.00010824762284755707,0.2300975860297894,0.006478756666183472,0.9666153055983564,0.27426810477657937,0.952164888381958,0.8753491640090942,0.8805387020111084,0.9477195739746094,-0.005927085876464844,0.0827779695391655,0.08636657148599625,0.9112102389335632,0.9536466598510742,0.9715802088683445,0.34296353364149973,1,400000
0.06221278347892131,0.003545033512637019,1.9597355276346207e-05,0.2721551284232012,0.0032318421500255145,0.003525436157360673,0.037685278856960186,5879,0.010014153085649014,0.0006189383566379547,0.19118897771729887,0.009395214729011059,0.9605375063786358,0.42439190338492944,2.000519275665283,2.4005508422851562,2.4100492000579834,2.4780519008636475,0.6367100477218628,2.5190911293029785,1.1707067489624023,1.1504220962524414,1.8413418531417847,0.9735924476951863,0.6607841469637693,current_old_50_50,0.045562254766891054,0.458224892616272,0.011683404445648193,0.13157894736842105,0.4824561403508772,0.4465414881706238,0.27673701427044106,38,0.947287380695343,0.09033924341201782,0.3157894736842105,0.8569481372833252,0.6052631578947368,0.5789473684210527,1.840844988822937,0.9373647570610046,1.0758053064346313,1.8035486936569214,-0.04972827434539795,1.8699021339416504,0.9361001253128052,1.303553819656372,1.8532769680023193,0.6842105263157895,0.6578947368421053,0.22388059701492538,0.3898140392307028,0.29756267698964345,1.892339772252894,1.6922390322582443,2.268616454852198,1.925258303243603,0.08811990634259913,0.0804820436866422,0.1279017462552713,0.015151515151515152,0.001988759488719524,0.0012599205725699893,2.0570005946087115,1.7130710413359633,1.474612136276522,1.2906641097536125,0.0017407044763506883,0.001035497571202018,0.08353817783945788,False,0.0623211074116481,0.0005870070308446884,-5.6284014135599136e-05,0.2730696798493409,0.00011413570735604634,0.0006432910449802876,0.034268032430098204,5841,0.003916501998901367,3.5241711884737015e-05,0.1903783598698853,0.00388126028701663,0.9628488272556069,0.4233864064372539,2.001558303833008,2.410069704055786,2.418729543685913,2.4824399948120117,0.6411757469177246,2.5233147144317627,1.172232985496521,1.1494258642196655,1.841264247894287,0.9754750898818696,0.6608029447012498,1,600000
0.04793780405076141,0.003651085076853633,0.00010930350981652737,0.20547712195951692,0.003572036060554516,0.0035417815670371056,0.04237390698471314,5879,0.010337337851524353,0.00031985994428396225,0.15955094403810172,0.01001747790724039,0.9940466065657425,0.6570845381867665,1.3328064680099487,1.3636518716812134,1.363715648651123,1.4411532878875732,0.14446234703063965,0.7354228496551514,0.6333953142166138,1.0311788320541382,1.2966909408569336,0.9977036911039292,0.6882122810001701,current_old_50_50,0.03185441876623651,0.4854002594947815,0.04633668065071106,0.631578947368421,0.4824561403508772,0.43906357884407043,0.12182767065776016,38,0.9318467378616333,0.1751953363418579,0.6578947368421053,0.7566514015197754,1.0,1.0,2.2261528968811035,1.262076735496521,1.262076735496521,2.128260850906372,-0.1305229663848877,0.736891508102417,0.43946677446365356,1.9417102336883545,2.2587838172912598,1.0,1.0,0.5572139303482587,0.11156031509865919,0.1380828330529032,1.4411393490467053,1.3923538311741395,1.6865759083131318,1.6484956586379576,0.0631980702910888,0.08100944760882751,0.16038089424501983,0.25757575757575757,0.002971406003422252,0.0007441386050797879,1.2544589139182458,1.2008600546931378,1.1607427216041728,1.0230498057781447,0.0015014967811117568,0.00044145583244137223,0.008092639893762568,True,0.04804243829846077,0.0005169534124433994,-0.00019143836107105017,0.2027050162643383,0.00045654282942418536,0.0007083917735144496,0.0425371528415438,5841,0.004342243075370789,-0.000817831140011549,0.15630885122410546,0.005160074215382338,0.9940078753638075,0.6548536209553159,1.3269946575164795,1.364312767982483,1.3643767833709717,1.4366830587387085,0.14625120162963867,0.7354133129119873,0.6346569657325745,1.0252552032470703,1.2904318571090698,0.99768875192604,0.6861838726245506,1,800000
