observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,kill_goblin,0,kill_goblin,128,64,1.55417799949646,1.549236536026001,1.5591193437576294,0.481201171875,0.48374270915143813
0,kill_goblin,1,bury_bones,128,64,1.5412797927856445,1.5448424816131592,1.5377172231674194,0.50244140625,0.5056227119762464
0,kill_goblin,2,chop_logs,128,64,1.1333004236221313,1.1501073837280273,1.1164932250976562,0.585693359375,0.5501643183419237
0,kill_goblin,3,light_fire,128,64,1.3990553617477417,1.402553915977478,1.3955566883087158,0.509765625,0.5039903385482509
0,kill_goblin,4,catch_fish,128,64,1.3928250074386597,1.3963230848312378,1.389327049255371,0.51123046875,0.5048937878689101
1,bury_bones,0,kill_goblin,128,64,1.2766880989074707,1.145174503326416,1.4082015752792358,0.183349609375,0.34448388080998227
1,bury_bones,1,bury_bones,128,64,1.393054723739624,1.2525759935379028,1.5335333347320557,0.1806640625,0.35180028486888426
1,bury_bones,2,chop_logs,128,64,1.0804572105407715,1.0785915851593018,1.0823227167129517,0.499755859375,0.46141386268408546
1,bury_bones,3,light_fire,128,64,1.2337663173675537,1.1354970932006836,1.3320355415344238,0.23046875,0.3647360315413765
1,bury_bones,4,catch_fish,128,64,1.2273173332214355,1.1327829360961914,1.3218517303466797,0.23583984375,0.36618880948386767
2,chop_logs,0,kill_goblin,128,64,1.1838465929031372,1.161417007446289,1.2062760591506958,0.448486328125,0.4501956440043229
2,chop_logs,1,bury_bones,128,64,1.2003759145736694,1.1820048093795776,1.2187469005584717,0.465087890625,0.4613142112060273
2,chop_logs,2,chop_logs,128,64,0.8519026041030884,0.8822356462478638,0.8215696811676025,0.709716796875,0.6874653604228573
2,chop_logs,3,light_fire,128,64,0.9903347492218018,0.9985623955726624,0.9821070432662964,0.543212890625,0.5163105625486413
2,chop_logs,4,catch_fish,128,64,0.9870766401290894,0.9951555728912354,0.9789978265762329,0.543212890625,0.5232140627517561
