event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,0.8582131862640381,1.2119049642933533e-05,5.59000301361084,5.802626609802246
0,go_to_door,1,fetch,16,0.7817848324775696,0.2547175884246826,7.086010932922363,7.244630813598633
0,go_to_door,2,go_to_object,16,0.8582032918930054,5.10499558004085e-06,4.173165321350098,4.380606174468994
0,go_to_door,3,put_near,16,0.8588038682937622,9.0098001237493e-06,5.195778846740723,5.428997993469238
0,go_to_door,4,unlock_pickup,16,0.8585349917411804,9.16294266062323e-06,5.079363822937012,5.308739185333252
0,go_to_door,5,pickup_dist,16,0.8599693775177002,1.1554311640793458e-05,5.12512731552124,5.350597858428955
2,go_to_object,0,go_to_door,16,0.6692562103271484,0.00774415535852313,4.153921127319336,4.238217830657959
2,go_to_object,1,fetch,16,0.10001787543296814,0.6945192813873291,7.304828643798828,7.43701696395874
2,go_to_object,2,go_to_object,16,0.6929890513420105,0.0010045915842056274,3.779813766479492,3.8670263290405273
2,go_to_object,3,put_near,16,0.7033439874649048,0.0037968691904097795,3.898552894592285,3.9908952713012695
2,go_to_object,4,unlock_pickup,16,0.697226881980896,0.003628395963460207,3.900099277496338,3.996629238128662
2,go_to_object,5,pickup_dist,16,0.6984031200408936,0.005173432640731335,3.923447608947754,4.018329620361328
