goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,go_to_door,inclusive,0,84,2.60111665725708,0.6301702857017517,1.0114960670471191,3.3480935096740723
0,go_to_door,inclusive,1,83,3.8010966777801514,0.5315647125244141,3.3559415340423584,4.306232929229736
0,go_to_door,inclusive,2,83,4.71623420715332,0.5732586979866028,4.315278053283691,5.189908981323242
0,go_to_door,inclusive,3,83,5.814013957977295,0.35947951674461365,5.190303802490234,6.493463516235352
0,go_to_door,inclusive,4,83,6.7823920249938965,0.10069499164819717,6.509408950805664,6.9648590087890625
0,go_to_door,inclusive,5,83,7.034430980682373,0.045229472219944,6.969244480133057,7.084384918212891
0,go_to_door,inclusive,6,83,7.146557331085205,0.016914082691073418,7.0855841636657715,7.198497772216797
0,go_to_door,inclusive,7,83,7.263930797576904,0.0,7.199304580688477,7.33603572845459
0,go_to_door,inclusive,8,83,7.420389652252197,0.0,7.337374687194824,7.511086463928223
0,go_to_door,inclusive,9,84,7.6579766273498535,0.0,7.513099193572998,7.879559516906738
0,go_to_door,exclusive,0,84,2.60111665725708,0.6301702857017517,1.0114960670471191,3.3480935096740723
0,go_to_door,exclusive,1,83,3.8010966777801514,0.5209261775016785,3.3559415340423584,4.306232929229736
0,go_to_door,exclusive,2,83,4.71623420715332,0.5089936256408691,4.315278053283691,5.189908981323242
0,go_to_door,exclusive,3,83,5.814013957977295,0.2944554388523102,5.190303802490234,6.493463516235352
0,go_to_door,exclusive,4,83,6.7823920249938965,0.07235763967037201,6.509408950805664,6.9648590087890625
0,go_to_door,exclusive,5,83,7.034430980682373,0.045229472219944,6.969244480133057,7.084384918212891
0,go_to_door,exclusive,6,83,7.146557331085205,0.016914082691073418,7.0855841636657715,7.198497772216797
0,go_to_door,exclusive,7,83,7.263930797576904,0.0,7.199304580688477,7.33603572845459
0,go_to_door,exclusive,8,83,7.420389652252197,0.0,7.337374687194824,7.511086463928223
