accepted_mean_adapt_actor_adv,accepted_mean_adapt_actor_ret,accepted_mean_adapt_actor_rew,accepted_mean_adapt_actor_reward_only,accepted_mean_adapt_actor_reward_particle_rate,accepted_mean_gate_after_imagined_action_action_concentration,accepted_mean_gate_after_imagined_action_action_mode,accepted_mean_gate_after_reward_event_step_rate,accepted_mean_gate_after_reward_peak_mean,accepted_mean_gate_after_reward_peak_p95,accepted_mean_gate_after_reward_peak_timestep_mean,accepted_mean_gate_after_reward_preceding_action_action_concentration,accepted_mean_gate_after_reward_preceding_action_action_mode,accepted_mean_gate_after_reward_return_mean,accepted_mean_gate_before_imagined_action_action_concentration,accepted_mean_gate_before_imagined_action_action_mode,accepted_mean_gate_before_reward_event_step_rate,accepted_mean_gate_before_reward_peak_mean,accepted_mean_gate_before_reward_peak_p95,accepted_mean_gate_before_reward_peak_timestep_mean,accepted_mean_gate_before_reward_preceding_action_action_concentration,accepted_mean_gate_before_reward_preceding_action_action_mode,accepted_mean_gate_before_reward_return_mean,accepted_mean_gate_imagined_action_action_concentration,accepted_mean_gate_imagined_action_action_mode,accepted_mean_gate_reward_event_step_rate,accepted_mean_gate_reward_peak_mean,accepted_mean_gate_reward_peak_p95,accepted_mean_gate_reward_preceding_action_action_concentration,accepted_mean_gate_reward_preceding_action_action_mode,accepted_mean_gate_reward_return_mean,accepted_mean_gate_score_after,accepted_mean_gate_score_before,accepted_mean_gate_score_improvement,accepted_probe_fraction,action_length,canonical_stage,commit_events,committed_updates,condition,episode_index,family,first_adapt_actor_adv,first_adapt_actor_ret,first_adapt_actor_rew,first_adapt_actor_reward_only,first_adapt_actor_reward_particle_rate,first_commit_step,first_gate_after_imagined_action_action_concentration,first_gate_after_imagined_action_action_mode,first_gate_after_reward_event_step_rate,first_gate_after_reward_peak_mean,first_gate_after_reward_peak_p95,first_gate_after_reward_peak_timestep_mean,first_gate_after_reward_preceding_action_action_concentration,first_gate_after_reward_preceding_action_action_mode,first_gate_after_reward_return_mean,first_gate_before_imagined_action_action_concentration,first_gate_before_imagined_action_action_mode,first_gate_before_reward_event_step_rate,first_gate_before_reward_peak_mean,first_gate_before_reward_peak_p95,first_gate_before_reward_peak_timestep_mean,first_gate_before_reward_preceding_action_action_concentration,first_gate_before_reward_preceding_action_action_mode,first_gate_before_reward_return_mean,first_gate_imagined_action_action_concentration,first_gate_imagined_action_action_mode,first_gate_reward_event_step_rate,first_gate_reward_peak_mean,first_gate_reward_peak_p95,first_gate_reward_preceding_action_action_concentration,first_gate_reward_preceding_action_action_mode,first_gate_reward_return_mean,first_gate_score_after,first_gate_score_before,first_gate_score_improvement,item_buried_events,last_commit_step,mean_adapt_actor_adv,mean_adapt_actor_ret,mean_adapt_actor_rew,mean_adapt_actor_reward_only,mean_adapt_actor_reward_particle_rate,mean_gate_after_imagined_action_action_concentration,mean_gate_after_imagined_action_action_mode,mean_gate_after_reward_event_step_rate,mean_gate_after_reward_peak_mean,mean_gate_after_reward_peak_p95,mean_gate_after_reward_peak_timestep_mean,mean_gate_after_reward_preceding_action_action_concentration,mean_gate_after_reward_preceding_action_action_mode,mean_gate_after_reward_return_mean,mean_gate_before_imagined_action_action_concentration,mean_gate_before_imagined_action_action_mode,mean_gate_before_reward_event_step_rate,mean_gate_before_reward_peak_mean,mean_gate_before_reward_peak_p95,mean_gate_before_reward_peak_timestep_mean,mean_gate_before_reward_preceding_action_action_concentration,mean_gate_before_reward_preceding_action_action_mode,mean_gate_before_reward_return_mean,mean_gate_imagined_action_action_concentration,mean_gate_imagined_action_action_mode,mean_gate_reward_event_step_rate,mean_gate_reward_peak_mean,mean_gate_reward_peak_p95,mean_gate_reward_preceding_action_action_concentration,mean_gate_reward_preceding_action_action_mode,mean_gate_reward_return_mean,mean_gate_score_after,mean_gate_score_before,mean_gate_score_improvement,mix_beta,objective_label,probes,real_action_entropy,real_top_action_column,real_top_action_fraction,real_top_action_index,real_top_action_row,real_unique_action_fraction,replicate,reset_seed,success,task_progress_max,trace_steps,update_budget
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,10,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,2.4540504976072945,5,0.205,145,5,0.115,0,2286170587298508181,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,11,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,2.4928915425459186,23,0.275,191,6,0.16,0,4992981953416201612,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,12,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,2.2177210493476736,23,0.325,191,6,0.1,0,5646325256803454865,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,13,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,1.5978044407323941,24,0.445,192,6,0.085,0,4071976461193956595,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,14,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,2.6381205496788183,7,0.195,175,6,0.14,0,5469972206906403671,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,15,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,1.9972461498355214,23,0.34,191,6,0.065,0,3861664246226342493,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,16,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,1.9694466552290038,23,0.425,191,6,0.08,0,271355054540565331,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,17,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,1.9896070005284927,23,0.36,191,6,0.09,0,1144299531918975107,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,18,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,2.4619777455206457,7,0.195,175,6,0.12,0,6399730703569450442,0,0.0,201,0
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,200,stage5b2a,0,0,no_ir,19,no_ir,nan,nan,nan,nan,nan,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,no_ir,0,1.9390294739001863,23,0.36,191,6,0.07,0,8911921829651719466,0,0.0,201,0
