best_goal_success,condition,episodes,horizon,mean_goal_delta_vs_frozen,mean_goal_delta_vs_reward_only,mean_goal_success,mix_beta,policy_mode,replicate_delta_max,replicate_delta_mean,replicate_delta_min,replicate_delta_std,replicate_macro_max,replicate_macro_mean,replicate_macro_min,replicate_macro_std,replicate_positive_delta_count,update_rms_clip,value_correction_clip,worst_goal_delta_vs_reward_only,worst_goal_success
0.76,frozen,450,0,0.0,-0.11777777777777777,0.62,0.0,sampled,-0.08666666666666667,-0.1177777777777778,-0.16666666666666663,0.03499559055116357,0.6733333333333333,0.62,0.58,0.03925227051701267,0,0.0,0.0,-0.3,0.5
0.9,reward_only_h15,450,15,0.11777777777777777,0.0,0.7377777777777778,0.0,sampled,0.0,0.0,0.0,0.0,0.7733333333333334,0.7377777777777778,0.6933333333333334,0.03325917677132394,0,0.0,0.0,0.0,0.5133333333333333
0.94,mixed_b005_h15,450,15,0.2555555555555556,0.1377777777777778,0.8755555555555555,0.05,sampled,0.21333333333333326,0.13777777777777775,0.06666666666666676,0.05995883361436456,0.9066666666666666,0.8755555555555555,0.8133333333333334,0.04399775527382959,3,0.0,0.0,0.04,0.7866666666666666
0.9533333333333334,mixed_b010_h15,450,15,0.20444444444444446,0.08666666666666667,0.8244444444444445,0.1,sampled,0.1466666666666666,0.08666666666666663,0.046666666666666745,0.043204937989385704,0.84,0.8244444444444444,0.7933333333333333,0.021998877636914795,3,0.0,0.0,0.02,0.6
0.88,mixed_b025_h15,450,15,0.22,0.10222222222222221,0.84,0.25,sampled,0.18666666666666654,0.10222222222222214,0.033333333333333326,0.06355710953811147,0.8799999999999999,0.8399999999999999,0.7799999999999999,0.04320493798938574,3,0.0,0.0,-0.020000000000000007,0.76
0.94,mixed_b025_clip050_h15,450,15,0.24222222222222223,0.12444444444444443,0.8622222222222223,0.25,sampled,0.16666666666666663,0.12444444444444447,0.08666666666666678,0.03281071791162972,0.8933333333333334,0.8622222222222223,0.8333333333333334,0.024545246704860604,3,0.0,0.5,9.25185853854297e-18,0.7466666666666667
0.92,mixed_b025_ucap15e6_h15,450,15,0.21555555555555553,0.09777777777777778,0.8355555555555556,0.25,sampled,0.12,0.09777777777777778,0.08666666666666656,0.01571348402636772,0.8933333333333334,0.8355555555555556,0.7799999999999999,0.046294814791110424,3,1.5e-05,0.0,-0.08,0.7666666666666667
0.8733333333333333,mixed_b025_h6,450,6,0.1911111111111111,0.07333333333333333,0.811111111111111,0.25,sampled,0.1066666666666668,0.07333333333333329,0.0066666666666664876,0.04714045207910326,0.8533333333333334,0.811111111111111,0.7799999999999999,0.030951973949298103,3,0.0,0.0,-0.02666666666666667,0.7733333333333333
0.7866666666666666,mixed_b100_h15,450,15,0.10222222222222221,-0.015555555555555553,0.7222222222222222,1.0,sampled,-0.0066666666666664876,-0.015555555555555508,-0.020000000000000018,0.006285393610547182,0.7533333333333334,0.7222222222222223,0.6733333333333333,0.03499559055116364,0,0.0,0.0,-0.18666666666666668,0.6133333333333333
0.7466666666666667,frozen,225,0,0.0,-0.22666666666666666,0.5866666666666668,0.0,deterministic,-0.10666666666666669,-0.2266666666666667,-0.38666666666666677,0.11775681155103798,0.7466666666666667,0.5866666666666667,0.37333333333333335,0.15700908206805061,0,0.0,0.0,-0.3333333333333333,0.4266666666666667
