arm,seeds,factual_return_mae_mean,factual_return_mae_std,factual_return_bias_mean,factual_return_bias_std,nonmatching_value_mean_mean,nonmatching_value_mean_std,matching_minus_nonmatching_mean_mean,matching_minus_nonmatching_mean_std,both_goals_above_0p5_fraction_mean,both_goals_above_0p5_fraction_std,successful_initial_goal_rank_accuracy_mean,successful_initial_goal_rank_accuracy_std,bellman_mae_all_queries_mean,bellman_mae_all_queries_std,q_disagreement_mean_mean,q_disagreement_mean_std
factual_only,3,0.4407009206443133,0.04471230327538442,-0.17836672071689516,0.06353838317392972,-0.2021419659598015,0.06364611592797428,0.15658607705633268,0.0044537823700801305,0.0010387622327920835,0.0006038686248530567,0.5,0.0,0.09002345198629834,0.005297272973007142,0.055855247541368176,0.0027709994655292867
counterfactual,3,0.35693225899927045,0.02383550817455084,-0.16457970482028275,0.04346364829903501,-0.354147778948642,0.03022517903402082,0.3223789060343433,0.024871822288245714,0.0,0.0,0.7552083333333334,0.048300096330706796,0.054921836491836,0.004447459572059329,0.04315304918320038,0.0034299813645200677
