event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,0.7418488264083862,5.614198380499147e-05,0.73506760597229,0.7380000352859497
0,go_to_door,1,fetch,16,0.7362257838249207,5.2698895160574466e-05,0.735316812992096,0.7379102110862732
0,go_to_door,2,go_to_object,16,0.738638699054718,5.372833402361721e-05,0.7330964803695679,0.735245943069458
0,go_to_door,3,put_near,16,0.7337886095046997,5.9451285778777674e-05,0.7354729175567627,0.7380412817001343
0,go_to_door,4,unlock_pickup,16,0.736734926700592,5.1811155572067946e-05,0.7346782684326172,0.737338662147522
0,go_to_door,5,pickup_dist,16,0.7368482351303101,5.783246160717681e-05,0.733505129814148,0.7358571290969849
1,fetch,0,go_to_door,14,2.5843419280136004e-05,0.8350891470909119,0.7340790629386902,0.7379724383354187
1,fetch,1,fetch,14,3.8441041397163644e-05,0.8283017873764038,0.7332445979118347,0.737125813961029
1,fetch,2,go_to_object,14,3.8229136407608166e-05,0.8317741751670837,0.7313405275344849,0.7353590726852417
1,fetch,3,put_near,14,3.9738999475957826e-05,0.8322544693946838,0.7316783666610718,0.7356212735176086
1,fetch,4,unlock_pickup,14,3.969059980590828e-05,0.8293067812919617,0.7307688593864441,0.7342039942741394
1,fetch,5,pickup_dist,14,3.805405503953807e-05,0.8323568105697632,0.7302974462509155,0.7338013648986816
