arm,backward_transfer_from_acquisition,final_success,forgetting_from_peak,forward_transfer_vs_initial,initial_success,peak_post_acquisition_success,policy_mode,post_acquisition_success,pretraining_success,seed,task,task_index
uniform_reservoir,-0.48,0.0,0.48,0.0,0.0,0.48,deterministic,0.48,0.0,0,go_to_door,0
uniform_reservoir,0.0,0.0,0.26,0.06,0.14,0.26,sampled,0.0,0.2,0,fetch,1
uniform_reservoir,0.0,0.0,0.26,0.04000000000000001,0.1,0.26,deterministic,0.0,0.14,0,fetch,1
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,sampled,0.0,0.0,0,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,0,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,-0.06,0.06,0.0,sampled,0.0,0.0,0,put_near,3
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,0,put_near,3
uniform_reservoir,-0.78,0.0,0.78,0.0,0.02,0.78,sampled,0.78,0.02,1,go_to_door,0
uniform_reservoir,-0.74,0.0,0.74,0.0,0.0,0.74,deterministic,0.74,0.0,1,go_to_door,0
uniform_reservoir,0.0,0.0,0.0,-0.2,0.2,0.0,sampled,0.0,0.0,1,fetch,1
uniform_reservoir,0.0,0.0,0.0,-0.1,0.1,0.0,deterministic,0.0,0.0,1,fetch,1
uniform_reservoir,0.0,0.0,0.0,-0.06,0.06,0.0,sampled,0.0,0.0,1,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,1,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,-0.08,0.08,0.0,sampled,0.0,0.0,1,put_near,3
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,1,put_near,3
uniform_reservoir,-1.0,0.0,1.0,0.0,0.04,1.0,sampled,1.0,0.04,2,go_to_door,0
uniform_reservoir,-1.0,0.0,1.0,0.0,0.0,1.0,deterministic,1.0,0.0,2,go_to_door,0
uniform_reservoir,-0.04,0.0,0.04,-0.16,0.16,0.04,sampled,0.04,0.0,2,fetch,1
uniform_reservoir,0.0,0.0,0.0,-0.24,0.24,0.0,deterministic,0.0,0.0,2,fetch,1
uniform_reservoir,0.0,0.0,0.0,0.0,0.0,0.0,sampled,0.0,0.0,2,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,0.0,0.0,0.0,deterministic,0.0,0.0,2,go_to_object,2
uniform_reservoir,0.0,0.0,0.0,-0.06,0.06,0.0,sampled,0.0,0.0,2,put_near,3
uniform_reservoir,0.0,0.0,0.0,-0.02,0.02,0.0,deterministic,0.0,0.0,2,put_near,3
