arm,replay/abandoned,replay/active_goals,replay/admitted,replay/chunks,replay/episodes,replay/episodes_seen,replay/goal_0/episodes,replay/goal_0/sampled,replay/goal_0/sampled_total,replay/goal_0/transitions,replay/goal_1/episodes,replay/goal_1/sampled,replay/goal_1/sampled_total,replay/goal_1/transitions,replay/goal_2/episodes,replay/goal_2/sampled,replay/goal_2/sampled_total,replay/goal_2/transitions,replay/goal_3/episodes,replay/goal_3/sampled,replay/goal_3/sampled_total,replay/goal_3/transitions,replay/goal_4/episodes,replay/goal_4/sampled,replay/goal_4/sampled_total,replay/goal_4/transitions,replay/goal_5/episodes,replay/goal_5/sampled,replay/goal_5/sampled_total,replay/goal_5/transitions,replay/inserts,replay/items,replay/ram_gb,replay/rejected,replay/replaced,replay/replay_ratio,replay/samples,replay/sampling/current_fraction,replay/sampling/current_group,replay/sampling/is_current_old,replay/streams,replay/updates,seed,step
current_old_50_50,0.0,2.0,245.0,0.0,1969.0,8660.0,1000.0,11742.0,247432.0,26574.0,969.0,11898.0,47488.0,95069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23640.0,121643.0,1.3962853467091918,0.0,0.0,32.0,23640.0,0.5,1.0,1.0,1.0,0.0,0,295150
current_old_50_50,0.0,2.0,265.0,0.0,2000.0,8954.0,1000.0,11696.0,259128.0,26574.0,1000.0,11784.0,59272.0,93843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23480.0,120417.0,1.3822126435115933,29.0,234.0,32.0,23480.0,0.5,1.0,1.0,1.0,0.0,0,318630
current_old_50_50,0.0,2.0,265.0,0.0,2000.0,9324.0,1000.0,11732.0,270860.0,26574.0,1000.0,11828.0,71100.0,87385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23560.0,113959.0,1.3080841628834605,105.0,265.0,32.0,23560.0,0.5,1.0,1.0,1.0,0.0,0,342190
current_old_50_50,0.0,2.0,313.0,0.0,2000.0,9921.0,1000.0,11670.0,282530.0,26574.0,1000.0,11930.0,83030.0,74931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23600.0,101505.0,1.1651302920654416,284.0,313.0,32.0,23600.0,0.5,1.0,1.0,1.0,0.0,0,365790
current_old_50_50,0.0,2.0,329.0,0.0,2000.0,10871.0,1000.0,11782.0,294312.0,26574.0,1000.0,11770.0,94800.0,61338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23550.0,87912.0,1.00910235196352,621.0,329.0,32.00271762208068,23552.0,0.5,1.0,1.0,1.0,0.0,0,389340
current_old_50_50,1.0,3.0,374.0,0.0,2250.0,11562.0,1000.0,11251.0,305563.0,26574.0,1000.0,11344.0,106144.0,56981.0,250.0,11981.0,11981.0,23891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34570.0,107446.0,1.2333243619650602,317.0,124.0,32.00555394851027,34576.0,0.5,2.0,1.0,1.0,0.0,0,423910
current_old_50_50,0.0,3.0,236.0,0.0,2486.0,11798.0,1000.0,5920.0,311483.0,26574.0,1000.0,5829.0,111973.0,56981.0,486.0,11755.0,23736.0,47315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,130870.0,1.5021979343146086,0.0,0.0,32.00544680851064,23504.0,0.5,2.0,1.0,1.0,0.0,0,447410
current_old_50_50,0.0,3.0,273.0,0.0,2759.0,12071.0,1000.0,5958.0,317441.0,26574.0,1000.0,5855.0,117828.0,56981.0,759.0,11627.0,35363.0,70795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23440.0,154350.0,1.7717143055051565,0.0,0.0,32.0,23440.0,0.5,2.0,1.0,1.0,0.0,0,470850
current_old_50_50,0.0,3.0,233.0,0.0,2992.0,12304.0,1000.0,5804.0,323245.0,26574.0,1000.0,5758.0,123586.0,56981.0,992.0,11838.0,47201.0,94239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23400.0,177794.0,2.0408174488693476,0.0,0.0,32.0,23400.0,0.5,2.0,1.0,1.0,0.0,0,494250
current_old_50_50,0.0,3.0,211.0,0.0,3000.0,12551.0,1000.0,5808.0,329053.0,26574.0,1000.0,5944.0,129530.0,56981.0,1000.0,11624.0,58825.0,94505.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23380.0,178060.0,2.0438707433640957,36.0,203.0,31.9945252352438,23376.0,0.5,2.0,1.0,1.0,0.0,0,517630
current_old_50_50,0.0,3.0,187.0,0.0,3000.0,12805.0,1000.0,5953.0,335006.0,26574.0,1000.0,5841.0,135371.0,56981.0,1000.0,11630.0,70455.0,94521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23420.0,178076.0,2.04405440017581,67.0,187.0,32.005465414175916,23424.0,0.5,2.0,1.0,1.0,0.0,0,541050
current_old_50_50,0.0,3.0,159.0,0.0,3000.0,13045.0,1000.0,5827.0,340833.0,26574.0,1000.0,5929.0,141300.0,56981.0,1000.0,11620.0,82075.0,94648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23380.0,178203.0,2.045512176118791,81.0,159.0,31.9945252352438,23376.0,0.5,2.0,1.0,1.0,0.0,0,564430
current_old_50_50,0.0,3.0,125.0,0.0,3000.0,13278.0,1000.0,5901.0,346734.0,26574.0,1000.0,5840.0,147140.0,56981.0,1000.0,11571.0,93646.0,95044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23310.0,178599.0,2.050057682208717,108.0,125.0,32.002745602745605,23312.0,0.5,2.0,1.0,1.0,0.0,0,587740
current_old_50_50,1.0,4.0,295.0,0.0,3235.0,13636.0,1000.0,6970.0,353704.0,26574.0,1000.0,7008.0,154148.0,56981.0,1000.0,10110.0,103756.0,95651.0,235.0,11968.0,11968.0,23735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36050.0,202941.0,2.329468564130366,63.0,60.0,32.005325936199725,36056.0,0.5,3.0,1.0,1.0,0.0,0,623790
current_old_50_50,0.0,4.0,231.0,0.0,3466.0,13867.0,1000.0,3859.0,357563.0,26574.0,1000.0,3996.0,158144.0,56981.0,1000.0,3952.0,107708.0,95651.0,466.0,11537.0,23505.0,47066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23340.0,226272.0,2.5972746312618256,0.0,0.0,32.00548414738646,23344.0,0.5,3.0,1.0,1.0,0.0,0,647130
