arm,seed,step,train/batch_goal/0,train/batch_goal/1,train/batch_goal/2,train/batch_goal/3,train/batch_goal/4,train/batch_goal/5,train/loss_by_goal/0/con,train/loss_by_goal/0/dyn,train/loss_by_goal/0/image,train/loss_by_goal/0/policy,train/loss_by_goal/0/rep,train/loss_by_goal/0/repval,train/loss_by_goal/0/rew,train/loss_by_goal/0/value,train/loss_by_goal/1/con,train/loss_by_goal/1/dyn,train/loss_by_goal/1/image,train/loss_by_goal/1/policy,train/loss_by_goal/1/rep,train/loss_by_goal/1/repval,train/loss_by_goal/1/rew,train/loss_by_goal/1/value,train/loss_by_goal/2/con,train/loss_by_goal/2/dyn,train/loss_by_goal/2/image,train/loss_by_goal/2/policy,train/loss_by_goal/2/rep,train/loss_by_goal/2/repval,train/loss_by_goal/2/rew,train/loss_by_goal/2/value,train/loss_by_goal/3/con,train/loss_by_goal/3/dyn,train/loss_by_goal/3/image,train/loss_by_goal/3/policy,train/loss_by_goal/3/rep,train/loss_by_goal/3/repval,train/loss_by_goal/3/rew,train/loss_by_goal/3/value,train/loss_by_goal/4/con,train/loss_by_goal/4/dyn,train/loss_by_goal/4/image,train/loss_by_goal/4/policy,train/loss_by_goal/4/rep,train/loss_by_goal/4/repval,train/loss_by_goal/4/rew,train/loss_by_goal/4/value,train/loss_by_goal/5/con,train/loss_by_goal/5/dyn,train/loss_by_goal/5/image,train/loss_by_goal/5/policy,train/loss_by_goal/5/rep,train/loss_by_goal/5/repval,train/loss_by_goal/5/rew,train/loss_by_goal/5/value
current_old_50_50,0,23620,1.0,0.0,0.0,0.0,0.0,0.0,0.1839576464605658,8.633942536458576,43.349955002902306,0.00808178179819484,8.633942536458576,1.829032111474096,0.8029942839339452,0.8355835011305466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,47290,1.0,0.0,0.0,0.0,0.0,0.0,0.07054676071574818,7.386212146697153,9.868976931106243,0.0007603836446101319,7.386212146697153,0.9765191706663533,0.004687966039387277,0.6958476698410676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,71070,1.0,0.0,0.0,0.0,0.0,0.0,0.0555034789756883,5.7753743855821655,7.152345640662541,0.00046510277678780607,5.7753743855821655,1.1450246320799253,0.007140538520552594,0.7755144890924242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,94820,1.0,0.0,0.0,0.0,0.0,0.0,0.04850803246629403,5.977239563634557,5.034013924352967,0.0006626711451909927,5.977239563634557,1.5530017139575183,0.009760747774171309,0.9601990302310082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,118460,1.0,0.0,0.0,0.0,0.0,0.0,0.04568821271273186,6.504879499328923,3.170601892430972,0.00010334849766585204,6.504879499328923,1.575252071572641,0.027289879824154633,0.9420422616142106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,142190,1.0,0.0,0.0,0.0,0.0,0.0,0.042882944796352435,6.695688245429915,2.225218661074211,4.447403742770525e-05,6.695688245429915,1.4675743383727842,0.042404061281615245,0.8358998784063156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,165900,1.0,0.0,0.0,0.0,0.0,0.0,0.041391022905566593,6.551994569710231,1.8008302830652347,0.00031074339392504833,6.551994569710231,1.374925602222422,0.04994571889520028,0.7627989172070776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,189610,1.0,0.0,0.0,0.0,0.0,0.0,0.04078227809257051,6.478042445041229,1.6133947046259958,8.897824970460144e-05,6.478042445041229,1.3086747228495987,0.05487693581628323,0.7101737920511589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,224140,0.505800464037123,0.494199535962877,0.0,0.0,0.0,0.0,0.03925079827462062,6.688504183177803,1.7736487945935013,5.32683878624584e-06,6.688504183177803,1.2737660275060372,0.05695089962181063,0.695219693261541,0.021707352621244364,4.567875785862408,11.43088430587053,-0.0004108285633259638,4.567875785862408,0.9684013648166695,0.0003789660789822942,0.9058945553218604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,247850,0.4977648448043185,0.5022351551956815,0.0,0.0,0.0,0.0,0.04041730925659479,6.540940459239499,1.6959249480110914,0.0027222345801147713,6.540940459239499,1.4858557885756538,0.057691849889212325,1.1484029760707406,0.022203754905772154,4.510332599583908,9.172043554615556,0.0008002319404935266,4.510332599583908,1.2704558134099089,0.001483226974183357,1.1060119703029976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,271510,0.5035931687521136,0.49640683124788637,0.0,0.0,0.0,0.0,0.03996024036192293,6.4821942834222,1.666118385917156,1.0696352856866619e-05,6.4821942834222,1.1804329000355467,0.0569899250143943,1.004819703839863,0.021522304298917425,4.847483237046909,8.229857622256826,-0.0004193518015543844,4.847483237046909,1.212802790349748,0.001199045080786928,1.1042084119430378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,295150,0.49653130287648056,0.5034686971235195,0.0,0.0,0.0,0.0,0.039399830256344505,6.469105840737848,1.656241498925359,-0.00016910817304836533,6.469105840737848,1.0504404174192303,0.05768796288089822,0.8190050869625434,0.022317865903783974,5.931618936816246,7.424543107140892,-0.0004609973269620058,5.931618936816246,1.2520683579638525,0.0018325378773110838,1.1529833023116471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,318630,0.49829642248722317,0.5017035775127768,0.0,0.0,0.0,0.0,0.039193678739936025,6.465296246855182,1.602819814876966,0.00031591280465109836,6.465296246855182,1.2466514066090169,0.05672808261032913,1.0697224727074983,0.02282079223549752,6.39192896579762,5.926009979943096,5.812366368170589e-05,6.39192896579762,1.0481601846279034,0.002985810749458764,0.9667866347189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,342190,0.4977928692699491,0.502207130730051,0.0,0.0,0.0,0.0,0.03970930510989575,6.448200108685194,1.5444902294155698,-4.885819630189424e-06,6.448200108685194,1.1865511791005807,0.05722845185007299,1.048604540610354,0.022762869414201414,6.457122674903157,4.905124917014143,1.7402690406551808e-05,6.457122674903157,1.1136026594149033,0.006837516938701576,0.9783135260811079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,365790,0.49453389830508476,0.5054661016949152,0.0,0.0,0.0,0.0,0.038960714246130596,6.374309236962916,1.4777857424344047,-7.206555459625611e-05,6.374309236962916,0.9812586781231023,0.05632586749112707,0.741050068645154,0.02357925575226545,6.665660179348315,4.44423041901346,-0.00028409526089158676,6.665660179348315,1.3808334599915197,0.011717876367636224,1.1531241079306198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_old_50_50,0,389340,0.5002547554347826,0.4997452445652174,0.0,0.0,0.0,0.0,0.03972367503308266,6.351261298617591,1.4233559757956993,0.0003300125150144734,6.351261298617591,1.211456652680088,0.05681071042596633,1.0288151729062363,0.026869122583024284,6.985520600705691,4.203751267662839,-0.00010915772090995716,6.985520600705691,1.4214909994650795,0.021906468665046714,1.0599729015248949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
