arm,mean_backward_transfer,mean_final_success,mean_forgetting_from_peak,mean_forward_transfer,mean_initial_success,mean_post_acquisition_success,policy_mode,task_seed_pairs
current_old_50_50,-0.37166666666666665,0.07166666666666667,0.4066666666666667,-0.05833333333333334,0.07166666666666667,0.44333333333333336,sampled,12
current_old_50_50,-0.38166666666666665,0.07166666666666667,0.39166666666666666,-0.041666666666666664,0.045000000000000005,0.4533333333333333,deterministic,12
fifo_100k,-0.2783333333333333,0.17500000000000002,0.365,-0.049999999999999996,0.07166666666666667,0.45333333333333337,sampled,12
fifo_100k,-0.25666666666666665,0.17833333333333334,0.3283333333333333,-0.03,0.045000000000000005,0.435,deterministic,12
uniform_reservoir,-0.19833333333333333,0.0,0.22,-0.04833333333333333,0.07166666666666667,0.19833333333333333,sampled,12
uniform_reservoir,-0.18499999999999997,0.0,0.20666666666666667,-0.03333333333333333,0.045000000000000005,0.18499999999999997,deterministic,12
