proposal,control_scope,horizon,relationship,actual_goal,actual_goal_name,rows,online_value_start_mean,slow_value_start_mean,online_slow_start_gap,online_value_final_mean,slow_value_final_mean,return_mean,return_p95,return_max,return_bias_vs_realized,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,imagined_reward_sum_mean,imagined_reward_event_posterior_sample_rate,imagined_stop_posterior_sample_rate,prior_entropy_mean,first_action_unique_fraction,all_action_unique_fraction
actor,all,1,factual,0,kill_goblin,505,1.8726271095842417,1.8731710167214422,-0.0005439106024580426,2.052814990223044,2.050203238619436,1.998814955772678,2.082360705570767,2.1309104132309526,nan,0.04410649552417409,1.9547084602485039,1.9547084602485039,0.968967844386041,0.04410649557679549,0.04081064356435644,0.03844368811881188,0.8799194033783261,0.02889851485148515,0.02889851485148515
actor,all,1,factual,1,bury_bones,416,1.8194954065749278,1.8261886092905815,-0.0066932012000156995,2.252324803517415,2.2570660561323166,2.168506786269954,2.293433687883417,2.356937037081204,nan,0.039810340305671606,2.128696445964282,2.128696445964282,0.9789564210173892,0.03981034038052157,0.03511868990384615,0.034574068509615384,0.8000827936025766,0.026216947115384616,0.026216947115384616
actor,all,1,factual,2,chop_logs,512,1.343874462414533,1.356270105810836,-0.01239564009665628,1.4004151404369622,1.4149086424149573,1.375981539772148,1.434892407469952,1.4996434222167698,nan,0.023808982412032335,1.3521725573601158,1.3521725573601158,0.9783671689702443,0.023808982598537125,0.0228424072265625,0.02874755859375,1.0139170587062836,0.0421905517578125,0.0421905517578125
actor,all,1,counterfactual,0,kill_goblin,2020,1.8024788967453607,1.8054329784789889,-0.002954080041571714,2.0124964510450267,2.0114951451226037,1.9644930118302395,2.050525583250041,2.09834952338121,nan,0.03129214869436385,1.9332008631358757,1.9332008631358757,0.977184359484287,0.03129214867659169,0.02908802599009901,0.0311146349009901,0.8772923611178256,0.030681466584158417,0.030681466584158417
actor,all,1,counterfactual,1,bury_bones,1664,1.7605313951722705,1.7672904941181724,-0.006759102827345487,2.2437502923779764,2.2479446544670143,2.188849410825589,2.3009740614572154,2.365471647479633,nan,0.027157516607060003,2.1616918942185284,2.1616918942185284,0.9864428741656047,0.027157516549049514,0.02099609375,0.018352801983173076,0.8011452693205613,0.026630108173076924,0.026630108173076924
actor,all,1,counterfactual,2,chop_logs,2048,1.4053839124972,1.4190217084251344,-0.013637794017540728,1.436348536692094,1.4514490666333586,1.3951021961263543,1.465074257533799,1.5457892736895669,nan,0.03373560480546403,1.3613665913208903,1.3613665913208903,0.9676832399609978,0.03373560497197085,0.032581329345703125,0.041839599609375,1.0133952498435974,0.04027557373046875,0.04027557373046875
actor,all,3,factual,0,kill_goblin,505,1.8726271095842417,1.8731710167214422,-0.0005439106024580426,2.1239521975564486,2.1204618890686793,2.0454374678989313,2.140004217327885,2.196975843566609,nan,0.04842768698546632,1.9970097809134648,1.9970097809134648,0.9668136453830972,0.05772451034481945,0.04308477722772277,0.039402846534653466,0.8602863864143296,0.02889851485148515,0.024071782178217822
actor,all,3,factual,1,bury_bones,416,1.8194954065749278,1.8261886092905815,-0.0066932012000156995,2.3216363925200243,2.3230753019452095,2.21390297059197,2.35132586335634,2.430358898039242,nan,0.04054356908664126,2.173359401505329,2.173359401505329,0.9789234961822751,0.04089342411182694,0.03560697115384615,0.03470552884615385,0.8136122050480201,0.026216947115384616,0.022341997195512817
actor,all,3,factual,2,chop_logs,512,1.343874462414533,1.356270105810836,-0.01239564009665628,1.4345348998904228,1.4506579947192222,1.3969690487568758,1.4721105929374783,1.5952322164246762,nan,0.02597507583114535,1.3709939729257306,1.3709939729257306,0.9766619439285493,0.02687427691253515,0.0245513916015625,0.0305938720703125,1.0372898764326237,0.0421905517578125,0.033905029296875
actor,all,3,counterfactual,0,kill_goblin,2020,1.8024788967453607,1.8054329784789889,-0.002954080041571714,2.090429152238487,2.0878640346597916,2.018219585877293,2.1119128479550797,2.1693913406880916,nan,0.03428819342423521,1.983931392453058,1.983931392453058,0.9757227646965824,0.0407214473141997,0.030646658415841584,0.03220529084158416,0.8592200573718194,0.030681466584158417,0.025292646452145212
