actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,checkpoint_label,checkpoint_step,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0003,0.031623974167298,-0.004083186683611248,133.41,1.2759650569347824e-05,133.41,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,100,standard_ir,chop_logs,6,True,13441,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/chop_logs/sampled/attempt_01,133.41,156.5,standard,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.53,53
0.0003,0.021895281857664747,-0.006484831584306769,159.8,1.1596916720595678e-05,159.8,natural,step_0001250000,1250000,True,standard_ir_h6,0,True,50,standard_ir,chop_logs,6,True,8040,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/standard_ir_h6/chop_logs/deterministic/attempt_01,159.8,200.0,standard,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.34,17
0.0,0.04529444432474996,0.004880068658250154,112.13,1.3080025905326981e-05,112.13,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,100,reward_only_ir,kill_goblin,6,True,11313,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/kill_goblin/sampled/attempt_01,112.13,112.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.74,74
0.0,0.041373011298727856,0.0048647451556806,108.46,1.2267282941213842e-05,108.46,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,50,reward_only_ir,kill_goblin,6,True,5473,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/kill_goblin/deterministic/attempt_01,108.46,111.0,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.8,40
0.0,0.04444687954608753,0.004566274437155735,97.96,1.4075293566411438e-05,97.96,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,100,reward_only_ir,bury_bones,6,True,9896,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/bury_bones/sampled/attempt_01,97.96,95.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.95,95
0.0,0.031671532049761725,0.004637406042765869,112.54,1.4001002938773177e-05,112.54,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,50,reward_only_ir,bury_bones,6,True,5677,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/bury_bones/deterministic/attempt_01,112.54,101.5,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.9,45
0.0,0.05163572872987873,0.015624770307710338,93.24,1.7434471520741647e-05,93.24,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,100,reward_only_ir,chop_logs,6,True,9424,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/chop_logs/sampled/attempt_01,93.24,74.0,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.75,75
0.0,0.06839866883458244,0.026351784975929212,100.34,1.9099506901213822e-05,100.34,natural,step_0001250000,1250000,True,reward_only_ir_h6,0,True,50,reward_only_ir,chop_logs,6,True,5067,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h6/chop_logs/deterministic/attempt_01,100.34,63.5,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.7,35
0.0,0.06440967656890512,0.01755985432295888,99.15,1.727279352922998e-05,99.15,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,100,reward_only_ir,kill_goblin,15,True,10015,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/kill_goblin/sampled/attempt_01,99.15,81.0,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.76,76
0.0,0.10761158719893366,0.033783506070008885,124.52,1.7283997117790463e-05,124.52,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,50,reward_only_ir,kill_goblin,15,True,6276,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/kill_goblin/deterministic/attempt_01,124.52,125.0,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.6,30
