event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean,bounded_value_mean
0,kill_goblin,0,kill_goblin,64,0.75152587890625,0.05644986033439636,1.504150629043579,1.4966773986816406,0.7499407529830933
0,kill_goblin,1,bury_bones,64,0.31228968501091003,0.49873682856559753,1.4860913753509521,1.4794962406158447,0.68454909324646
0,kill_goblin,2,chop_logs,64,0.28271716833114624,0.547982394695282,1.434755563735962,1.4279485940933228,0.7329108715057373
0,kill_goblin,3,light_fire,64,0.2231770008802414,0.604056179523468,1.4486911296844482,1.441462516784668,0.7318750619888306
0,kill_goblin,4,catch_fish,64,0.22010695934295654,0.6035882234573364,1.4474914073944092,1.4402945041656494,0.7344489097595215
1,bury_bones,0,kill_goblin,64,0.3317057490348816,0.5864869356155396,1.4658361673355103,1.4915062189102173,0.8542823791503906
1,bury_bones,1,bury_bones,64,0.908132016658783,0.07205624878406525,1.5018632411956787,1.5288562774658203,0.8279058337211609
1,bury_bones,2,chop_logs,64,0.2624353766441345,0.643343448638916,1.4327956438064575,1.4570257663726807,0.8523093461990356
1,bury_bones,3,light_fire,64,0.2360089272260666,0.6744967699050903,1.4472540616989136,1.471785306930542,0.8509291410446167
1,bury_bones,4,catch_fish,64,0.23185661435127258,0.6779581308364868,1.4466716051101685,1.4711298942565918,0.8521877527236938
2,chop_logs,0,kill_goblin,64,0.16485455632209778,0.8429140448570251,0.9226607084274292,0.932380735874176,0.8055039048194885
2,chop_logs,1,bury_bones,64,0.14683520793914795,0.8596351742744446,0.9275920987129211,0.9376747608184814,0.7711309790611267
2,chop_logs,2,chop_logs,64,0.694230318069458,0.19676873087882996,0.9109319448471069,0.9196203351020813,0.8185453414916992
2,chop_logs,3,light_fire,64,0.10158126056194305,0.9200875759124756,0.9190164804458618,0.9285033345222473,0.8146642446517944
2,chop_logs,4,catch_fish,64,0.10078359395265579,0.920215904712677,0.9187379479408264,0.9280439615249634,0.8089133501052856
