goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,kill_goblin,inclusive,0,1661,1.5228501558303833,0.18343648314476013,1.1225191354751587,1.6156840324401855
0,kill_goblin,inclusive,1,1660,1.6804792881011963,0.10137096792459488,1.6157275438308716,1.7654852867126465
0,kill_goblin,inclusive,2,1660,1.8426086902618408,0.1863473504781723,1.7655184268951416,1.913267731666565
0,kill_goblin,inclusive,3,1660,1.956304669380188,0.1988135278224945,1.9133055210113525,1.990021824836731
0,kill_goblin,inclusive,4,1660,2.008728265762329,0.18167074024677277,1.990046739578247,2.030287027359009
0,kill_goblin,inclusive,5,1660,2.0556466579437256,0.2285492867231369,2.0302886962890625,2.079012155532837
0,kill_goblin,inclusive,6,1660,2.1057536602020264,0.2137288600206375,2.079038143157959,2.133150100708008
0,kill_goblin,inclusive,7,1660,2.1623268127441406,0.24141579866409302,2.1332504749298096,2.1938998699188232
0,kill_goblin,inclusive,8,1660,2.231621026992798,0.2436584234237671,2.1939139366149902,2.2747764587402344
0,kill_goblin,inclusive,9,1660,2.3426504135131836,0.19635102152824402,2.274912118911743,2.4790725708007812
0,kill_goblin,exclusive,0,1661,1.5228501558303833,0.16898734867572784,1.1225191354751587,1.6156840324401855
0,kill_goblin,exclusive,1,1660,1.6804792881011963,0.09655169397592545,1.6157275438308716,1.7654852867126465
0,kill_goblin,exclusive,2,1660,1.8426086902618408,0.17972084879875183,1.7655184268951416,1.913267731666565
0,kill_goblin,exclusive,3,1660,1.956304669380188,0.1958014816045761,1.9133055210113525,1.990021824836731
0,kill_goblin,exclusive,4,1660,2.008728265762329,0.17986351251602173,1.990046739578247,2.030287027359009
0,kill_goblin,exclusive,5,1660,2.0556466579437256,0.22613964974880219,2.0302886962890625,2.079012155532837
0,kill_goblin,exclusive,6,1660,2.1057536602020264,0.21192163228988647,2.079038143157959,2.133150100708008
0,kill_goblin,exclusive,7,1660,2.1623268127441406,0.2390061467885971,2.1332504749298096,2.1938998699188232
0,kill_goblin,exclusive,8,1660,2.231621026992798,0.24245360493659973,2.1939139366149902,2.2747764587402344
0,kill_goblin,exclusive,9,1660,2.3426504135131836,0.19635102152824402,2.274912118911743,2.4790725708007812
1,bury_bones,inclusive,0,1463,1.5088821649551392,0.16379429399967194,1.121218204498291,1.5753291845321655
1,bury_bones,inclusive,1,1462,1.5982424020767212,0.02527913823723793,1.5753490924835205,1.6281102895736694
1,bury_bones,inclusive,2,1462,1.6917335987091064,0.09645408391952515,1.6281219720840454,1.7718008756637573
1,bury_bones,inclusive,3,1462,1.8407431840896606,0.08454331755638123,1.7719454765319824,1.8942139148712158
1,bury_bones,inclusive,4,1462,1.9344120025634766,0.041946399956941605,1.8942604064941406,1.9663822650909424
1,bury_bones,inclusive,5,1462,1.9887311458587646,0.04352613538503647,1.9665526151657104,2.006138324737549
1,bury_bones,inclusive,6,1462,2.025357246398926,0.06278936564922333,2.00614070892334,2.0521578788757324
1,bury_bones,inclusive,7,1462,2.096332311630249,0.10167311877012253,2.052180767059326,2.1555328369140625
1,bury_bones,inclusive,8,1462,2.3029112815856934,0.20973852276802063,2.1558234691619873,2.4885470867156982
1,bury_bones,inclusive,9,1463,3.0590810775756836,0.2150462120771408,2.4887120723724365,3.7205848693847656
1,bury_bones,exclusive,0,1463,1.5088821649551392,0.13645321130752563,1.121218204498291,1.5753291845321655
1,bury_bones,exclusive,1,1462,1.5982424020767212,0.02391114830970764,1.5753490924835205,1.6281102895736694
1,bury_bones,exclusive,2,1462,1.6917335987091064,0.09235011786222458,1.6281219720840454,1.7718008756637573
1,bury_bones,exclusive,3,1462,1.8407431840896606,0.08112334460020065,1.7719454765319824,1.8942139148712158
1,bury_bones,exclusive,4,1462,1.9344120025634766,0.040578410029411316,1.8942604064941406,1.9663822650909424
1,bury_bones,exclusive,5,1462,1.9887311458587646,0.04352613538503647,1.9665526151657104,2.006138324737549
1,bury_bones,exclusive,6,1462,2.025357246398926,0.06278936564922333,2.00614070892334,2.0521578788757324
1,bury_bones,exclusive,7,1462,2.096332311630249,0.10030513256788254,2.052180767059326,2.1555328369140625
1,bury_bones,exclusive,8,1462,2.3029112815856934,0.20837055146694183,2.1558234691619873,2.4885470867156982
1,bury_bones,exclusive,9,1463,3.0590810775756836,0.21162857115268707,2.4887120723724365,3.7205848693847656
2,chop_logs,inclusive,0,1708,1.2097755670547485,0.17085230350494385,1.1337072849273682,1.2293620109558105
2,chop_logs,inclusive,1,1708,1.2431403398513794,0.1272583305835724,1.2293710708618164,1.2550996541976929
2,chop_logs,inclusive,2,1707,1.2667886018753052,0.1758018434047699,1.2551020383834839,1.2788547277450562
2,chop_logs,inclusive,3,1708,1.2927379608154297,0.20361113548278809,1.2788684368133545,1.3051705360412598
2,chop_logs,inclusive,4,1707,1.3213435411453247,0.22572466731071472,1.305201530456543,1.3389896154403687
2,chop_logs,inclusive,5,1708,1.3580870628356934,0.26636138558387756,1.3389983177185059,1.376502513885498
2,chop_logs,inclusive,6,1707,1.3974207639694214,0.25479501485824585,1.376522421836853,1.4175511598587036
2,chop_logs,inclusive,7,1708,1.4364001750946045,0.23365682363510132,1.4175537824630737,1.4559524059295654
2,chop_logs,inclusive,8,1707,1.4806292057037354,0.2482631653547287,1.456017255783081,1.5071535110473633
2,chop_logs,inclusive,9,1708,1.564724326133728,0.2426942139863968,1.5071583986282349,2.0146617889404297
2,chop_logs,exclusive,0,1708,1.2097755670547485,0.1696813404560089,1.1337072849273682,1.2293620109558105
2,chop_logs,exclusive,1,1708,1.2431403398513794,0.12433093041181564,1.2293710708618164,1.2550996541976929
2,chop_logs,exclusive,2,1707,1.2667886018753052,0.16994361579418182,1.2551020383834839,1.2788547277450562
2,chop_logs,exclusive,3,1708,1.2927379608154297,0.1959998905658722,1.2788684368133545,1.3051705360412598
2,chop_logs,exclusive,4,1707,1.3213435411453247,0.22162391245365143,1.305201530456543,1.3389896154403687
2,chop_logs,exclusive,5,1708,1.3580870628356934,0.26050660014152527,1.3389983177185059,1.376502513885498
2,chop_logs,exclusive,6,1707,1.3974207639694214,0.25069424510002136,1.376522421836853,1.4175511598587036
2,chop_logs,exclusive,7,1708,1.4364001750946045,0.2319003790616989,1.4175537824630737,1.4559524059295654
2,chop_logs,exclusive,8,1707,1.4806292057037354,0.245919868350029,1.456017255783081,1.5071535110473633
2,chop_logs,exclusive,9,1708,1.564724326133728,0.24093778431415558,1.5071583986282349,2.0146617889404297
