goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,kill_goblin,inclusive,0,1653,0.9739647507667542,0.0011397404596209526,0.6693591475486755,1.1308963298797607
0,kill_goblin,inclusive,1,1653,1.2483590841293335,0.13069255650043488,1.1309212446212769,1.3773154020309448
0,kill_goblin,inclusive,2,1653,1.485210657119751,0.26319020986557007,1.3773884773254395,1.5612115859985352
0,kill_goblin,inclusive,3,1653,1.596734881401062,0.19190417230129242,1.5613150596618652,1.6320174932479858
0,kill_goblin,inclusive,4,1653,1.6678180694580078,0.22467847168445587,1.6320397853851318,1.7045615911483765
0,kill_goblin,inclusive,5,1653,1.7397984266281128,0.2249489277601242,1.7045791149139404,1.7708032131195068
0,kill_goblin,inclusive,6,1653,1.799804925918579,0.2361363023519516,1.7708128690719604,1.826542854309082
0,kill_goblin,inclusive,7,1653,1.8495488166809082,0.2322816252708435,1.8265628814697266,1.8742010593414307
0,kill_goblin,inclusive,8,1653,1.896547794342041,0.22290898859500885,1.8742893934249878,1.9210381507873535
0,kill_goblin,inclusive,9,1653,1.9698258638381958,0.21160906553268433,1.92104172706604,2.209428071975708
0,kill_goblin,exclusive,0,1653,0.9739647507667542,0.0005347797996364534,0.6693591475486755,1.1308963298797607
0,kill_goblin,exclusive,1,1653,1.2483590841293335,0.11919831484556198,1.1309212446212769,1.3773154020309448
0,kill_goblin,exclusive,2,1653,1.485210657119751,0.2541157901287079,1.3773884773254395,1.5612115859985352
0,kill_goblin,exclusive,3,1653,1.596734881401062,0.18403968214988708,1.5613150596618652,1.6320174932479858
0,kill_goblin,exclusive,4,1653,1.6678180694580078,0.22165367007255554,1.6320397853851318,1.7045615911483765
0,kill_goblin,exclusive,5,1653,1.7397984266281128,0.22071419656276703,1.7045791149139404,1.7708032131195068
0,kill_goblin,exclusive,6,1653,1.799804925918579,0.2361363023519516,1.7708128690719604,1.826542854309082
0,kill_goblin,exclusive,7,1653,1.8495488166809082,0.23046673834323883,1.8265628814697266,1.8742010593414307
0,kill_goblin,exclusive,8,1653,1.896547794342041,0.22230403125286102,1.8742893934249878,1.9210381507873535
0,kill_goblin,exclusive,9,1653,1.9698258638381958,0.21160906553268433,1.92104172706604,2.209428071975708
1,bury_bones,inclusive,0,1410,1.0200865268707275,0.045275066047906876,0.5697608590126038,1.184544324874878
1,bury_bones,inclusive,1,1410,1.2399829626083374,0.09134307503700256,1.184565544128418,1.3247480392456055
1,bury_bones,inclusive,2,1409,1.4261565208435059,0.12812696397304535,1.3249602317810059,1.5267130136489868
1,bury_bones,inclusive,3,1410,1.5662428140640259,0.06934943050146103,1.5268888473510742,1.5874383449554443
1,bury_bones,inclusive,4,1409,1.6067166328430176,0.03653697669506073,1.5874470472335815,1.6301401853561401
1,bury_bones,inclusive,5,1410,1.658443808555603,0.03233996033668518,1.6301532983779907,1.6976115703582764
1,bury_bones,inclusive,6,1409,1.7508553266525269,0.06401537358760834,1.6976470947265625,1.8180339336395264
1,bury_bones,inclusive,7,1410,1.8712706565856934,0.05747861787676811,1.818068265914917,1.9325752258300781
1,bury_bones,inclusive,8,1409,2.119577646255493,0.17316947877407074,1.9326326847076416,2.4258525371551514
1,bury_bones,inclusive,9,1410,2.6800830364227295,0.08242550492286682,2.426194667816162,3.4859566688537598
1,bury_bones,exclusive,0,1410,1.0200865268707275,0.04031052812933922,0.5697608590126038,1.184544324874878
1,bury_bones,exclusive,1,1410,1.2399829626083374,0.07574024796485901,1.184565544128418,1.3247480392456055
1,bury_bones,exclusive,2,1409,1.4261565208435059,0.12031999975442886,1.3249602317810059,1.5267130136489868
1,bury_bones,exclusive,3,1410,1.5662428140640259,0.06651254743337631,1.5268888473510742,1.5874383449554443
1,bury_bones,exclusive,4,1409,1.6067166328430176,0.03582725301384926,1.5874470472335815,1.6301401853561401
1,bury_bones,exclusive,5,1410,1.658443808555603,0.0316307432949543,1.6301532983779907,1.6976115703582764
1,bury_bones,exclusive,6,1409,1.7508553266525269,0.06117648258805275,1.6976470947265625,1.8180339336395264
1,bury_bones,exclusive,7,1410,1.8712706565856934,0.05535095930099487,1.818068265914917,1.9325752258300781
1,bury_bones,exclusive,8,1409,2.119577646255493,0.16607224941253662,1.9326326847076416,2.4258525371551514
1,bury_bones,exclusive,9,1410,2.6800830364227295,0.08171628415584564,2.426194667816162,3.4859566688537598
2,chop_logs,inclusive,0,1729,0.5838443636894226,0.08231470733880997,0.5104568004608154,0.6067755222320557
2,chop_logs,inclusive,1,1729,0.6334258913993835,0.03879961743950844,0.606784999370575,0.6710423231124878
2,chop_logs,inclusive,2,1729,0.7249923348426819,0.07556755095720291,0.6710517406463623,0.7730216979980469
2,chop_logs,inclusive,3,1729,0.8091016411781311,0.09046124666929245,0.7730873823165894,0.8358806371688843
2,chop_logs,inclusive,4,1729,0.849940836429596,0.16673442721366882,0.8358837962150574,0.8602034449577332
2,chop_logs,inclusive,5,1729,0.8660919070243835,0.19594670832157135,0.8602114915847778,0.8719154000282288
2,chop_logs,inclusive,6,1729,0.877592921257019,0.29358240962028503,0.8719171285629272,0.8849622011184692
2,chop_logs,inclusive,7,1729,0.8976313471794128,0.45519813895225525,0.8849756121635437,0.913048505783081
2,chop_logs,inclusive,8,1729,0.9282302856445312,0.45429256558418274,0.9131073951721191,0.9448544979095459
2,chop_logs,inclusive,9,1729,1.0157873630523682,0.38358089327812195,0.94487464427948,2.246584892272949
2,chop_logs,exclusive,0,1729,0.5838443636894226,0.08115796744823456,0.5104568004608154,0.6067755222320557
2,chop_logs,exclusive,1,1729,0.6334258913993835,0.03879961743950844,0.606784999370575,0.6710423231124878
2,chop_logs,exclusive,2,1729,0.7249923348426819,0.0749891847372055,0.6710517406463623,0.7730216979980469
2,chop_logs,exclusive,3,1729,0.8091016411781311,0.09046124666929245,0.7730873823165894,0.8358806371688843
2,chop_logs,exclusive,4,1729,0.849940836429596,0.16673442721366882,0.8358837962150574,0.8602034449577332
2,chop_logs,exclusive,5,1729,0.8660919070243835,0.19536834955215454,0.8602114915847778,0.8719154000282288
2,chop_logs,exclusive,6,1729,0.877592921257019,0.2906905710697174,0.8719171285629272,0.8849622011184692
2,chop_logs,exclusive,7,1729,0.8976313471794128,0.447100967168808,0.8849756121635437,0.913048505783081
2,chop_logs,exclusive,8,1729,0.9282302856445312,0.4404117166996002,0.9131073951721191,0.9448544979095459
2,chop_logs,exclusive,9,1729,1.0157873630523682,0.37374863028526306,0.94487464427948,2.246584892272949
