event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,kill_goblin,0,kill_goblin,64,0.9711403250694275,0.04005300626158714,1.5041613578796387,1.4966905117034912
0,kill_goblin,1,bury_bones,64,0.9129356145858765,0.07508934289216995,1.4861013889312744,1.4794704914093018
0,kill_goblin,2,chop_logs,64,0.8902866840362549,0.20622283220291138,1.4347727298736572,1.4279561042785645
0,kill_goblin,3,light_fire,64,0.9624571800231934,0.03828198462724686,1.4487066268920898,1.4415067434310913
0,kill_goblin,4,catch_fish,64,0.9603449106216431,0.03917307406663895,1.4474804401397705,1.4402835369110107
1,bury_bones,0,kill_goblin,64,0.9847036600112915,0.03410167992115021,1.4658467769622803,1.4915015697479248
1,bury_bones,1,bury_bones,64,0.9937412738800049,0.004614992067217827,1.5018365383148193,1.5288604497909546
1,bury_bones,2,chop_logs,64,0.9599540829658508,0.0972847193479538,1.4327590465545654,1.4570400714874268
1,bury_bones,3,light_fire,64,0.9936134219169617,0.0105188162997365,1.4472315311431885,1.4717748165130615
1,bury_bones,4,catch_fish,64,0.992418110370636,0.01084312703460455,1.4465751647949219,1.4711052179336548
2,chop_logs,0,kill_goblin,64,0.9683535099029541,0.03655056655406952,0.922658383846283,0.9323484301567078
2,chop_logs,1,bury_bones,64,0.9177443385124207,0.05631387606263161,0.9275976419448853,0.9376747608184814
2,chop_logs,2,chop_logs,64,0.9115724563598633,0.08413626253604889,0.9109424352645874,0.9196192622184753
2,chop_logs,3,light_fire,64,0.9587188959121704,0.037948258221149445,0.9190170168876648,0.9285023212432861
2,chop_logs,4,catch_fish,64,0.9552996158599854,0.03897804766893387,0.918755829334259,0.9280440807342529
