proposal,control_scope,horizon,relationship,actual_goal,actual_goal_name,rows,online_value_start_mean,slow_value_start_mean,online_slow_start_gap,online_value_final_mean,slow_value_final_mean,return_mean,return_p95,return_max,return_bias_vs_realized,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,imagined_reward_sum_mean,imagined_reward_event_posterior_sample_rate,imagined_stop_posterior_sample_rate,prior_entropy_mean,first_action_unique_fraction,all_action_unique_fraction
actor,all,1,factual,0,go_to_door,62,3.9247073127377416,3.942753326508307,-0.018045995444540056,5.14840349074333,5.1439163377208095,5.132028359772075,5.408575226635884,5.4798881686660055,nan,9.00135669756169e-05,5.131938346205099,5.131938346205099,0.9999823511075115,9.001356766332484e-05,0.0,0.0,0.8865415511592742,0.046370967741935484,0.046370967741935484
actor,all,1,factual,1,fetch,43,2.50818778747736,2.266127891318743,0.24205988472284273,2.49951227875643,2.278660491455433,2.491979710419766,2.6519438778029274,2.7497771904266615,nan,0.00023537142579161744,2.4917443389939735,2.4917443389939735,0.9999080095419134,0.00023537142875630537,0.0,0.0,1.1173379587572674,0.053052325581395346,0.053052325581395346
actor,all,1,factual,2,go_to_object,64,2.2846641521900892,2.0579759534448385,0.22668820596300066,2.3397505516186357,2.121139229275286,2.331109950215614,2.5984958176948583,2.773592945614659,nan,0.00040929974166625804,2.3307006504739474,2.3307006504739474,0.9998080540799543,0.00040929974598036267,0.0,0.00048828125,1.0736770629882812,0.05517578125,0.05517578125
actor,all,1,factual,3,put_near,32,2.6002484932541847,2.391147159039974,0.20910131139680743,2.4997745156288147,2.305753581225872,2.4892681904695935,2.681936446876894,2.815577937806942,nan,8.16034318605191e-05,2.4891865870377328,2.4891865870377328,0.9999682081178696,8.16034305444191e-05,0.0,0.0,1.1059989929199219,0.0576171875,0.0576171875
actor,all,1,counterfactual,0,go_to_door,310,3.181004540381893,3.1425231625956873,0.038481375755321595,4.802140740425356,4.796143124565002,4.7873802976609285,5.1369865518228615,5.236926911748863,nan,0.00015387573625814344,4.787226421924671,4.787226421924671,0.9999678422854446,0.0001538757358645171,0.0,0.0,0.8796181955645161,0.04657258064516129,0.04657258064516129
actor,all,1,counterfactual,1,fetch,215,2.750673014064168,2.556038843199264,0.19463416272124578,2.61815718939138,2.417079195865365,2.602264441364992,2.8215284659866504,2.9525789105320546,nan,0.00042335105389014374,2.6018410903111016,2.6018410903111016,0.9998436415171734,0.0004233510521038662,0.0,0.0,1.1266913835392443,0.05116279069767442,0.05116279069767442
actor,all,1,counterfactual,2,go_to_object,320,2.7188818000257013,2.544946635887027,0.17393516129814088,2.5656080029904844,2.386407447233796,2.560400926673535,2.7955777643342556,2.9656567113736547,nan,0.004687060691474398,2.5557138659820597,2.5557138659820597,0.998120518465824,0.004687060753865069,0.0,0.000390625,1.0802146911621093,0.05556640625,0.05556640625
actor,all,1,counterfactual,3,put_near,160,2.6122296169400214,2.411591474711895,0.20063813836313785,2.4980674594640733,2.3020555384457113,2.488344800798064,2.688474235752397,2.819402844408841,nan,5.331481547444228e-05,2.488291485982589,2.488291485982589,0.999979320341831,5.3314815863458875e-05,0.0,0.0,1.107672119140625,0.05625,0.05625
actor,all,3,factual,0,go_to_door,62,3.9247073127377416,3.942753326508307,-0.018045995444540056,5.595435773172686,5.625394828857914,5.514501337922467,5.739383661380817,5.803040638044461,nan,0.0006839331666566829,5.513817404755807,5.513817404755807,0.9998799045076474,0.0007401039579088965,0.0,0.0,0.9170998171452553,0.046370967741935484,0.030073924731182797
actor,all,3,factual,1,fetch,43,2.50818778747736,2.266127891318743,0.24205988472284273,2.5431845798048864,2.327242050060006,2.519636981495634,2.7788501650672797,2.856178417806282,nan,0.0012183708821929004,2.5184186106134407,2.5184186106134407,0.9995582487978143,0.001297086340921555,0.0,0.0,1.1579145137653795,0.053052325581395346,0.02955426356589147
actor,all,3,factual,2,go_to_object,64,2.2846641521900892,2.0579759534448385,0.22668820596300066,2.3983316775411367,2.182277297601104,2.3687349003757325,2.6995574804498137,2.891553197267531,nan,0.001738750775618571,2.366996149600114,2.366996149600114,0.9992233962623462,0.0018609508780684791,0.0,0.00146484375,1.12906582839787,0.05517578125,0.030110677083333332
