balanced_accuracy,episodes,false_positive_rate,goal,policy_mode,positives,predictor,roc_auc,target,threshold,true_positive_rate,window
0.5555555555555556,90,0.08888888888888889,all,all,45,mean_js,0.482962962962963,underperform,0.02544970903545618,0.2,1
0.5555555555555556,90,0.08888888888888889,all,all,45,max_js,0.482962962962963,underperform,0.02544970903545618,0.2,1
0.5333333333333333,90,0.0,all,all,45,actor_entropy,0.43604938271604937,underperform,0.7167253792285919,0.06666666666666667,1
0.5222222222222223,90,0.0,all,all,45,posterior_entropy,0.37037037037037035,underperform,0.6792686581611633,0.044444444444444446,1
0.5666666666666667,90,0.8,all,all,45,predicted_failure,0.5538271604938272,underperform,0.984375,0.9333333333333333,1
0.5777777777777777,90,0.13333333333333333,all,all,45,js_fraction,0.5624691358024692,underperform,0.10784038151872138,0.28888888888888886,1
0.5666666666666668,90,0.08888888888888889,all,all,45,js_x_predicted_failure,0.4883950617283951,underperform,0.023321880027651787,0.2222222222222222,1
0.5555555555555556,90,0.13333333333333333,all,all,45,mean_js,0.5451851851851852,underperform,0.008618104096967727,0.24444444444444444,5
0.5666666666666667,90,0.37777777777777777,all,all,45,max_js,0.5175308641975309,underperform,0.013236102648079395,0.5111111111111111,5
0.5111111111111111,90,0.9777777777777777,all,all,45,actor_entropy,0.35160493827160494,underperform,0.016073364081239563,1.0,5
0.5111111111111111,90,0.9777777777777777,all,all,45,posterior_entropy,0.3506172839506173,underperform,0.018150547678669682,1.0,5
0.6333333333333333,90,0.6,all,all,45,predicted_failure,0.6535802469135803,underperform,0.9976562499999999,0.8666666666666667,5
0.6222222222222222,90,0.35555555555555557,all,all,45,js_fraction,0.6241975308641975,underperform,0.025492931108317407,0.6,5
0.5777777777777777,90,0.28888888888888886,all,all,45,js_x_predicted_failure,0.5545679012345679,underperform,0.005468725266000547,0.4444444444444444,5
0.5444444444444445,90,0.6444444444444445,all,all,45,mean_js,0.5007407407407407,underperform,0.0026142199109017382,0.7333333333333333,10
0.5666666666666667,90,0.4444444444444444,all,all,45,max_js,0.49925925925925924,underperform,0.01211619982495904,0.5777777777777777,10
0.5,90,0.0,all,all,45,actor_entropy,0.348641975308642,underperform,0.893700933456421,0.0,10
0.5,90,0.0,all,all,45,posterior_entropy,0.3402469135802469,underperform,0.8808481454849244,0.0,10
0.6333333333333333,90,0.4,all,all,45,predicted_failure,0.6688888888888889,underperform,0.999609375,0.6666666666666666,10
0.6222222222222222,90,0.37777777777777777,all,all,45,js_fraction,0.6049382716049383,underperform,0.02086434868367093,0.6222222222222222,10
0.5666666666666667,90,0.6,all,all,45,js_x_predicted_failure,0.5170370370370371,underperform,0.0026111600675585577,0.7333333333333333,10
0.6000000000000001,90,0.5333333333333333,all,all,45,mean_js,0.5274074074074074,underperform,0.002604642798644363,0.7333333333333333,25
0.5555555555555556,90,0.15555555555555556,all,all,45,max_js,0.5155555555555555,underperform,0.02230821643024683,0.26666666666666666,25
0.5222222222222223,90,0.8,all,all,45,actor_entropy,0.3762962962962963,underperform,0.09446549602056621,0.8444444444444444,25
0.5111111111111112,90,0.8222222222222222,all,all,45,posterior_entropy,0.36592592592592593,underperform,0.09486721595952985,0.8444444444444444,25
0.7222222222222222,90,0.37777777777777777,all,all,45,predicted_failure,0.7718518518518519,underperform,0.9959548611111111,0.8222222222222222,25
0.6222222222222222,90,0.4444444444444444,all,all,45,js_fraction,0.5832098765432099,underperform,0.013405645670298175,0.6888888888888889,25
0.6111111111111112,90,0.5111111111111111,all,all,45,js_x_predicted_failure,0.5476543209876543,underperform,0.002604642798644363,0.7333333333333333,25
0.5993788819875776,90,0.42028985507246375,all,all,21,mean_js,0.5500345065562456,ir_needed,0.01211619982495904,0.6190476190476191,1
0.5993788819875776,90,0.42028985507246375,all,all,21,max_js,0.5500345065562456,ir_needed,0.01211619982495904,0.6190476190476191,1
0.5424430641821946,90,0.057971014492753624,all,all,21,actor_entropy,0.4085576259489303,ir_needed,0.6012046039104462,0.14285714285714285,1
0.5258799171842651,90,0.043478260869565216,all,all,21,posterior_entropy,0.35955831608005523,ir_needed,0.582276463508606,0.09523809523809523,1
0.5652173913043479,90,0.8695652173913043,all,all,21,predicted_failure,0.5196687370600414,ir_needed,0.9453125,1.0,1
0.6521739130434782,90,0.36231884057971014,all,all,21,js_fraction,0.6390614216701174,ir_needed,0.055042166929629405,0.6666666666666666,1
0.5993788819875776,90,0.42028985507246375,all,all,21,js_x_predicted_failure,0.5541752933057281,ir_needed,0.01210096671275096,0.6190476190476191,1
0.6231884057971013,90,0.42028985507246375,all,all,21,mean_js,0.6369910282953761,ir_needed,0.004637449034271412,0.6666666666666666,5
0.6014492753623188,90,0.13043478260869565,all,all,21,max_js,0.5514147688060732,ir_needed,0.024436800740659237,0.3333333333333333,5
0.5952380952380953,90,0.6666666666666666,all,all,21,actor_entropy,0.47135955831608006,ir_needed,0.11805691138142721,0.8571428571428571,5
0.5952380952380953,90,0.6666666666666666,all,all,21,posterior_entropy,0.46790890269151136,ir_needed,0.1286407701438293,0.8571428571428571,5
0.6118012422360248,90,0.6811594202898551,all,all,21,predicted_failure,0.588336783988958,ir_needed,0.9976562499999999,0.9047619047619048,5
0.6200828157349897,90,0.18840579710144928,all,all,21,js_fraction,0.5810904071773637,ir_needed,0.04995476540618393,0.42857142857142855,5
0.6273291925465838,90,0.5072463768115942,all,all,21,js_x_predicted_failure,0.6418219461697723,ir_needed,0.00379335284580975,0.7619047619047619,5
0.6014492753623188,90,0.13043478260869565,all,all,21,mean_js,0.6176673567977916,ir_needed,0.006770700812921859,0.3333333333333333,10
0.5942028985507246,90,0.14492753623188406,all,all,21,max_js,0.538992408557626,ir_needed,0.024436800740659237,0.3333333333333333,10
0.582815734989648,90,0.7391304347826086,all,all,21,actor_entropy,0.47550034506556244,ir_needed,0.09654936008373624,0.9047619047619048,10
0.5662525879917184,90,0.7246376811594203,all,all,21,posterior_entropy,0.4665286404416839,ir_needed,0.10757461842149496,0.8571428571428571,10
0.5910973084886129,90,0.5797101449275363,all,all,21,predicted_failure,0.5841959972394755,ir_needed,0.998828125,0.7619047619047619,10
0.6180124223602484,90,0.14492753623188406,all,all,21,js_fraction,0.5700483091787439,ir_needed,0.048628687266798885,0.38095238095238093,10
0.608695652173913,90,0.11594202898550725,all,all,21,js_x_predicted_failure,0.6287094547964113,ir_needed,0.006770700812921859,0.3333333333333333,10
0.6055900621118012,90,0.5507246376811594,all,all,21,mean_js,0.5638371290545203,ir_needed,0.002820582264685072,0.7619047619047619,25
0.5942028985507246,90,0.14492753623188406,all,all,21,max_js,0.5355417529330573,ir_needed,0.024436800740659237,0.3333333333333333,25
0.5703933747412008,90,0.8115942028985508,all,all,21,actor_entropy,0.5182884748102139,ir_needed,0.09268955035717227,0.9523809523809523,25
0.577639751552795,90,0.7971014492753623,all,all,21,posterior_entropy,0.5058661145617668,ir_needed,0.09486721595952985,0.9523809523809523,25
