event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,kill_goblin,0,kill_goblin,64,0.9880696535110474,0.02725362963974476,1.4965012073516846,1.4945132732391357
0,kill_goblin,1,bury_bones,64,0.938396692276001,0.06318332254886627,1.4725658893585205,1.4708740711212158
0,kill_goblin,2,chop_logs,64,0.9180957078933716,0.1775592565536499,1.4255187511444092,1.4245610237121582
0,kill_goblin,3,light_fire,64,0.9793246984481812,0.028313931077718735,1.4400269985198975,1.4387218952178955
0,kill_goblin,4,catch_fish,64,0.9777940511703491,0.0293084979057312,1.4380340576171875,1.4367395639419556
1,bury_bones,0,kill_goblin,64,0.974139928817749,0.04646499454975128,1.446739673614502,1.4789835214614868
1,bury_bones,1,bury_bones,64,0.9907727837562561,0.007541185710579157,1.492208480834961,1.5262925624847412
1,bury_bones,2,chop_logs,64,0.9342647790908813,0.1198461502790451,1.4132329225540161,1.4445600509643555
1,bury_bones,3,light_fire,64,0.9890066981315613,0.01389358937740326,1.429060935974121,1.460446834564209
1,bury_bones,4,catch_fish,64,0.9874883890151978,0.014252543449401855,1.4284203052520752,1.459421992301941
2,chop_logs,0,kill_goblin,64,0.9626370668411255,0.05610008165240288,0.9130550622940063,0.922114372253418
2,chop_logs,1,bury_bones,64,0.9252057075500488,0.06924028694629669,0.9168806076049805,0.9263971447944641
2,chop_logs,2,chop_logs,64,0.9054737091064453,0.09704744815826416,0.8995906114578247,0.9078258872032166
2,chop_logs,3,light_fire,64,0.9574716687202454,0.05649124085903168,0.9082961082458496,0.9169259071350098
2,chop_logs,4,catch_fish,64,0.953954815864563,0.056851211935281754,0.9080908298492432,0.9166858792304993
