proposal,control_scope,horizon,relationship,actual_goal,actual_goal_name,rows,online_value_start_mean,slow_value_start_mean,online_slow_start_gap,online_value_final_mean,slow_value_final_mean,return_mean,return_p95,return_max,return_bias_vs_realized,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,imagined_reward_sum_mean,imagined_reward_event_posterior_sample_rate,imagined_stop_posterior_sample_rate,prior_entropy_mean,first_action_unique_fraction,all_action_unique_fraction
actor,all,1,factual,0,go_to_door,63,0.41807715807642254,0.4183403504273248,-0.00026319136044808796,0.407600679567882,0.4064224561055501,0.40639995895898867,0.42188502512152015,0.4281186979456952,nan,1.0579443443445963e-05,0.4063893795155451,0.4063893795155451,0.9999753714134608,1.0579443575183616e-05,0.0,0.0,1.2451501271081349,0.07043650793650794,0.07043650793650794
actor,all,1,factual,1,fetch,32,0.4050489151850343,0.4033374795690179,0.0017114364600274712,0.41153937857598066,0.4096734719350934,0.41002674041074816,0.4261276474999772,0.43355029731753686,nan,2.2186068625119904e-05,0.410004554342123,0.410004554342123,0.9999413050514824,2.218606900505904e-05,0.0,0.0009765625,1.3034629821777344,0.0625,0.0625
actor,all,1,factual,2,go_to_object,64,0.4224086874164641,0.4224010040052235,7.680690032429993e-06,0.41612408962100744,0.41492972848936915,0.4149336805300908,0.4319591725709555,0.4391259041972427,nan,2.0179289933431807e-05,0.41491350124015736,0.41491350124015736,0.9999531394246357,2.0179289850486004e-05,0.0,0.0,1.2106456756591797,0.0703125,0.0703125
actor,all,1,factual,3,put_near,32,0.4524576999247074,0.45396347995847464,-0.0015057832351885736,0.45487391017377377,0.45580181665718555,0.45352801300344353,0.48297399822097814,0.49483646092454003,nan,2.0997567077643553e-05,0.45350701543636585,0.45350701543636585,0.999952721221455,2.0997567035330178e-05,0.0,0.0,1.3085975646972656,0.0625,0.0625
actor,all,1,counterfactual,0,go_to_door,315,0.4036376685377151,0.40253753576959883,0.0011001306985105788,0.39975922353683957,0.39799857272042166,0.3985850797065058,0.4113246243352734,0.41618793796975406,nan,9.684924283247397e-06,0.39857539478222254,0.39857539478222254,0.9999768444616097,9.684924184024826e-06,0.0,0.0,1.2453287760416667,0.07410714285714286,0.07410714285714286
actor,all,1,counterfactual,1,fetch,160,0.4334700217470527,0.43426685854792596,-0.0007968380057718604,0.4307870963588357,0.4303876109421253,0.42932247635312315,0.451065518309684,0.46217306393106944,nan,7.456286404336349e-05,0.4292479134890799,0.4292479134890799,0.9998099929264285,7.456286386346989e-05,0.0,0.0005859375,1.2948745727539062,0.0697265625,0.0697265625
actor,all,1,counterfactual,2,go_to_object,320,0.4181008171290159,0.4177555670030415,0.0003452487086178735,0.41339100459590555,0.41204699939116834,0.4122028505255149,0.42825399461624725,0.43509497674213227,nan,1.694112113443773e-05,0.41218590940438055,0.41218590940438055,0.9999607900561284,1.6941120819058408e-05,0.0,0.0,1.2232181549072265,0.0708984375,0.0708984375
actor,all,1,counterfactual,3,put_near,160,0.4484332552179694,0.44961750246584414,-0.001184247387573123,0.45077894572168586,0.4513546654954553,0.44944285060984857,0.47763426396067243,0.4890053226482432,nan,1.6857286888129902e-05,0.4494259933229604,0.4494259933229604,0.9999621231164815,1.6857286844240704e-05,0.0,0.0,1.3099479675292969,0.0626953125,0.0626953125
actor,all,3,factual,0,go_to_door,63,0.41807715807642254,0.4183403504273248,-0.00026319136044808796,0.41378554039531285,0.41305058059238253,0.40972500321954286,0.4409276905283072,0.4577321503109473,nan,1.2824521876606103e-05,0.40971217869766624,0.40971217869766624,0.999969471651358,1.3024948784172848e-05,0.0,0.0,1.2140357626809015,0.07043650793650794,0.03422619047619047
actor,all,3,factual,1,fetch,32,0.4050489151850343,0.4033374795690179,0.0017114364600274712,0.41995322797447443,0.41776314936578274,0.4158020907864701,0.4539520609973005,0.47875549954513635,nan,0.0005883887909860317,0.41521370199548413,0.41521370199548413,0.9985530938698217,0.0006523966598503961,0.0009765625,0.001953125,1.281763719394803,0.0625,0.033203125
actor,all,3,factual,2,go_to_object,64,0.4224086874164641,0.4224010040052235,7.680690032429993e-06,0.42505897115916014,0.4239059276878834,0.4221136942631287,0.46317678605526547,0.4833344438818735,nan,0.0022377103186971025,0.4198759839444316,0.4198759839444316,0.9961207311158895,0.00241128912657107,0.0009765625,0.0009765625,1.2364603700116277,0.0703125,0.035319010416666664
actor,all,3,factual,3,put_near,32,0.4524576999247074,0.45396347995847464,-0.0015057832351885736,0.4613474905490875,0.4634084915742278,0.4585491935556427,0.5209857106977753,0.5541998018637209,nan,0.004017834790965458,0.45453135876467726,0.45453135876467726,0.9922494032581586,0.004461915442239395,0.0048828125,0.005859375,1.2712554968893528,0.0625,0.033854166666666664
actor,all,3,counterfactual,0,go_to_door,315,0.4036376685377151,0.40253753576959883,0.0011001306985105788,0.4065161071126423,0.4051890244559636,0.40254513140421166,0.4295052186214593,0.4438981553641021,nan,1.1767326847571348e-05,0.40253336407736406,0.40253336407736406,0.9999714972046577,1.1952554575961427e-05,0.0,0.0,1.2144050723030453,0.07410714285714286,0.03531746031746032
actor,all,3,counterfactual,1,fetch,160,0.4334700217470527,0.43426685854792596,-0.0007968380057718604,0.43616513404995205,0.4353219734504819,0.4324091473336969,0.4796797755260207,0.5105884734608784,nan,0.0010336745072524105,0.43137547282644456,0.43137547282644456,0.9975767146490456,0.0011401623015114381,0.001171875,0.0017578125,1.2759887751191854,0.0697265625,0.03509114583333334
