actor_updates_per_step,condition,episodes,gate_activation_rate,gate_kind,goal,imagined_transitions_per_step,objective_label,paired_delta_vs_always,policy_mode,seconds_per_step,success_rate,task_role
0.987603305785124,always_reward_only,150,0.987603305785124,none,chop_logs,1896.198347107438,reward_only,0.0,sampled,0.12944009957231836,0.86,strong
0.9934010822225156,always_standard,150,0.9934010822225156,none,chop_logs,1907.3300778672299,standard,0.0,sampled,0.13004178008341327,0.4066666666666667,strong
0.38356061176825135,js_reward_only,150,0.38356061176825135,js,chop_logs,736.4363745950426,reward_only,0.006666666666666668,sampled,0.12428616875219645,0.8666666666666667,strong
0.4530711915346566,js_standard,150,0.4530711915346566,js,chop_logs,869.8966877465406,standard,0.3066666666666667,sampled,0.1253708859198522,0.7133333333333334,strong
0.0,no_ir,150,0.0,none,chop_logs,0.0,no_ir,0.0,sampled,0.11954226188147897,0.82,strong
0.1669727578818488,two_stage_reward_only,150,0.1669727578818488,two_stage,chop_logs,1622.4793388429753,reward_only,0.04,sampled,0.12249114863069985,0.9,strong
0.0976365305185865,two_stage_standard,150,0.0976365305185865,two_stage,chop_logs,1667.6640660853602,standard,0.2866666666666667,sampled,0.12171582759132343,0.6933333333333334,strong
0.9890718344747195,always_reward_only,75,0.9890718344747195,none,chop_logs,1899.0179221914614,reward_only,0.0,deterministic,0.13000046598441098,0.76,strong
0.9934924078091106,always_standard,75,0.9934924078091106,none,chop_logs,1907.5054229934924,standard,0.0,deterministic,0.13074558905934927,0.37333333333333335,strong
0.39776382294378926,js_reward_only,75,0.39776382294378926,js,chop_logs,763.7065400520754,reward_only,0.08,deterministic,0.12435733236804575,0.84,strong
0.3710275423728814,js_standard,75,0.3710275423728814,js,chop_logs,712.3728813559322,standard,9.25185853854297e-18,deterministic,0.12451981066313926,0.37333333333333335,strong
0.0,no_ir,75,0.0,none,chop_logs,0.0,no_ir,0.0,deterministic,0.11953671182294974,0.7466666666666667,strong
0.15474392420705754,two_stage_reward_only,75,0.15474392420705754,two_stage,chop_logs,1744.6876287244268,reward_only,-0.04,deterministic,0.12234262662776717,0.72,strong
0.0831447963800905,two_stage_standard,75,0.0831447963800905,two_stage,chop_logs,1643.2579185520362,standard,0.12,deterministic,0.12153336192062617,0.49333333333333335,strong
0.991930711711227,always_reward_only,150,0.991930711711227,none,bury_bones,1904.506966485556,reward_only,0.0,sampled,0.1297484883964218,0.6533333333333333,weak
0.9946014036350549,always_standard,150,0.9946014036350549,none,bury_bones,1909.6346949793053,standard,0.0,sampled,0.1306134924526191,0.16666666666666666,weak
0.5818869786954018,js_reward_only,150,0.5818869786954018,js,bury_bones,1117.2229990951714,reward_only,-0.3333333333333333,sampled,0.12668186215970437,0.32,weak
0.47886352665333426,js_standard,150,0.47886352665333426,js,bury_bones,919.4179711744017,standard,-0.08666666666666667,sampled,0.1260536306610591,0.08,weak
0.0,no_ir,150,0.0,none,bury_bones,0.0,no_ir,0.0,sampled,0.1198207226396964,0.4266666666666667,weak
0.012970219435736677,two_stage_reward_only,150,0.012970219435736677,two_stage,bury_bones,1205.191222570533,reward_only,-0.37333333333333335,sampled,0.120418271540243,0.28,weak
0.0112227682828431,two_stage_standard,150,0.0112227682828431,two_stage,bury_bones,1215.4742169735202,standard,0.013333333333333338,sampled,0.12044802890332322,0.18,weak
0.9920263661492664,always_reward_only,75,0.9920263661492664,none,bury_bones,1904.6906230065915,reward_only,0.0,deterministic,0.1294971727721664,0.6533333333333333,weak
0.9948421704146895,always_standard,75,0.9948421704146895,none,bury_bones,1910.0969671962039,standard,0.0,deterministic,0.1300281985707287,0.04,weak
0.4962983527669813,js_reward_only,75,0.4962983527669813,js,bury_bones,952.8928373126041,reward_only,-0.17333333333333334,deterministic,0.1258424696536146,0.48,weak
0.5077392631349466,js_standard,75,0.5077392631349466,js,bury_bones,974.8593852190975,standard,0.09333333333333334,deterministic,0.12622803969703772,0.13333333333333333,weak
0.0,no_ir,75,0.0,none,bury_bones,0.0,no_ir,0.0,deterministic,0.11980315985830707,0.0,weak
0.012920298879202988,two_stage_reward_only,75,0.012920298879202988,two_stage,bury_bones,1272.6276463262764,reward_only,-0.41333333333333333,deterministic,0.12036314987967066,0.24,weak
0.007142857142857143,two_stage_standard,75,0.007142857142857143,two_stage,bury_bones,1263.9731092436975,standard,0.3333333333333333,deterministic,0.12068173840706052,0.37333333333333335,weak
