actor_distribution_enabled,actor_rows,arm,complete,completion_reward_margin,episodes,horizons,integrity_equal,kind,recorded_rows,reward_factual_auroc,reward_factual_average_precision,rows,seed,states,step,summary_path
True,,uniform_reservoir,True,0.0,32,,True,head,,0.5,0.06301015892379477,,0,972,0,/home/localadmin/experiment_logs/minigrid/counterfactual_heads_phase_a_pilot_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000000000/summary.json
True,,uniform_reservoir,True,0.8440608382225037,32,,True,head,,1.0,1.0,,0,972,200000,/home/localadmin/experiment_logs/minigrid/counterfactual_heads_phase_a_pilot_v1/diagnostics/head/uniform_reservoir/seed_0000/step_000000200000/summary.json
,1464,uniform_reservoir,True,,32,"[1, 3, 6, 15]",True,critic_provenance,726,,,2190,0,,0,/home/localadmin/experiment_logs/minigrid/counterfactual_heads_phase_a_pilot_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000000000/summary.json
,1464,uniform_reservoir,True,,32,"[1, 3, 6, 15]",True,critic_provenance,726,,,2190,0,,200000,/home/localadmin/experiment_logs/minigrid/counterfactual_heads_phase_a_pilot_v1/diagnostics/critic_provenance/uniform_reservoir/seed_0000/step_000000200000/summary.json
