actual_goal,actual_goal_name,probed_goal,probed_goal_name,anchors,anchor_fraction,recorded_reward_horizon,reward_step_mean,reward_sum_mean,reward_event_particle_rate,reward_event_step_rate,stop_particle_rate,stop_step_mean,continuation_mean,value_start_mean,slowvalue_start_mean,return_mean,return_std,return_p50,return_p95,return_p99,return_max,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,advantage_mean,advantage_normalized_mean,positive_advantage_rate,weight_mean,policy_entropy_mean,reinforce_loss_mean,reinforce_loss_abs,entropy_loss_mean,entropy_loss_abs,entropy_to_reinforce_abs,prior_entropy_mean,deter_rms_mean,stoch_rms_mean
0,kill_goblin,0,kill_goblin,505,0.48806812320605364,0.15247524752475247,0.01662076594879328,0.09972459545851257,0.06465037128712871,0.015055177392739273,0.04984529702970297,0.015405060070748948,0.9845949384245543,1.5755058457355688,1.580686578892245,1.6917018307317602,0.08358618504930251,1.6982132183443202,1.8022731434944834,1.8566622524851621,1.9084692233859903,0.07270278255775224,1.6189990500301712,1.6189990500301712,0.949085714218443,0.017527189725430194,0.017527189725430194,0.6075237211221122,0.9302029234347957,1.1361748864564187,0.009755160321706967,0.03699886147278338,-0.00032588026942150774,0.00032588026942150774,0.022283610094978278,0.8559664331450321,0.24134167984570606,0.1767578125
0,kill_goblin,1,bury_bones,505,0.48806812320605364,0.15247524752475247,0.011731075808483772,0.07038645468222612,0.04743193069306931,0.010416666666666668,0.04610148514851485,0.015635042948565346,0.9843649595090659,1.551375677443967,1.5578081743551953,1.6376528924054439,0.08596856054932912,1.646622894187965,1.7499456470319539,1.800712358448765,1.8490094691219896,0.0520080095984999,1.5856448931232243,1.5856448931232243,0.9593606512271035,0.01100674551282894,0.01100674551282894,0.5704388407590759,0.9317815448388015,1.1511750624390344,0.005861868792575271,0.035766452916306514,-0.000330289182410511,0.000330289182410511,0.01895825962731958,0.8608563159361924,0.24089793359289075,0.1767578125
0,kill_goblin,2,chop_logs,505,0.48806812320605364,0.15247524752475247,0.0077030416925398006,0.04621824963558247,0.03409653465346535,0.0066754331683168315,0.01630569306930693,0.006134251307777941,0.9938657505677478,1.4283196016113358,1.4365859215802486,1.6949559433625476,0.08122359396806816,1.7027843342559172,1.8008847653688769,1.8495362543906315,1.8969913754132715,0.03962576177270381,1.6553301784661736,1.6553301784661736,0.9766576677783306,0.039021476337687336,0.039021476337687336,0.6872112211221121,0.97213878253899,1.2588603835337966,0.046726453759121614,0.06887832064601195,-0.0003715387006961086,0.0003715387006961086,0.018085782247791983,0.8566753387451171,0.24121234744492143,0.1767578125
0,kill_goblin,3,light_fire,505,0.48806812320605364,0.15247524752475247,0.0158398603961463,0.0950391632573868,0.062422648514851485,0.014400268151815183,0.05252165841584158,0.01641489023133527,0.9835851111034356,1.510589578836271,1.5176595652457512,1.6619644025764844,0.08687989621672153,1.6700612497211682,1.7756175862562535,1.8298173674581075,1.8831019283521293,0.06875583442537163,1.593208574855903,1.593208574855903,0.9490855738795233,0.02134166658411637,0.02134166658411637,0.6119069719471947,0.9281878189285203,1.1536216069056968,0.015470675244443448,0.04194786824378783,-0.0003306207959179846,0.0003306207959179846,0.019633857608795695,0.8580910362819634,0.24113806813660235,0.1767578125
0,kill_goblin,4,catch_fish,505,0.48806812320605364,0.15247524752475247,0.015625929819714886,0.09375557880192507,0.06208230198019802,0.014201732673267325,0.05292388613861386,0.01652048627527818,0.9834795151606645,1.5088223836209513,1.5158782974328144,1.6604559264560736,0.08674061393300717,1.6685503784972842,1.7739918149520855,1.826465548690003,1.8791728765657634,0.06816924985018322,1.5922866795009167,1.5922866795009167,0.9492930451254459,0.0210098235135243,0.0210098235135243,0.6084235767326732,0.9276459795118559,1.14753709677967,0.01514852435971338,0.04171301305486467,-0.00032866306459457874,0.00032866306459457874,0.019649761393448067,0.8580928835538354,0.24113856135028425,0.1767578125
1,bury_bones,0,kill_goblin,416,0.4476763844633332,0.22596153846153846,0.01476316087844003,0.08857896570913165,0.06787109375,0.012892503004807692,0.050875150240384616,0.01551664980461982,0.9844833499250504,1.54747070501057,1.5621881037950516,1.936970357138377,0.13169613120240123,1.9524699092054596,2.1096868025067335,2.1823956843064383,2.234849113684434,0.07710198991550696,1.8598683680622623,1.8598683680622623,0.9584686362377466,0.04475629542269006,0.04475629542269006,0.567958733974359,0.9329941293511254,1.0950560736181125,0.022730133872423373,0.049490612556173104,-0.00031510308881894824,0.00031510308881894824,0.011990185068246194,0.8681286286849242,0.24766620287958246,0.1767578125
1,bury_bones,1,bury_bones,416,0.4476763844633332,0.22596153846153846,0.01585821925026104,0.09514931614772057,0.07989032451923077,0.014692257612179488,0.0716083233173077,0.01808795706235217,0.9819120402232959,1.5886432294948742,1.60621084459126,1.9065981396975427,0.1435102426789504,1.9185290104494646,2.1000116802178894,2.1678115361699692,2.2128336769170485,0.08458073686519431,1.822017404394081,1.822017404394081,0.9498995069533149,0.04043135919998629,0.04043135919998629,0.5880502554086539,0.9072976941959217,1.0862644165955806,0.014318487286627803,0.04015654737535302,-0.00030766359071612636,0.00030766359071612636,0.011364680507793368,0.8689088159455702,0.2475292132809185,0.1767578125
1,bury_bones,2,chop_logs,416,0.4476763844633332,0.22596153846153846,0.0073428651184335985,0.044057190620222966,0.033315805288461536,0.006012745392628204,0.015024038461538462,0.006317720525168205,0.9936822806126796,1.4688745665435607,1.4826176066238146,1.9951240103691816,0.10978464700019686,2.008206598675595,2.134636050706299,2.2054929847126967,2.2580573234993677,0.040845924260611635,1.9542780939776163,1.9542780939776163,0.9813919406321681,0.06955070603038394,0.06955070603038394,0.6559056991185899,0.9718366293953016,1.1767032222258142,0.048358466222982614,0.07215059583726403,-0.0003465517982158636,0.0003465517982158636,0.010481730901027747,0.8684177827090025,0.24763276320523941,0.1767578125
1,bury_bones,3,light_fire,416,0.4476763844633332,0.22596153846153846,0.017438433550759636,0.10463060259608754,0.0847919170673077,0.016047551081730768,0.06573016826923077,0.017395980761368543,0.9826040167648059,1.5267378577532678,1.5415610172427618,1.9222567893851261,0.14415746516673467,1.93597909127577,2.1153282259376,2.1895404645213143,2.241924671886059,0.09142218429958371,1.8308346027221818,1.8308346027221818,0.9488113274708461,0.04945421689071212,0.04945421689071212,0.5922194260817307,0.9179293871499025,1.0918233580193304,0.022718242514394242,0.04766188387853932,-0.0003113740222427343,0.0003113740222427343,0.011440996109133104,0.8685061392875818,0.24760520139422554,0.1767578125
1,bury_bones,4,catch_fish,416,0.4476763844633332,0.22596153846153846,0.017184198801236873,0.10310519286939925,0.0830078125,0.015772110376602564,0.065185546875,0.01736579441505735,0.9826342053711414,1.5239300438417838,1.538655768506802,1.9203381565614388,0.14381549123376877,1.9347669086777246,2.112380759375027,2.1854324921292183,2.238252610111466,0.08994240910456673,1.8303957496984646,1.8303957496984646,0.9495310750792652,0.04946074881247743,0.04946074881247743,0.5898687900641025,0.9185662498124517,1.0894731322589974,0.02259798070652918,0.04764892951547713,-0.00031078157302142875,0.00031078157302142875,0.011466325481030533,0.8684911677757134,0.24761042260349944,0.1767578125
2,chop_logs,0,kill_goblin,512,0.49170444707851857,0.140625,0.018843423284968755,0.11306053966666788,0.0853118896484375,0.017148335774739586,0.0909881591796875,0.030262868865747805,0.9697371273068711,0.9281003954820335,0.9413085085107014,0.8347863137023523,0.09274213806065745,0.824267793155741,0.9774971559992991,1.1354870038828815,1.2480837175389752,0.08381322531147256,0.750973089810941,0.750973089810941,0.9042142177458521,-0.016183578556677958,-0.016183578556677958,0.2514495849609375,0.8922524607332889,3.2170506333350204,-0.03402289539425851,0.0655095598671096,-0.0009037763550470146,0.0009037763550470146,0.018639758228327172,1.1443368685431778,0.2264277910871897,0.1767578125
2,chop_logs,1,bury_bones,512,0.49170444707851857,0.140625,0.01402350685528405,0.08414104223856328,0.066497802734375,0.012891133626302084,0.0829315185546875,0.027445465332675667,0.972554532228969,0.937756281811744,0.9512801988748834,0.8279139809310436,0.09601150981916362,0.8180027753696777,0.97042189828353,1.1244173877360302,1.2283384827896953,0.06392565232834253,0.7639883281262883,0.7639883281262883,0.9217335802681201,-0.019668317432348204,-0.019668317432348204,0.24693552652994788,0.8709868429104972,3.2052644522627816,-0.029586867955401885,0.056112028693632965,-0.0008843827700477647,0.0008843827700477647,0.01936660923124945,1.1469067297875881,0.22626873836270534,0.1767578125
