action_length,always_reward_success,canonical_stage,commit_on_no_ir_success,committed_updates,condition,episode_index,first_before_actor_entropy,first_before_js,first_before_success_rate,first_predicted_improvement,first_score_before,goal,max_predicted_improvement,mean_predicted_improvement,mean_score_before,missed_repair_opportunity,necessity_class,no_ir_success,policy_mode,positive_probe_fraction,probes,rejected_updates,replicate,reset_seed,success,tentative_updates
200.0,1,stage5b2,0,1.0,virtual_reward_dormant_100,5,0.3446407914161682,0.019823826849460602,0.0,2.987451352964854e-08,1.6262863482552348e-06,bury_bones,2.987451352964854e-08,-1.4491318207118798e-06,9.369443155629598e-06,0,ir_needed,0,deterministic,0.2,5,4.0,0,8055861329175728677,0,5.0
200.0,1,stage5b2,0,0.0,no_ir,6,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,5877029393539050039,0,0.0
67.0,1,stage5b2,0,67.0,always_reward_only,6,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,5877029393539050039,1,0.0
200.0,1,stage5b2,0,26.0,virtual_reward_dormant_25,6,0.25215646624565125,0.008565262891352177,0.0,-8.081003954885091e-08,2.1953742646019236e-07,bury_bones,0.002649146132171154,-9.78292118867269e-05,0.0005036318601749766,0,ir_needed,0,deterministic,0.48148148148148145,54,28.0,0,5877029393539050039,0,54.0
200.0,1,stage5b2,0,4.0,virtual_reward_dormant_100,6,0.04817113280296326,0.0030633730348199606,0.0,-5.848050932399929e-10,7.029176458672737e-07,bury_bones,4.0335823570103457e-10,-2.7586065733992644e-06,4.1152298940957954e-06,0,ir_needed,0,deterministic,0.36363636363636365,11,7.0,0,5877029393539050039,0,11.0
200.0,1,stage5b2,0,0.0,no_ir,7,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,5499737083021911378,0,0.0
2.0,1,stage5b2,0,2.0,always_reward_only,7,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,5499737083021911378,1,0.0
200.0,1,stage5b2,0,53.0,virtual_reward_dormant_25,7,0.0047948299907147884,0.004770581144839525,0.0,-1.5758545487187803e-05,2.3941538529470563e-05,bury_bones,0.12062722444534302,0.009332334419223449,0.2744579859746129,0,ir_needed,0,deterministic,0.6625,80,27.0,0,5499737083021911378,0,80.0
200.0,1,stage5b2,0,0.0,virtual_reward_dormant_100,7,0.0019249344477429986,0.004340609069913626,0.0,-0.0001832202251534909,0.00028880799072794616,bury_bones,-4.543539944279473e-08,-9.163283027646685e-05,0.00014523059815019224,1,ir_needed,0,deterministic,0.0,2,2.0,0,5499737083021911378,0,2.0
200.0,1,stage5b2,0,0.0,no_ir,8,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,6791497654520349665,0,0.0
108.0,1,stage5b2,0,108.0,always_reward_only,8,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,6791497654520349665,1,0.0
200.0,1,stage5b2,0,58.0,virtual_reward_dormant_25,8,0.42909184098243713,0.012996824458241463,0.0,5.002069656256936e-07,8.200850665218695e-09,bury_bones,0.06857821345329285,0.004264792763802713,0.058190632364602674,0,ir_needed,0,deterministic,0.6444444444444445,90,32.0,0,6791497654520349665,0,90.0
200.0,1,stage5b2,0,0.0,virtual_reward_dormant_100,8,0.4920470118522644,0.01311242114752531,0.0,-2.802708195304149e-06,2.8334372927929508e-06,bury_bones,-3.6522180835163454e-09,-1.4031802066938326e-06,1.4287066694151918e-06,1,ir_needed,0,deterministic,0.0,2,2.0,0,6791497654520349665,0,2.0
200.0,1,stage5b2,0,0.0,no_ir,9,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,2814162556091002989,0,0.0
76.0,1,stage5b2,0,76.0,always_reward_only,9,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,2814162556091002989,1,0.0
200.0,1,stage5b2,0,60.0,virtual_reward_dormant_25,9,0.12506163120269775,0.00897463969886303,0.0,0.0015383982099592686,0.00014046613068785518,bury_bones,0.03483957424759865,0.001507425582998835,0.017815809905930256,0,ir_needed,0,deterministic,0.6382978723404256,94,34.0,0,2814162556091002989,0,94.0
200.0,1,stage5b2,0,13.0,virtual_reward_dormant_100,9,0.05671188607811928,0.008857683278620243,0.0,1.7099700926337391e-06,2.993783709825948e-05,bury_bones,0.008262503892183304,0.0004378843178637482,0.0008061202294066055,0,ir_needed,0,deterministic,0.48148148148148145,27,14.0,0,2814162556091002989,0,27.0
200.0,1,stage5b2,0,0.0,no_ir,10,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,2286170587298508181,0,0.0
1.0,1,stage5b2,0,1.0,always_reward_only,10,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,2286170587298508181,1,0.0
200.0,1,stage5b2,0,29.0,virtual_reward_dormant_25,10,0.5721550583839417,0.00641206931322813,0.0,3.727564035216346e-09,4.7231640110112494e-07,bury_bones,0.00013604271225631237,-7.061931123121435e-05,0.0002285020881507987,0,ir_needed,0,deterministic,0.5471698113207547,53,24.0,0,2286170587298508181,0,53.0
200.0,1,stage5b2,0,4.0,virtual_reward_dormant_100,10,0.6349566578865051,0.007779726292937994,0.0,2.479032090718647e-09,2.5695497285482816e-08,bury_bones,0.0030218816827982664,0.00018500873790456486,9.041790821398302e-05,0,ir_needed,0,deterministic,0.36363636363636365,11,7.0,0,2286170587298508181,0,11.0
200.0,1,stage5b2,0,0.0,no_ir,11,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,4992981953416201612,0,0.0
123.0,1,stage5b2,0,123.0,always_reward_only,11,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,4992981953416201612,1,0.0
200.0,1,stage5b2,0,64.0,virtual_reward_dormant_25,11,0.1487390547990799,0.011031489819288254,0.0,0.0001013174478430301,2.9523509510909207e-05,bury_bones,0.15776771306991577,0.008755206463328107,0.13348934155391567,0,ir_needed,0,deterministic,0.6956521739130435,92,28.0,0,4992981953416201612,0,92.0
200.0,1,stage5b2,0,19.0,virtual_reward_dormant_100,11,0.24983203411102295,0.012380545027554035,0.0,2.7705918910214677e-05,2.2671432816423476e-05,bury_bones,0.009317981079220772,0.0007136050577898039,0.023159929303748942,0,ir_needed,0,deterministic,0.6551724137931034,29,10.0,0,4992981953416201612,0,29.0
200.0,1,stage5b2,0,0.0,no_ir,12,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,5646325256803454865,0,0.0
82.0,1,stage5b2,0,82.0,always_reward_only,12,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,5646325256803454865,1,0.0
200.0,1,stage5b2,0,48.0,virtual_reward_dormant_25,12,0.037763576954603195,0.0029221244622021914,0.0,-6.178936806655599e-10,6.944976260747637e-10,bury_bones,0.12938624620437622,0.005203547439816348,0.02007556509927327,0,ir_needed,0,deterministic,0.64,75,27.0,0,5646325256803454865,0,75.0
