condition,episodes,goal,policy_mode,positives,predictor,roc_auc,target
virtual_reward_dormant_100,150,chop_logs,sampled,15,max_virtual_improvement,0.522962962962963,ir_needed
virtual_reward_dormant_100,150,chop_logs,sampled,15,first_js,0.5027160493827161,ir_needed
virtual_reward_dormant_100,150,chop_logs,sampled,15,first_actor_entropy,0.5066666666666667,ir_needed
virtual_reward_dormant_100,75,chop_logs,deterministic,14,predicted_failure,0.5562060889929742,underperform
virtual_reward_dormant_100,75,chop_logs,deterministic,14,first_virtual_improvement,0.4414519906323185,underperform
virtual_reward_dormant_100,75,chop_logs,deterministic,14,max_virtual_improvement,0.5081967213114754,underperform
virtual_reward_dormant_100,75,chop_logs,deterministic,14,first_js,0.509367681498829,underperform
virtual_reward_dormant_100,75,chop_logs,deterministic,14,first_actor_entropy,0.6733021077283372,underperform
virtual_reward_dormant_100,75,chop_logs,deterministic,9,predicted_failure,0.42424242424242425,ir_needed
virtual_reward_dormant_100,75,chop_logs,deterministic,9,first_virtual_improvement,0.4764309764309764,ir_needed
virtual_reward_dormant_100,75,chop_logs,deterministic,9,max_virtual_improvement,0.5707070707070707,ir_needed
virtual_reward_dormant_100,75,chop_logs,deterministic,9,first_js,0.6313131313131313,ir_needed
virtual_reward_dormant_100,75,chop_logs,deterministic,9,first_actor_entropy,0.7356902356902357,ir_needed
virtual_reward_dormant_25,675,all,all,307,predicted_failure,0.6586354623990937,underperform
virtual_reward_dormant_25,675,all,all,307,first_virtual_improvement,0.4689845630930463,underperform
virtual_reward_dormant_25,675,all,all,307,max_virtual_improvement,0.5519490865316528,underperform
virtual_reward_dormant_25,675,all,all,307,first_js,0.5105951706557145,underperform
virtual_reward_dormant_25,675,all,all,307,first_actor_entropy,0.44845807959212575,underperform
virtual_reward_dormant_25,675,all,all,206,predicted_failure,0.6364605543710021,ir_needed
virtual_reward_dormant_25,675,all,all,206,first_virtual_improvement,0.4701906555985675,ir_needed
virtual_reward_dormant_25,675,all,all,206,max_virtual_improvement,0.5607365392179188,ir_needed
virtual_reward_dormant_25,675,all,all,206,first_js,0.5054443455399839,ir_needed
virtual_reward_dormant_25,675,all,all,206,first_actor_entropy,0.46850352950918084,ir_needed
virtual_reward_dormant_25,150,kill_goblin,sampled,78,predicted_failure,0.6175213675213675,underperform
virtual_reward_dormant_25,150,kill_goblin,sampled,78,first_virtual_improvement,0.4706196581196581,underperform
virtual_reward_dormant_25,150,kill_goblin,sampled,78,max_virtual_improvement,0.453525641025641,underperform
virtual_reward_dormant_25,150,kill_goblin,sampled,78,first_js,0.49572649572649574,underperform
virtual_reward_dormant_25,150,kill_goblin,sampled,78,first_actor_entropy,0.4702635327635328,underperform
virtual_reward_dormant_25,150,kill_goblin,sampled,52,predicted_failure,0.5433673469387755,ir_needed
virtual_reward_dormant_25,150,kill_goblin,sampled,52,first_virtual_improvement,0.4858712715855573,ir_needed
virtual_reward_dormant_25,150,kill_goblin,sampled,52,max_virtual_improvement,0.47311616954474095,ir_needed
virtual_reward_dormant_25,150,kill_goblin,sampled,52,first_js,0.5174646781789639,ir_needed
virtual_reward_dormant_25,150,kill_goblin,sampled,52,first_actor_entropy,0.527668759811617,ir_needed
virtual_reward_dormant_25,75,kill_goblin,deterministic,49,predicted_failure,0.46467817896389324,underperform
virtual_reward_dormant_25,75,kill_goblin,deterministic,49,first_virtual_improvement,0.46153846153846156,underperform
virtual_reward_dormant_25,75,kill_goblin,deterministic,49,max_virtual_improvement,0.521978021978022,underperform
virtual_reward_dormant_25,75,kill_goblin,deterministic,49,first_js,0.41287284144427,underperform
virtual_reward_dormant_25,75,kill_goblin,deterministic,49,first_actor_entropy,0.41444270015698587,underperform
virtual_reward_dormant_25,75,kill_goblin,deterministic,27,predicted_failure,0.39197530864197533,ir_needed
virtual_reward_dormant_25,75,kill_goblin,deterministic,27,first_virtual_improvement,0.5509259259259259,ir_needed
virtual_reward_dormant_25,75,kill_goblin,deterministic,27,max_virtual_improvement,0.5084876543209876,ir_needed
virtual_reward_dormant_25,75,kill_goblin,deterministic,27,first_js,0.48148148148148145,ir_needed
virtual_reward_dormant_25,75,kill_goblin,deterministic,27,first_actor_entropy,0.4537037037037037,ir_needed
virtual_reward_dormant_25,150,bury_bones,sampled,94,predicted_failure,0.5588905775075987,underperform
virtual_reward_dormant_25,150,bury_bones,sampled,94,first_virtual_improvement,0.4870820668693009,underperform
virtual_reward_dormant_25,150,bury_bones,sampled,94,max_virtual_improvement,0.46751519756838905,underperform
virtual_reward_dormant_25,150,bury_bones,sampled,94,first_js,0.5226063829787234,underperform
virtual_reward_dormant_25,150,bury_bones,sampled,94,first_actor_entropy,0.4963905775075988,underperform
virtual_reward_dormant_25,150,bury_bones,sampled,71,predicted_failure,0.5548226065252273,ir_needed
virtual_reward_dormant_25,150,bury_bones,sampled,71,first_virtual_improvement,0.5311107149224461,ir_needed
virtual_reward_dormant_25,150,bury_bones,sampled,71,max_virtual_improvement,0.5489392048493492,ir_needed
virtual_reward_dormant_25,150,bury_bones,sampled,71,first_js,0.4754858263505081,ir_needed
virtual_reward_dormant_25,150,bury_bones,sampled,71,first_actor_entropy,0.4779818149402746,ir_needed
virtual_reward_dormant_25,75,bury_bones,deterministic,47,predicted_failure,0.5478723404255319,underperform
virtual_reward_dormant_25,75,bury_bones,deterministic,47,first_virtual_improvement,0.5493920972644377,underperform
virtual_reward_dormant_25,75,bury_bones,deterministic,47,max_virtual_improvement,0.574468085106383,underperform
virtual_reward_dormant_25,75,bury_bones,deterministic,47,first_js,0.6025835866261399,underperform
virtual_reward_dormant_25,75,bury_bones,deterministic,47,first_actor_entropy,0.60790273556231,underperform
virtual_reward_dormant_25,75,bury_bones,deterministic,32,predicted_failure,0.6831395348837209,ir_needed
virtual_reward_dormant_25,75,bury_bones,deterministic,32,first_virtual_improvement,0.42950581395348836,ir_needed
virtual_reward_dormant_25,75,bury_bones,deterministic,32,max_virtual_improvement,0.5879360465116279,ir_needed
virtual_reward_dormant_25,75,bury_bones,deterministic,32,first_js,0.6686046511627907,ir_needed
