actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,success_rate,successes
0.0003,0.05986957842683784,-0.013697522772690922,193.3,1.3615315852469016e-05,193.3,corrupt,True,standard_ir_h3,0,True,100,standard_ir,bury_bones,3,True,19430,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h3/bury_bones/sampled/attempt_01,193.3,200.0,standard,sampled,100,100,0,2000,0.04,4
0.0003,0.047345760600724464,-0.015263055779936913,196.42,1.0899113311403888e-05,196.42,corrupt,True,standard_ir_h3,0,True,50,standard_ir,bury_bones,3,True,9871,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h3/bury_bones/deterministic/attempt_01,196.42,200.0,standard,deterministic,50,50,0,2000,0.02,1
0.0003,0.030426992703907384,-0.009675879910026029,146.82,1.3108827624980813e-05,146.82,corrupt,True,standard_ir_h3,0,True,100,standard_ir,chop_logs,3,True,14782,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h3/chop_logs/sampled/attempt_01,146.82,196.0,standard,sampled,100,100,0,2000,0.51,51
0.0003,0.028276215074101402,-0.01319101305200623,179.62,1.1391296950791603e-05,179.62,corrupt,True,standard_ir_h3,0,True,50,standard_ir,chop_logs,3,True,9031,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h3/chop_logs/deterministic/attempt_01,179.62,200.0,standard,deterministic,50,50,0,2000,0.2,10
0.0003,0.051476053283058196,-0.006726087870395498,141.5,1.493182468932423e-05,141.5,corrupt,True,standard_ir_h6,0,True,100,standard_ir,kill_goblin,6,True,14250,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/kill_goblin/sampled/attempt_01,141.5,200.0,standard,sampled,100,100,0,2000,0.44,44
0.0003,0.03676984607731511,-0.01929382134593027,159.98,1.3409296558146854e-05,159.98,corrupt,True,standard_ir_h6,0,True,50,standard_ir,kill_goblin,6,True,8049,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/kill_goblin/deterministic/attempt_01,159.98,200.0,standard,deterministic,50,50,0,2000,0.3,15
0.0003,0.047221073049527267,-0.020195152016098086,196.15,1.3577453884955412e-05,196.15,corrupt,True,standard_ir_h6,0,True,100,standard_ir,bury_bones,6,True,19715,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/bury_bones/sampled/attempt_01,196.15,200.0,standard,sampled,100,100,0,2000,0.03,3
0.0003,0.04470583385296803,-0.023365231509261845,188.84,1.1658976373339554e-05,188.84,corrupt,True,standard_ir_h6,0,True,50,standard_ir,bury_bones,6,True,9492,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/bury_bones/deterministic/attempt_01,188.84,200.0,standard,deterministic,50,50,0,2000,0.1,5
0.0003,0.025072557728617627,-0.01129183159891,154.39,1.3185826974061954e-05,154.39,corrupt,True,standard_ir_h6,0,True,100,standard_ir,chop_logs,6,True,15539,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/chop_logs/sampled/attempt_01,154.39,200.0,standard,sampled,100,100,0,2000,0.41,41
0.0003,0.029804147705020375,-0.022237570519909523,183.14,1.1818549320033196e-05,183.14,corrupt,True,standard_ir_h6,0,True,50,standard_ir,chop_logs,6,True,9207,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h6/chop_logs/deterministic/attempt_01,183.14,200.0,standard,deterministic,50,50,0,2000,0.16,8
