actual_goal,actual_goal_name,probed_goal,probed_goal_name,anchors,anchor_fraction,recorded_reward_horizon,reward_step_mean,reward_sum_mean,reward_event_particle_rate,reward_event_step_rate,stop_particle_rate,stop_step_mean,continuation_mean,value_start_mean,slowvalue_start_mean,return_mean,return_std,return_p50,return_p95,return_p99,return_max,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,advantage_mean,advantage_normalized_mean,positive_advantage_rate,weight_mean,policy_entropy_mean,reinforce_loss_mean,reinforce_loss_abs,entropy_loss_mean,entropy_loss_abs,entropy_to_reinforce_abs,prior_entropy_mean,deter_rms_mean,stoch_rms_mean
0,kill_goblin,0,kill_goblin,505,0.48806812320605364,0.15247524752475247,0.010449925021613375,0.06269954995514766,0.04537438118811881,0.009310540429042904,0.039913366336633664,0.012104186375762594,0.9878958144990524,1.8726232644354943,1.8731664596217694,2.053908645752633,0.0732327820945273,2.0573553393382835,2.1592687273851716,2.1966844050435737,2.229125996863488,0.05125433127243874,2.0026543171984135,2.0026543171984135,0.9653958018933729,0.03032471729202731,0.03032471729202731,0.6112623762376238,0.9339536086757584,0.6506892372097931,0.009917432762522322,0.02280036371771125,-0.00018409749793647171,0.00018409749793647171,0.014401738196050291,0.847944178203545,0.24611623248841502,0.1767578125
0,kill_goblin,1,bury_bones,505,0.48806812320605364,0.15247524752475247,0.0068364038076518426,0.041018422054045385,0.0302134900990099,0.006064356435643564,0.036540841584158414,0.012295855060484868,0.9877041439018627,1.877232035787979,1.8816892206078708,1.9960818642436868,0.07589639260498161,2.0012760237892073,2.1039516898783126,2.1451037348921935,2.178074236907581,0.033609686952816194,1.9624721731640178,1.9624721731640178,0.9750003237415933,0.017262357206741984,0.017262357206741984,0.555695647689769,0.939575372444521,0.6697628494264503,0.0067024311103979235,0.023360635252502468,-0.000189870841941769,0.000189870841941769,0.013282735308279746,0.8479167925249232,0.2461381037341486,0.1767578125
0,kill_goblin,2,chop_logs,505,0.48806812320605364,0.15247524752475247,0.003987593549670081,0.023925561124890884,0.01834777227722772,0.0036174711221122107,0.010148514851485149,0.0042956573706904614,0.9957043453018264,1.7447049967133172,1.7483835907265692,2.068325118499227,0.0647867399664356,2.0735097839100525,2.1585649396287336,2.1916818820816455,2.22156188912911,0.021349200066465616,2.0469759287220417,2.0469759287220417,0.9886968292218598,0.05375070925587091,0.05375070925587091,0.6840810643564357,0.9781797317585142,0.6701336921026727,0.02152703754530212,0.031688479355648495,-0.00019745246817036435,0.00019745246817036435,0.012387044484465677,0.8480186677215122,0.2460322090304724,0.1767578125
0,kill_goblin,3,light_fire,505,0.48806812320605364,0.15247524752475247,0.009361608840567859,0.05616965333376018,0.04073329207920792,0.008392636138613862,0.0421565594059406,0.012436177926875725,0.9875638209947265,1.7948741629572198,1.7967914810275087,2.023893906456409,0.07679995961837692,2.0283249352237966,2.133153480881511,2.1732572464777693,2.205848311669756,0.04532367914565042,1.9785702324075864,1.9785702324075864,0.9676096430260736,0.037167776969868505,0.037167776969868505,0.6164552392739274,0.9362193599195764,0.6572456065297938,0.0130666189426119,0.026526257313068555,-0.00018618586759781592,0.00018618586759781592,0.012671292780702746,0.8478166235555517,0.24612802199207912,0.1767578125
0,kill_goblin,4,catch_fish,505,0.48806812320605364,0.15247524752475247,0.009274382102355748,0.055646292413112,0.04026918316831683,0.008284344059405941,0.04288366336633664,0.012664729563806362,0.9873352683416687,1.7933456111662458,1.7950046312690962,2.020601421889692,0.07685460626968357,2.0252865751781086,2.1296129343415253,2.169167338201315,2.202760394020836,0.04505788258106487,1.9755435495831,1.9755435495831,0.9674498684673682,0.03641898927688288,0.03641898927688288,0.6118631394389439,0.935422610971007,0.6577920608854124,0.012910854495535294,0.026635191848816537,-0.00018617257098056973,0.00018617257098056973,0.01264739989761528,0.8478892706408359,0.24612632222694925,0.1767578125
1,bury_bones,0,kill_goblin,416,0.4476763844633332,0.22596153846153846,0.005176459671256027,0.0310587579382609,0.020489032451923076,0.0035087389823717945,0.016075721153846152,0.008842509085158011,0.9911574917630508,1.7975620303589563,1.8037733856875162,2.2514807991683483,0.1016338148345732,2.2618468332176027,2.3869380093251285,2.4348437185012375,2.4782393849813023,0.029910743871730525,2.2215700620212235,2.2215700620212235,0.9858188475784144,0.056734882993413734,0.056734882993413734,0.5373691656650641,0.9550714117045013,0.6065860225487716,0.008795458200141253,0.025744369789086143,-0.00017500922815034853,0.00017500922815034853,0.014534173743168018,0.8204491680774552,0.2546069072917677,0.1767578125
1,bury_bones,1,bury_bones,416,0.4476763844633332,0.22596153846153846,0.0067970113430259665,0.040782067384075596,0.034818209134615384,0.005815554887820512,0.033315805288461536,0.010533573890335482,0.9894664225956569,1.8186544039501593,1.825337606553848,2.2219296281154337,0.10986530544827335,2.229797947435425,2.3760878479824616,2.4258160482518947,2.4656191049860072,0.040281787140148,2.1816478365888963,2.1816478365888963,0.9795081418528742,0.054375522962812485,0.054375522962812485,0.5465181790865384,0.9397414806657113,0.6100200916978513,0.007421473024083871,0.022536469781042658,-0.0001737209197425653,0.0001737209197425653,0.015387488016737835,0.819915440864861,0.2546227442888686,0.1767578125
1,bury_bones,2,chop_logs,416,0.4476763844633332,0.22596153846153846,0.0014758895028063998,0.008855337060456138,0.0028545673076923075,0.00048828124999999995,0.0023662860576923075,0.003052731262449435,0.9969472756179479,1.7349244453586066,1.7429667459084437,2.2930403262949905,0.08012355015839254,2.2988321097710958,2.404993526093089,2.4481867169588805,2.483129625996718,0.008704317468326086,2.284336009564308,2.284336009564308,0.9965370080752809,0.07803755955617711,0.07803755955617711,0.6214787409855769,0.9857845475467352,0.6188902214310544,0.01507603497815506,0.028845515887756898,-0.0001833145398677516,0.0001833145398677516,0.014528654071348028,0.8204629483561103,0.2546885100623163,0.1767578125
1,bury_bones,3,light_fire,416,0.4476763844633332,0.22596153846153846,0.006611549447572867,0.039669297327898465,0.032376802884615384,0.005452473958333334,0.02672400841346154,0.009598721324297142,0.9904012781782792,1.7547042063222482,1.7612786132555742,2.238263079180167,0.10958539834805728,2.2476195993904886,2.387478763438188,2.4376943871952017,2.4793952978574314,0.038811032136985654,2.1994520481675863,2.1994520481675863,0.9811395483837408,0.06492421074283182,0.06492421074283182,0.5655141977163461,0.9475584885535332,0.6081812722113682,0.010411882462466774,0.025560051323483234,-0.0001744590334543917,0.0001744590334543917,0.01445754808137951,0.8202424352415479,0.2546560852788389,0.1767578125
1,bury_bones,4,catch_fish,416,0.4476763844633332,0.22596153846153846,0.006496552534783722,0.038979315316574684,0.03143780048076923,0.005295973557692308,0.026761568509615384,0.009694157986674466,0.9903058436914132,1.7529183809573834,1.7592432398635607,2.235370865234962,0.10955380463341359,2.244893978493145,2.384867270405476,2.4348397605063825,2.4768647227722864,0.03809912247195123,2.197271750881695,2.197271750881695,0.9813246492729675,0.06470776953186103,0.06470776953186103,0.5628536909054488,0.9477305628645879,0.6082835447159596,0.010243924288341933,0.02553383652249426,-0.00017448943062320794,0.00017448943062320794,0.014430892177095174,0.8202530401400648,0.2546557862884723,0.1767578125
