episode_id,actual_goal,actual_goal_name,probed_goal,probed_goal_name,matching_goal,episode_success,anchor_ordinal,anchor_timestep,anchor_kind,anchor_fraction,recorded_reward_horizon,recorded_completion_horizon,reward_step_mean,reward_sum_mean,reward_event_particle_rate,reward_event_step_rate,stop_particle_rate,stop_step_mean,continuation_mean,value_start_mean,slowvalue_start_mean,return_mean,return_std,return_p50,return_p95,return_p99,return_max,reward_only_mean,bootstrap_mean,bootstrap_abs_mean,bootstrap_fraction,advantage_mean,advantage_normalized_mean,positive_advantage_rate,weight_mean,policy_entropy_mean,reinforce_loss_mean,reinforce_loss_abs,entropy_loss_mean,entropy_loss_abs,entropy_to_reinforce_abs,prior_entropy_mean,deter_rms_mean,stoch_rms_mean
328,0,kill_goblin,0,kill_goblin,True,True,0,0,start,0.0,0.0,False,0.008866227231919765,0.053197361528873444,0.0078125,0.0013020833333333333,0.0703125,0.029989907518029213,0.9700100421905518,1.7048618793487549,1.7328870296478271,1.8304879665374756,0.3587173521518707,1.932468056678772,2.2226948022842405,2.248692240715027,2.3211352825164795,0.052169300615787506,1.7783186435699463,1.7783186435699463,0.9714997674739104,0.01956132799386978,0.01956132799386978,0.6002604166666666,0.7882198691368103,0.7896170616149902,0.009383735246956348,0.03302161395549774,-0.00018335630011279136,0.00018335630011279136,0.00555261305016056,1.2309213876724243,0.24239985644817352,0.1767578125
328,0,kill_goblin,1,bury_bones,False,True,0,0,start,0.0,0.0,False,0.0006331984768621624,0.003799190977588296,0.0,0.0,0.0,0.006665839347988367,0.9933341145515442,1.9049797058105469,1.9348137378692627,1.9869264364242554,0.19027137756347656,2.0139068365097046,2.2383254289627077,2.3626328325271606,2.432398796081543,0.0037285126745700836,1.9831979274749756,1.9831979274749756,0.9981234740943784,0.008450339548289776,0.008450339548289776,0.5625,0.9586221575737,0.7954254150390625,0.0006011687219142914,0.0425841249525547,-0.00022768268536310643,0.00022768268536310643,0.005346655171386716,1.2997537851333618,0.24274571239948273,0.1767578125
328,0,kill_goblin,2,chop_logs,False,True,0,0,start,0.0,0.0,False,0.0007113707833923399,0.0042682248167693615,0.0,0.0,0.0,0.0029003850650042295,0.9970995783805847,1.4506890773773193,1.4779579639434814,2.020174980163574,0.18523140251636505,2.0523154735565186,2.2415841698646544,2.3369060039520266,2.382875442504883,0.0042147571220994,2.015960454940796,2.015960454940796,0.9979137771513362,0.07475876063108444,0.07475876063108444,0.69140625,0.9771623015403748,0.7747661471366882,0.05384249612689018,0.07977520674467087,-0.00022716604871675372,0.00022716604871675372,0.002847576703474502,1.2301381826400757,0.24311573803424835,0.1767578125
328,0,kill_goblin,3,light_fire,False,True,0,0,start,0.0,0.0,False,0.004193837288767099,0.025163020938634872,0.0078125,0.0013020833333333333,0.03125,0.017749562859535217,0.982250452041626,1.5337690114974976,1.564674973487854,1.9056203365325928,0.2901274561882019,1.9803608655929565,2.207095229625702,2.3009998226165775,2.3512964248657227,0.02468172088265419,1.8809386491775513,1.8809386491775513,0.987047946145227,0.04166163131594658,0.04166163131594658,0.6184895833333334,0.8819012641906738,0.8207411766052246,0.028018811717629433,0.06104965880513191,-0.00021509925136342645,0.00021509925136342645,0.003523348374747365,1.2548370361328125,0.2427622526884079,0.1767578125
328,0,kill_goblin,4,catch_fish,False,True,0,0,start,0.0,0.0,False,0.003212690120562911,0.01927614025771618,0.0,0.0,0.03125,0.01621195860207081,0.983788013458252,1.523641586303711,1.5528075695037842,1.9103482961654663,0.28438711166381836,1.9847448468208313,2.205610978603363,2.304351515769959,2.328012228012085,0.018864484503865242,1.891484022140503,1.891484022140503,0.9901252122641298,0.04184281826019287,0.04184281826019287,0.6145833333333334,0.8906503319740295,0.8376808762550354,0.029038676992058754,0.06266770511865616,-0.0002219682646682486,0.0002219682646682486,0.0035419875169849417,1.2579193115234375,0.24295680224895477,0.1767578125
328,0,kill_goblin,0,kill_goblin,True,True,1,8,intermediate_1,0.3333333432674408,0.0,False,1.7054428269602795e-07,1.0232656677544583e-06,0.0,0.0,0.0,0.0003729014133568853,0.9996271133422852,2.1006247997283936,2.1122140884399414,2.1696743965148926,0.02536042593419552,2.1677438020706177,2.217023825645447,2.2295996928215027,2.2374866008758545,9.362079254060518e-07,2.169672966003418,2.169672966003418,0.9999993360702093,0.014354872517287731,0.014354872517287731,0.7239583333333334,0.9988040924072266,0.8429304957389832,0.009524740278720856,0.015255122445523739,-0.00025256953085772693,0.00025256953085772693,0.01655636434227338,1.1047769784927368,0.2966562807559967,0.1767578125
328,0,kill_goblin,1,bury_bones,False,True,1,8,intermediate_1,0.3333333432674408,0.0,False,5.6217164257077457e-08,3.373029926478921e-07,0.0,0.0,0.0,0.00044335974962450564,0.9995567202568054,2.081454277038574,2.092503547668457,2.130145311355591,0.02486843802034855,2.1274994611740112,2.16943222284317,2.1947592091560364,2.2022669315338135,3.1819308787817135e-07,2.1301450729370117,2.1301450729370117,0.9999998833795157,0.010752924717962742,0.010752924717962742,0.7044270833333334,0.9987323880195618,1.0259275436401367,0.008436422795057297,0.016872605308890343,-0.0003073832776863128,0.0003073832776863128,0.0182178798045819,1.1081746816635132,0.2957305908203125,0.1767578125
328,0,kill_goblin,2,chop_logs,False,True,1,8,intermediate_1,0.3333333432674408,0.0,False,8.227207359823296e-09,4.936324415893978e-08,0.0,0.0,0.0,9.15256459848024e-05,0.999908447265625,2.0336694717407227,2.0626707077026367,2.1366989612579346,0.02648119628429413,2.1338512897491455,2.1851679921150207,2.2010877537727356,2.2159948348999023,4.525668373389635e-08,2.1366989612579346,2.1366989612579346,0.9999999953198836,0.020726395770907402,0.020726395770907402,0.7734375,0.9997116923332214,0.9447793960571289,0.016231205314397812,0.021492280066013336,-0.0002833509352058172,0.0002833509352058172,0.013183841011614298,1.1082611083984375,0.29609933495521545,0.1767578125
328,0,kill_goblin,3,light_fire,False,True,1,8,intermediate_1,0.3333333432674408,0.0,False,6.378530059691911e-08,3.8271178937065997e-07,0.0,0.0,0.0,0.00033452254137955606,0.9996654987335205,2.0372848510742188,2.067202568054199,2.1493782997131348,0.025383319705724716,2.1479687690734863,2.1951191544532773,2.2086467599868773,2.213304042816162,3.5016282140531985e-07,2.1493778228759766,2.1493778228759766,0.9999997734986178,0.021115414798259735,0.021115414798259735,0.7630208333333334,0.998988151550293,0.9233962893486023,0.015051898546516895,0.020088056102395058,-0.0002767312398646027,0.0002767312398646027,0.013775902491261146,1.1058298349380493,0.29637399315834045,0.1767578125
328,0,kill_goblin,4,catch_fish,False,True,1,8,intermediate_1,0.3333333432674408,0.0,False,5.572178807256023e-08,3.343307071190793e-07,0.0,0.0,0.0,0.00032670338987372816,0.9996731877326965,2.0422725677490234,2.0701093673706055,2.1488075256347656,0.0252466332167387,2.146849274635315,2.1948508858680724,2.2083853769302366,2.21344256401062,3.0505182735396374e-07,2.1488070487976074,2.1488070487976074,0.9999997734384536,0.020625529810786247,0.020625529810786247,0.7591145833333334,0.9989984631538391,0.9194456934928894,0.015075922012329102,0.019974244758486748,-0.00027555026463232934,0.00027555026463232934,0.013795271361263295,1.1056417226791382,0.2963053286075592,0.1767578125
