event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,0.729235827922821,0.007885406725108624,2.4527153968811035,2.368333578109741
0,go_to_door,1,fetch,16,0.698955774307251,0.13848507404327393,2.3794140815734863,2.297732353210449
0,go_to_door,2,go_to_object,16,0.7191635370254517,0.012352412566542625,2.421112060546875,2.3373308181762695
0,go_to_door,3,put_near,16,0.7127165198326111,0.016912756487727165,2.4203269481658936,2.335765838623047
0,go_to_door,4,unlock_pickup,16,0.7166502475738525,0.011623968370258808,2.430873394012451,2.3437423706054688
0,go_to_door,5,pickup_dist,16,0.7208021879196167,0.015267605893313885,2.4077744483947754,2.3257193565368652
1,fetch,0,go_to_door,14,0.5989674925804138,0.03510172665119171,0.5520264506340027,0.5553696155548096
1,fetch,1,fetch,14,0.5599678158760071,0.07456626743078232,0.5238709449768066,0.5261062979698181
1,fetch,2,go_to_object,14,0.5867766737937927,0.03749014064669609,0.5313704609870911,0.5337395668029785
1,fetch,3,put_near,14,0.5821380615234375,0.04153826832771301,0.5353528261184692,0.5382348299026489
1,fetch,4,unlock_pickup,14,0.5830993056297302,0.038200464099645615,0.5339075326919556,0.5362721681594849
1,fetch,5,pickup_dist,14,0.590981662273407,0.03741785138845444,0.534702718257904,0.5371882915496826
