always_reward_action_length,always_reward_success,canonical_stage,episode_index,episode_states,goal,ir_needed,js_fraction_w1,js_fraction_w10,js_fraction_w25,js_fraction_w5,js_x_predicted_failure_w1,js_x_predicted_failure_w10,js_x_predicted_failure_w25,js_x_predicted_failure_w5,max_actor_entropy_w1,max_actor_entropy_w10,max_actor_entropy_w25,max_actor_entropy_w5,max_js_disagreement_w1,max_js_disagreement_w10,max_js_disagreement_w25,max_js_disagreement_w5,max_posterior_entropy_w1,max_posterior_entropy_w10,max_posterior_entropy_w25,max_posterior_entropy_w5,max_success_action_concentration_w1,max_success_action_concentration_w10,max_success_action_concentration_w25,max_success_action_concentration_w5,max_success_action_divergence_w1,max_success_action_divergence_w10,max_success_action_divergence_w25,max_success_action_divergence_w5,max_success_rate_w1,max_success_rate_w10,max_success_rate_w25,max_success_rate_w5,mean_actor_entropy_w1,mean_actor_entropy_w10,mean_actor_entropy_w25,mean_actor_entropy_w5,mean_js_disagreement_w1,mean_js_disagreement_w10,mean_js_disagreement_w25,mean_js_disagreement_w5,mean_posterior_entropy_w1,mean_posterior_entropy_w10,mean_posterior_entropy_w25,mean_posterior_entropy_w5,mean_success_action_concentration_w1,mean_success_action_concentration_w10,mean_success_action_concentration_w25,mean_success_action_concentration_w5,mean_success_action_divergence_w1,mean_success_action_divergence_w10,mean_success_action_divergence_w25,mean_success_action_divergence_w5,mean_success_rate_w1,mean_success_rate_w10,mean_success_rate_w25,mean_success_rate_w5,necessity_class,no_ir_action_length,no_ir_success,observed_states,p90_actor_entropy_w1,p90_actor_entropy_w10,p90_actor_entropy_w25,p90_actor_entropy_w5,p90_js_disagreement_w1,p90_js_disagreement_w10,p90_js_disagreement_w25,p90_js_disagreement_w5,p90_posterior_entropy_w1,p90_posterior_entropy_w10,p90_posterior_entropy_w25,p90_posterior_entropy_w5,p90_success_action_concentration_w1,p90_success_action_concentration_w10,p90_success_action_concentration_w25,p90_success_action_concentration_w5,p90_success_action_divergence_w1,p90_success_action_divergence_w10,p90_success_action_divergence_w25,p90_success_action_divergence_w5,p90_success_rate_w1,p90_success_rate_w10,p90_success_rate_w25,p90_success_rate_w5,policy_mode,predicted_failure_w1,predicted_failure_w10,predicted_failure_w25,predicted_failure_w5,reset_seed,source_stage,underperform
200.0,0,stage5b1,0,200,bury_bones,0,0.03881669249669598,0.009034636994027604,0.007537441059898066,0.010308647198381794,0.004390162415802479,0.0026887482730671764,0.0033048537839204073,0.0028123355004936457,0.15482529997825623,0.6354678273200989,0.8164874315261841,0.4889831244945526,0.004390162415802479,0.004950616508722305,0.005445762537419796,0.004390162415802479,0.11309985816478729,0.5348008871078491,0.8273460268974304,0.5348008871078491,0.882271945476532,0.9108573794364929,0.9115862250328064,0.882271945476532,0.0,3.4396529713376367e-07,3.4396529713376367e-07,3.4396529713376367e-07,0.0,0.0,0.0,0.0,0.15482529997825623,0.30095446705818174,0.44402325093746187,0.2667990893125534,0.004390162415802479,0.0026887482730671764,0.0033048537839204073,0.0028123355004936457,0.11309985816478729,0.2976044610142708,0.4384583252668381,0.27281324565410614,0.882271945476532,0.7001259207725525,0.5567047715187072,0.7267841339111328,0.0,5.159479457006455e-08,2.7517223770701093e-08,1.031895891401291e-07,0.0,0.0,0.0,0.0,not_repaired,200.0,0,25,0.15482529997825623,0.5474596679210663,0.718544352054596,0.4494838178157806,0.004390162415802479,0.004446207825094461,0.004888300783932209,0.00421333834528923,0.11309985816478729,0.5208930969238281,0.694651985168457,0.45551950931549073,0.882271945476532,0.8851304888725281,0.8580950617790223,0.8555420517921448,0.0,1.8918091342356995e-07,1.0318958914012935e-07,2.7517223770701095e-07,0.0,0.0,0.0,0.0,sampled,1.0,1.0,1.0,1.0,1572601589972885101,stage5a_audit,1
200.0,0,stage5b1,1,200,bury_bones,0,0.03182212937913871,0.025383194141997335,0.028601148190931965,0.02621822923956493,0.010334538295865059,0.0022376999084713135,0.0026057913296108383,0.0036946918262401596,0.3496609628200531,0.3496609628200531,0.3496609628200531,0.3496609628200531,0.010334538295865059,0.010334538295865059,0.011051701381802559,0.010334538295865059,0.32475948333740234,0.32475948333740234,0.32686108350753784,0.32475948333740234,0.6644178628921509,0.9992853999137878,0.9992853999137878,0.9725162982940674,0.0,1.7198264856688183e-07,1.7198264856688183e-07,1.7198264856688183e-07,0.0,0.0,0.0,0.0,0.3496609628200531,0.09953833601321094,0.09654701530700549,0.1663808848708868,0.010334538295865059,0.0022376999084713135,0.0026057913296108383,0.0036946918262401596,0.32475948333740234,0.08815675032674335,0.0911079272837378,0.1409207232296467,0.6644178628921509,0.9101592183113099,0.9057612609863281,0.8555781960487365,0.0,3.016414422130076e-08,1.8998708208872726e-08,5.159479457006455e-08,0.0,0.0,0.0,0.0,not_repaired,200.0,0,25,0.3496609628200531,0.22879914939403528,0.2711866676807405,0.29594460129737854,0.010334538295865059,0.0045251753181219075,0.008153168112039574,0.007752599194645882,0.32475948333740234,0.1609888166189193,0.2556136429309847,0.25197252035140993,0.6644178628921509,0.990281492471695,0.9990352988243103,0.9503106832504272,0.0,9.459045671178497e-08,6.87930594267528e-08,1.3758611885350547e-07,0.0,0.0,0.0,0.0,sampled,1.0,1.0,1.0,1.0,4305994041105448492,stage5a_audit,1
200.0,0,stage5b1,2,200,bury_bones,0,0.04873334606665823,0.042858698801916936,0.02985707204135816,0.048489031242495394,0.015036949887871742,0.0016469736203362118,0.0030107337613692834,0.0030112804412055993,0.35049521923065186,0.35049521923065186,0.4514980614185333,0.35049521923065186,0.015036949887871742,0.015036949887871742,0.015036949887871742,0.015036949887871742,0.3085556626319885,0.3085556626319885,0.43897998332977295,0.3085556626319885,0.6706803441047668,0.9998365044593811,1.0,0.9998365044593811,3.4396529713376367e-07,3.4396529713376367e-07,0.271176278591156,3.4396529713376367e-07,0.0,0.0,0.0859375,0.0,0.35049521923065186,0.04197822041096515,0.10220403781830101,0.07051673788082553,0.015036949887871742,0.0016469736203362118,0.003037310225845431,0.0030112804412055993,0.3085556626319885,0.03842798933183076,0.10172833496995735,0.06210230157303158,0.6706803441047668,0.9596045136451721,0.9098142981529236,0.933740496635437,3.4396529713376367e-07,3.4430120074424586e-08,0.01975003780418635,6.886024014884917e-08,0.0,0.0,0.00875,0.0,not_repaired,200.0,0,25,0.35049521923065186,0.07730491198599328,0.30828095078468337,0.21068594281096015,0.015036949887871742,0.002520016778726126,0.008663755469024184,0.00902496358194185,0.3085556626319885,0.0793263889849185,0.28662558794021614,0.18543459866195922,0.6706803441047668,0.9995865762233734,1.0,0.9997254252433777,3.4396529713376367e-07,3.4698842962810216e-08,0.05933673009276398,2.0651353972445112e-07,0.0,0.0,0.02812500000000001,0.0,sampled,1.0,1.0,0.99125,1.0,2213890816418165298,stage5a_audit,1
200.0,0,stage5b1,3,200,bury_bones,0,0.16570266214680504,0.12260903086829446,0.09672415012285965,0.12680058555780038,0.021993150367052294,0.007539266003275316,0.006079220849827835,0.011801641283927893,0.06745117157697678,0.17483976483345032,0.17483976483345032,0.17483976483345032,0.02216632477939129,0.02216632477939129,0.02216632477939129,0.02216632477939129,0.13377168774604797,0.15247297286987305,0.16882553696632385,0.15247297286987305,1.0,1.0,1.0,1.0,0.12278743833303452,0.5431469082832336,0.5431469082832336,0.5431469082832336,0.0078125,0.0078125,0.0078125,0.0078125,0.06745117157697678,0.05914051862200722,0.05482977065723389,0.08280311152338982,0.02216632477939129,0.0075510645416216,0.006083022739039734,0.011838637024629861,0.13377168774604797,0.061586528236512096,0.06289042324293405,0.0933642141520977,1.0,0.9623973786830902,0.9436621642112732,0.9568577885627747,0.12278743833303452,0.06659344863521702,0.02663738719330599,0.13318689727043403,0.0078125,0.0015625,0.000625,0.003125,not_repaired,200.0,0,25,0.06745117157697678,0.10794810056686399,0.13634000718593597,0.14439364671707156,0.02216632477939129,0.01626496035605669,0.016928238421678544,0.019543496146798133,0.13377168774604797,0.13564181625843047,0.14490227699279787,0.144992458820343,1.0,1.0,0.9974803328514099,1.0,0.12278743833303452,0.1648233853280543,1.375861188535056e-07,0.375003120303154,0.0078125,0.0078125,0.0,0.0078125,sampled,0.9921875,0.9984375,0.999375,0.996875,7277371303080003562,stage5a_audit,1
200.0,0,stage5b1,4,200,bury_bones,0,0.13860785859132577,0.04798267070344113,0.03343062944974037,0.1250068560179752,0.03039068914949894,0.004311329903657679,0.0048781395908190466,0.007926928595861683,0.2124667763710022,0.284915566444397,0.4687042832374573,0.2124667763710022,0.03039068914949894,0.03039068914949894,0.03039068914949894,0.03039068914949894,0.21925660967826843,0.2373926043510437,0.5390768051147461,0.21925660967826843,0.7516354918479919,0.9984139204025269,0.9984139204025269,0.9984139204025269,1.7198264856688183e-07,1.7198264856688183e-07,3.4396529713376367e-07,1.7198264856688183e-07,0.0,0.0,0.0,0.0,0.2124667763710022,0.09225862415041775,0.13819982088170946,0.059097912861034274,0.03039068914949894,0.004311329903657679,0.0048781395908190466,0.007926928595861683,0.21925660967826843,0.08985181192401796,0.14591826929710805,0.06341195073910058,0.7516354918479919,0.9052494406700134,0.8486092352867126,0.9284486532211303,1.7198264856688183e-07,2.6334843061803782e-08,3.4611508024084966e-08,3.547142126691938e-08,0.0,0.0,0.0,0.0,not_repaired,200.0,0,25,0.2124667763710022,0.21971165537834164,0.2734488666057587,0.15466731488704683,0.03039068914949894,0.011298965103924266,0.009464502148330212,0.021905478462576868,0.21925660967826843,0.22107020914554595,0.2695857465267182,0.1648132622241974,0.7516354918479919,0.9944971442222595,0.9933285236358642,0.9966731309890747,1.7198264856688183e-07,9.459045671178497e-08,1.375861188535056e-07,1.0533937224721514e-07,0.0,0.0,0.0,0.0,sampled,1.0,1.0,1.0,1.0,710571461116592124,stage5a_audit,1
200.0,0,stage5b1,5,200,bury_bones,0,0.05069528563618169,0.05258385673642616,0.0380616323664942,0.05674696156159398,0.00406360300257802,0.004378706459283422,0.003725546006098739,0.008680297806859017,0.0710705891251564,0.282890647649765,0.282890647649765,0.282890647649765,0.00406360300257802,0.014668827876448631,0.014668827876448631,0.014668827876448631,0.08015741407871246,0.28222912549972534,0.28222912549972534,0.28222912549972534,0.9198448657989502,0.9921231865882874,0.9921231865882874,0.92350172996521,4.299566214172046e-08,4.299566214172046e-08,3.4396529713376367e-07,4.299566214172046e-08,0.0,0.0,0.0,0.0,0.0710705891251564,0.08803119705989956,0.10164529711008072,0.16230109408497811,0.00406360300257802,0.004378706459283422,0.003725546006098739,0.008680297806859017,0.08015741407871246,0.08327092630788684,0.09788192924112081,0.1529649794101715,0.9198448657989502,0.9120355308055877,0.8980693054199219,0.8374194264411926,4.299566214172046e-08,4.837011990943551e-09,4.8370119909435516e-08,8.599132428344092e-09,0.0,0.0,0.0,0.0,not_repaired,200.0,0,25,0.0710705891251564,0.22311149090528487,0.2138780802488327,0.25632213354110717,0.00406360300257802,0.009760943613946436,0.009076201915740966,0.012487545982003212,0.08015741407871246,0.1908392637968063,0.18524949848651887,0.2416114091873169,0.9198448657989502,0.9917640924453736,0.9855725765228271,0.922038984298706,4.299566214172046e-08,9.136578205115585e-09,8.599132428344092e-08,2.5797397285032278e-08,0.0,0.0,0.0,0.0,sampled,1.0,1.0,1.0,1.0,4811205265019464882,stage5a_audit,1
200.0,0,stage5b1,6,200,bury_bones,0,0.03999923112910522,0.039726798608704775,0.045830134273029524,0.023336292151664426,0.0027563495095819235,0.00412426105556733,0.0031968387925363577,0.002590566349681467,0.05216823145747185,0.27656352519989014,0.27656352519989014,0.27656352519989014,0.0027563495095819235,0.012607705779373646,0.022404329851269722,0.007264024578034878,0.06891006231307983,0.28248366713523865,0.28248366713523865,0.28248366713523865,0.9252564311027527,1.0,1.0,0.961984395980835,4.299566214172046e-08,0.38797762989997864,0.7472308874130249,8.599132428344092e-08,0.0,0.0234375,0.0234375,0.0,0.05216823145747185,0.10061095058917999,0.0677221100915267,0.09775913953781128,0.0027563495095819235,0.004137189773609861,0.00320786583133156,0.002590566349681467,0.06891006231307983,0.10414103120565414,0.0699946854229347,0.11101019531488418,0.9252564311027527,0.9190038919448853,0.9524586844444275,0.8854045033454895,4.299566214172046e-08,0.05583902099157889,0.07660763412610083,2.5797397285032275e-08,0.0,0.003125,0.0034375,0.0,not_repaired,200.0,0,25,0.05216823145747185,0.149433322250843,0.14695179462432864,0.1965851426124573,0.0027563495095819235,0.007804892864078281,0.007268358021974564,0.005460954550653697,0.06891006231307983,0.15791774988174434,0.1467856675386429,0.21110436618328096,0.9252564311027527,1.0,1.0,0.9523814439773559,4.299566214172046e-08,0.19216896891593926,0.30095155835151705,6.879305942675274e-08,0.0,0.009374999999999994,0.0078125,0.0,sampled,1.0,0.996875,0.9965625,1.0,6786975672317059099,stage5a_audit,1
200.0,0,stage5b1,7,200,bury_bones,0,0.0449902534663571,0.01681727199561001,0.013513112034470963,0.04173591552574693,0.008071132004261017,0.0011643678130894841,0.0013473158489432536,0.0016310493911078083,0.13435879349708557,0.15905547142028809,0.27159878611564636,0.13435879349708557,0.008071132004261017,0.008071132004261017,0.008071132004261017,0.008071132004261017,0.1793973445892334,0.1793973445892334,0.27575063705444336,0.1793973445892334,0.812489926815033,0.9984627962112427,0.9984627962112427,0.9984627962112427,0.0,1.7198264856688183e-07,1.7198264856688183e-07,1.3436144419287643e-09,0.0,0.0,0.0,0.0,0.13435879349708557,0.06601337814936414,0.09786213556770235,0.029778125626035035,0.008071132004261017,0.0011643678130894841,0.0013473158489432536,0.0016310493911078083,0.1793973445892334,0.06923642629990354,0.09970433498267084,0.03908023510593921,0.812489926815033,0.9297621667385101,0.8992135524749756,0.9592777371406556,0.0,2.6066120173418027e-08,2.9344539411724214e-08,5.374457767715058e-10,0.0,0.0,0.0,0.0,not_repaired,200.0,0,25,0.13435879349708557,0.13682846128940582,0.15716871619224548,0.08340113367885352,0.008071132004261017,0.0021265930263325546,0.003556338138878347,0.004857555277703796,0.1793973445892334,0.1558002084493637,0.16367229223251345,0.11055485345423223,0.812489926815033,0.9981913566589355,0.9938448667526245,0.9983421564102173,0.0,9.459045671178497e-08,8.599132428344092e-08,1.3436144419287643e-09,0.0,0.0,0.0,0.0,sampled,1.0,1.0,1.0,1.0,5409970935104386572,stage5a_audit,1
200.0,0,stage5b1,8,200,bury_bones,0,0.1391763923427285,0.03934974406736162,0.04112833292757632,0.045342114384980384,0.026451896876096725,0.006757335462316405,0.004849242382623105,0.010525247850455343,0.15936586260795593,0.4623716175556183,0.4623716175556183,0.4623716175556183,0.026451896876096725,0.026451896876096725,0.026451896876096725,0.026451896876096725,0.19006022810935974,0.4986550807952881,0.4986550807952881,0.4986550807952881,0.7620243430137634,0.976955235004425,1.0,0.9255774617195129,0.0,6.879305942675273e-07,0.06385685503482819,6.879305942675273e-07,0.0,0.0,0.0078125,0.0,0.15936586260795593,0.14978794269263745,0.10962250215467066,0.19651835709810256,0.026451896876096725,0.006757335462316405,0.004850758244574535,0.010525247850455343,0.19006022810935974,0.1717250168323517,0.11794200978474692,0.2321296215057373,0.7620243430137634,0.8165660202503204,0.8787140607833862,0.7501221418380737,0.0,6.879305942675274e-08,0.0025543204217296457,1.3758611885350547e-07,0.0,0.0,0.0003125,0.0,not_repaired,200.0,0,25,0.15936586260795593,0.2127572536468505,0.18069815635681155,0.3411693155765534,0.026451896876096725,0.016652421094477173,0.010950308106839658,0.022096574306488037,0.19006022810935974,0.25425659418106067,0.21842629313468936,0.3900335311889649,0.7620243430137634,0.9307152390480041,0.9974423050880432,0.8808781266212463,0.0,6.879305942675249e-08,2.235774388736901e-07,4.1275835656051645e-07,0.0,0.0,0.0,0.0,sampled,1.0,1.0,0.9996875,1.0,6306670324807881216,stage5a_audit,1
200.0,0,stage5b1,9,200,bury_bones,0,0.031011492090324815,0.022895249525799008,0.015290558713913466,0.03661722966620262,0.0024236212484538555,0.002749645637677105,0.002302968048963089,0.003505829788813344,0.07098788022994995,0.4823043644428253,0.6675119996070862,0.27467265725135803,0.0024236212484538555,0.01341798435896635,0.01341798435896635,0.01341798435896635,0.0781523585319519,0.5270425081253052,0.7156506776809692,0.3556305468082428,0.9179732799530029,1.0,1.0,1.0,0.0,0.00773991271853447,0.00773991271853447,0.00773991271853447,0.0,0.015625,0.015625,0.015625,0.07098788022994995,0.10431895694928243,0.14610058704856782,0.08305067347828299,0.0024236212484538555,0.002753948682493501,0.002304408304153185,0.0035168198508472416,0.0781523585319519,0.12028472017263994,0.1507079203100875,0.09604276136960835,0.9179732799530029,0.8789304435253144,0.8484039330482482,0.9043842315673828,0.0,0.0007740095450098572,0.00030961069730988555,0.001547982543706894,0.0,0.0015625,0.000625,0.003125,not_repaired,200.0,0,25,0.07098788022994995,0.2954358279705047,0.44921143651008616,0.19319874644279483,0.0024236212484538555,0.005658203642815348,0.006590812932699923,0.009020239114761353,0.0781523585319519,0.37277174293994897,0.4584777235984805,0.24463927149772646,0.9179732799530029,0.9988219201564789,0.998163390159607,0.999476408958435,0.0,0.0007741460562371544,1.0748915535430137e-07,0.0046439476311206825,0.0,0.0015624999999999944,0.0,0.009375000000000001,sampled,1.0,0.9984375,0.999375,0.996875,384205664127287465,stage5a_audit,1
