observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,go_to_door,0,go_to_door,0.0010823328320413534,1.0,1.0,0.8588167317211628,0.00014582527474629465,0.002608139602920928,1.0,1.0,0.9946187787174439,0.00032875817866321694
0,go_to_door,1,fetch,0.01599100009769039,,,,0.01599100009769039,0.012433771218638867,,1.0,0.9849460348173474,
0,go_to_door,2,go_to_object,0.016721050971772667,,,,0.016721050971772667,0.037023820154610136,,1.0,0.9599743711550529,
0,go_to_door,3,put_near,0.01643014954260958,,,,0.01643014954260958,0.030023807940127566,,1.0,0.9684166583079445,
0,go_to_door,4,unlock_pickup,0.01677685474579972,,,,0.01677685474579972,0.03475105838258353,,1.0,0.9622962417097193,
0,go_to_door,5,pickup_dist,0.016809999476493764,,,,0.016809999476493764,0.03446346275377161,,1.0,0.9626076056935982,
1,fetch,0,go_to_door,5.365977595542874e-05,,,,5.365977595542874e-05,0.01745247044070338,,1.0,0.9795900951381681,
1,fetch,1,fetch,3.3637034341921224e-08,,,,3.3637034341921224e-08,0.0004302561651952196,,1.0,0.9967597466662969,
1,fetch,2,go_to_object,1.7719438950911295e-05,,,,1.7719438950911295e-05,0.026851020038826966,,1.0,0.970153493654501,
1,fetch,3,put_near,1.3288933752287587e-06,,,,1.3288933752287587e-06,0.0016565373672246194,,1.0,0.9964066015863053,
1,fetch,4,unlock_pickup,4.915452196087891e-05,,,,4.915452196087891e-05,0.015180979559997945,,1.0,0.9818351271629707,
1,fetch,5,pickup_dist,4.65590574876305e-05,,,,4.65590574876305e-05,0.014386150203322495,,1.0,0.9826387848675086,
2,go_to_object,0,go_to_door,0.007322692982483454,,,,0.007322692982483454,0.015584436837164962,,1.0,0.9826894049664371,
2,go_to_object,1,fetch,0.0013417544702501326,,,,0.0013417544702501326,0.0046985240289486845,,1.0,0.9939575900378472,
2,go_to_object,2,go_to_object,0.0007615587509792092,0.9997898276586801,0.9707362082362082,0.8121152172485987,0.0014894102172798088,0.001807126528886298,1.0,1.0,0.9956246457402669,0.0022965288133728673
2,go_to_object,3,put_near,0.005217741328624943,,,,0.005217741328624943,0.0106096707840993,,1.0,0.9893786342474826,
2,go_to_object,4,unlock_pickup,0.00767280199063186,,,,0.00767280199063186,0.015421234949833442,,1.0,0.9825913852831939,
2,go_to_object,5,pickup_dist,0.007652734605523361,,,,0.007652734605523361,0.01530970900621264,,1.0,0.9828770603330469,
3,put_near,0,go_to_door,8.997100029733843e-05,,,,8.997100029733843e-05,0.002397387629688376,,1.0,0.9945996111572379,
3,put_near,1,fetch,1.2947419271597728e-08,,,,1.2947419271597728e-08,0.0008831960287424597,,1.0,0.9961142749479501,
3,put_near,2,go_to_object,6.791837437580299e-05,,,,6.791837437580299e-05,0.0036281094250112476,,1.0,0.993368889361915,
3,put_near,3,put_near,8.55350760664976e-07,,,,8.55350760664976e-07,0.00028331039270552077,,1.0,0.9968377973626156,
3,put_near,4,unlock_pickup,0.00011349016415027834,,,,0.00011349016415027834,0.002546138803262522,,1.0,0.9944508599836638,
3,put_near,5,pickup_dist,0.00010920478563573559,,,,0.00010920478563573559,0.002376156610132444,,1.0,0.9946208421767938,
