event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,1.3318041780507883e-08,0.9821716547012329,0.5770013332366943,0.5463385581970215
0,go_to_door,1,fetch,16,1.1792089082973689e-08,0.982369065284729,0.563694417476654,0.5266207456588745
0,go_to_door,2,go_to_object,16,1.0061262933902526e-08,0.967156171798706,0.5698548555374146,0.5369905829429626
0,go_to_door,3,put_near,16,1.4510622925456573e-08,0.9813148975372314,0.5512166619300842,0.509539008140564
0,go_to_door,4,unlock_pickup,16,1.36877478240649e-08,0.9814560413360596,0.5740067958831787,0.5420423746109009
0,go_to_door,5,pickup_dist,16,1.4585139318512574e-08,0.9814072251319885,0.5701646208763123,0.5366084575653076
2,go_to_object,0,go_to_door,16,3.2630268265165796e-08,0.9937611818313599,0.41521155834198,0.38298720121383667
2,go_to_object,1,fetch,16,2.0812063183939244e-08,0.9925373792648315,0.3994014859199524,0.3662763237953186
2,go_to_object,2,go_to_object,16,1.9132706086111284e-08,0.9912394881248474,0.40311431884765625,0.3704955577850342
2,go_to_object,3,put_near,16,3.373646961790655e-08,0.9935160875320435,0.3849477469921112,0.35125988721847534
2,go_to_object,4,unlock_pickup,16,3.353708422082491e-08,0.9935776591300964,0.41266965866088867,0.38011181354522705
2,go_to_object,5,pickup_dist,16,3.522006153389157e-08,0.9936232566833496,0.40688803791999817,0.3742925524711609
