observed_goal,observed_goal_name,probed_goal,probed_goal_name,states,entropy_mean,entropy_normalized_mean,mean_distribution_mode,mean_distribution_concentration,state_modal_action_concentration
0,go_to_door,0,go_to_door,972,1.9458987712860107,0.9999941529832156,5,0.1434634029865265,0.42386831275720166
0,go_to_door,1,fetch,972,1.945899248123169,0.9999943980290408,5,0.14338654279708862,0.3611111111111111
0,go_to_door,2,go_to_object,972,1.9458999633789062,0.9999947655977786,5,0.14332345128059387,0.3549382716049383
0,go_to_door,3,put_near,972,1.9458993673324585,0.999994459290497,5,0.14336822926998138,0.3497942386831276
0,go_to_door,4,unlock_pickup,972,1.9458990097045898,0.9999942755061282,0,0.1433427482843399,0.3436213991769547
0,go_to_door,5,pickup_dist,972,1.9458988904953003,0.9999942142446718,5,0.14333638548851013,0.3271604938271605
