condition,episodes,goal,horizon,mix_beta,paired_delta_vs_frozen,paired_delta_vs_reward_only,paired_delta_vs_reward_only_ci_high,paired_delta_vs_reward_only_ci_low,paired_harmed_vs_reward_only,paired_improved_vs_reward_only,policy_mode,replicate_success_max,replicate_success_min,replicate_success_std,replicates,success_rate,successes,update_rms_clip,value_correction_clip
frozen,75,kill_goblin,0,0.0,0.0,-0.3333333333333333,-0.17333333333333334,-0.48,34,9,deterministic,0.6,0.2,0.1675974011996871,3,0.4266666666666667,32,0.0,0.0
frozen,75,bury_bones,0,0.0,0.0,-0.3333333333333333,-0.2,-0.4666666666666667,29,4,deterministic,0.84,0.32,0.2124983660067897,3,0.5866666666666667,44,0.0,0.0
frozen,75,chop_logs,0,0.0,0.0,-0.013333333333333334,0.09333333333333334,-0.12,9,8,deterministic,0.84,0.6,0.10498677165349082,3,0.7466666666666667,56,0.0,0.0
reward_only_h15,75,kill_goblin,15,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,deterministic,0.8,0.72,0.03265986323710907,3,0.76,57,0.0,0.0
reward_only_h15,75,bury_bones,15,0.0,0.3333333333333333,0.0,0.0,0.0,0,0,deterministic,0.96,0.88,0.032659863237109024,3,0.92,69,0.0,0.0
reward_only_h15,75,chop_logs,15,0.0,0.013333333333333334,0.0,0.0,0.0,0,0,deterministic,0.84,0.68,0.06531972647421805,3,0.76,57,0.0,0.0
mixed_b005_h15,75,kill_goblin,15,0.05,0.20000000000000004,-0.13333333333333333,0.013333333333333334,-0.28,20,10,deterministic,0.84,0.36,0.19955506062794354,3,0.6266666666666667,47,0.0,0.0
mixed_b005_h15,75,bury_bones,15,0.05,0.32,-0.01333333333333333,0.08,-0.10666666666666667,7,6,deterministic,1.0,0.76,0.1049867716534908,3,0.9066666666666666,68,0.0,0.0
mixed_b005_h15,75,chop_logs,15,0.05,0.10666666666666667,0.09333333333333334,0.2,0.0,4,11,deterministic,0.88,0.8,0.03771236166328251,3,0.8533333333333334,64,0.0,0.0
mixed_b010_h15,75,kill_goblin,15,0.1,0.24,-0.09333333333333334,0.04,-0.22666666666666666,17,10,deterministic,0.72,0.6,0.04988876515698589,3,0.6666666666666666,50,0.0,0.0
mixed_b010_h15,75,bury_bones,15,0.1,0.36000000000000004,0.02666666666666667,0.10666666666666667,-0.05333333333333334,4,6,deterministic,1.0,0.88,0.04988876515698588,3,0.9466666666666667,71,0.0,0.0
mixed_b010_h15,75,chop_logs,15,0.1,0.02666666666666667,0.013333333333333334,0.13333333333333333,-0.10666666666666667,10,11,deterministic,0.8,0.76,0.018856180831641284,3,0.7733333333333333,58,0.0,0.0
mixed_b025_h15,75,kill_goblin,15,0.25,0.22666666666666666,-0.10666666666666667,0.02666666666666667,-0.24,18,10,deterministic,0.8,0.4,0.1798765008430939,3,0.6533333333333333,49,0.0,0.0
mixed_b025_h15,75,bury_bones,15,0.25,0.21333333333333335,-0.12000000000000001,-0.013333333333333334,-0.22666666666666666,14,5,deterministic,0.92,0.72,0.08640987597877149,3,0.8,60,0.0,0.0
mixed_b025_h15,75,chop_logs,15,0.25,-0.04,-0.05333333333333332,0.05333333333333334,-0.16,11,7,deterministic,0.84,0.56,0.11469767022723498,3,0.7066666666666667,53,0.0,0.0
mixed_b025_clip050_h15,75,kill_goblin,15,0.25,0.16,-0.17333333333333334,-0.04,-0.30666666666666664,20,7,deterministic,0.84,0.36,0.19686430746977865,3,0.5866666666666667,44,0.0,0.5
mixed_b025_clip050_h15,75,bury_bones,15,0.25,0.20000000000000004,-0.13333333333333333,-0.04,-0.24,13,3,deterministic,0.88,0.72,0.0679869268479038,3,0.7866666666666666,59,0.0,0.5
mixed_b025_clip050_h15,75,chop_logs,15,0.25,0.02666666666666667,0.013333333333333334,0.14666666666666667,-0.12,12,13,deterministic,0.8,0.76,0.018856180831641284,3,0.7733333333333333,58,0.0,0.5
mixed_b025_ucap15e6_h15,75,kill_goblin,15,0.25,0.3466666666666667,0.013333333333333327,0.14666666666666667,-0.13333333333333333,14,15,deterministic,0.92,0.56,0.154344492037203,3,0.7733333333333333,58,1.5e-05,0.0
mixed_b025_ucap15e6_h15,75,bury_bones,15,0.25,0.12,-0.21333333333333335,-0.08,-0.3466666666666667,22,6,deterministic,0.8,0.64,0.0679869268479038,3,0.7066666666666667,53,1.5e-05,0.0
mixed_b025_ucap15e6_h15,75,chop_logs,15,0.25,0.02666666666666667,0.013333333333333334,0.13333333333333333,-0.10666666666666667,10,11,deterministic,0.88,0.64,0.09977753031397177,3,0.7733333333333333,58,1.5e-05,0.0
mixed_b025_h6,75,kill_goblin,6,0.25,0.26666666666666666,-0.06666666666666667,0.05333333333333334,-0.18666666666666668,14,9,deterministic,0.84,0.52,0.13199326582148885,3,0.6933333333333334,52,0.0,0.0
mixed_b025_h6,75,bury_bones,6,0.25,0.05333333333333331,-0.27999999999999997,-0.14666666666666667,-0.41333333333333333,27,6,deterministic,0.92,0.32,0.24657656011875906,3,0.64,48,0.0,0.0
mixed_b025_h6,75,chop_logs,6,0.25,-0.13333333333333333,-0.14666666666666667,0.0,-0.29333333333333333,22,11,deterministic,0.72,0.56,0.07542472332656502,3,0.6133333333333333,46,0.0,0.0
mixed_b100_h15,75,kill_goblin,15,1.0,0.30666666666666664,-0.02666666666666667,0.12,-0.17333333333333334,16,14,deterministic,0.8,0.68,0.04988876515698589,3,0.7333333333333333,55,0.0,0.0
mixed_b100_h15,75,bury_bones,15,1.0,0.28,-0.05333333333333332,0.05333333333333334,-0.16,10,6,deterministic,0.96,0.76,0.082192186706253,3,0.8666666666666667,65,0.0,0.0
mixed_b100_h15,75,chop_logs,15,1.0,-0.17333333333333334,-0.18666666666666668,-0.02666666666666667,-0.3466666666666667,26,12,deterministic,0.72,0.36,0.154344492037203,3,0.5733333333333334,43,0.0,0.0
