committed_updates_per_step,condition,environment_steps,episodes,goal,imagined_transitions_per_step,incremental_compute_saved,mean_success_length,policy_mode,probes_per_step,rejected_updates_per_step,seconds_per_step,success_rate,tentative_updates_per_step
0.9918932065070529,always_reward_only,18503,150,kill_goblin,1904.4349564935417,0.0,81.15306122448979,sampled,0.0,0.0,0.12944074319256663,0.6533333333333333,0.0
0.0,no_ir,21754,150,kill_goblin,0.0,1.0,83.38888888888889,sampled,0.0,0.0,0.11972143094878857,0.48,0.0
0.14447387430772934,virtual_reward_dormant_100,20765,150,kill_goblin,1230.7787141825186,0.003988380400171909,71.43835616438356,sampled,0.2136768601011317,0.06920298579340237,0.1294019788781104,0.4866666666666667,0.2136768601011317
0.2488212236550588,virtual_reward_dormant_25,17603,150,kill_goblin,2239.1456001817874,-0.8110121980791656,71.96938775510205,sampled,0.38874055558711584,0.13991933193205702,0.13732322397921082,0.6533333333333333,0.38874055558711584
0.9924448473859172,always_reward_only,9927,75,kill_goblin,1905.494106980961,0.0,71.3,deterministic,0.0,0.0,0.1294545326019905,0.5333333333333333,0.0
0.0,no_ir,11984,75,kill_goblin,0.0,1.0,81.11538461538461,deterministic,0.0,0.0,0.11976172568306483,0.3466666666666667,0.0
0.12444526627218935,virtual_reward_dormant_100,10816,75,kill_goblin,1086.3905325443786,0.11604255033571309,70.93939393939394,deterministic,0.1886094674556213,0.06416420118343195,0.12832975456720672,0.44,0.1886094674556213
0.2823135249515077,virtual_reward_dormant_25,11342,75,kill_goblin,2466.1047434314937,-1.0130789366469206,90.20588235294117,deterministic,0.4281431846235232,0.14582965967201553,0.13927411112853963,0.4533333333333333,0.4281431846235232
0.9922110291826773,always_reward_only,19258,150,bury_bones,1905.0451760307405,0.0,89.97979797979798,sampled,0.0,0.0,0.12980848084406796,0.66,0.0
0.0,no_ir,23158,150,bury_bones,0.0,1.0,75.14285714285714,sampled,0.0,0.0,0.11981924809591384,0.37333333333333335,0.0
0.09047688706846109,virtual_reward_dormant_100,27344,150,bury_bones,837.7530719719134,0.3450544881363644,83.08333333333333,sampled,0.1454432416617905,0.05496635459332943,0.12636165125127863,0.16,0.1454432416617905
0.2291542288557214,virtual_reward_dormant_25,30150,150,bury_bones,2137.2179104477614,-0.6700908503121055,nan,sampled,0.371044776119403,0.14189054726368158,0.13650217431024408,0.0,0.371044776119403
0.9911284599006388,always_reward_only,8454,75,bury_bones,1902.9666430092263,0.0,64.87755102040816,deterministic,0.0,0.0,0.12942042126212783,0.6533333333333333,0.0
0.0,no_ir,11770,75,bury_bones,0.0,1.0,81.96428571428571,deterministic,0.0,0.0,0.11969524366898224,0.37333333333333335,0.0
0.07622950819672131,virtual_reward_dormant_100,13420,75,bury_bones,724.5067064083457,0.4109805471081237,81.78571428571429,deterministic,0.12578241430700446,0.04955290611028316,0.1254235624541732,0.18666666666666668,0.12578241430700446
0.22534791992260178,virtual_reward_dormant_25,13437,75,bury_bones,2123.188211654387,-0.7734826294765149,90.8,deterministic,0.3686090645233311,0.14326114460072933,0.13694267719900016,0.2,0.3686090645233311
0.9890734265734266,always_reward_only,13728,150,chop_logs,1899.020979020979,0.0,64.28099173553719,sampled,0.0,0.0,0.1296796760016023,0.8066666666666666,0.0
0.0,no_ir,15097,150,chop_logs,0.0,1.0,79.576,sampled,0.0,0.0,0.11961922724786787,0.8333333333333334,0.0
0.10596737263880938,virtual_reward_dormant_100,13976,150,chop_logs,1021.682884945621,0.22251574048959943,73.640625,sampled,0.17737550085861478,0.07140812821980538,0.1274410677975074,0.8533333333333334,0.17737550085861478
0.21671983758700697,virtual_reward_dormant_25,13792,150,chop_logs,2058.5150812064967,-0.5859189160783527,74.16923076923077,sampled,0.357381090487239,0.14066125290023201,0.13557428323065218,0.8666666666666667,0.357381090487239
0.9890734265734266,always_reward_only,6864,75,chop_logs,1899.020979020979,0.0,53.375,deterministic,0.0,0.0,0.13005590502448888,0.7466666666666667,0.0
0.0,no_ir,7299,75,chop_logs,0.0,1.0,72.52459016393442,deterministic,0.0,0.0,0.11951446351323125,0.8133333333333334,0.0
0.11582723060827978,virtual_reward_dormant_100,6691,75,chop_logs,1053.690031385443,0.204842860264428,57.898305084745765,deterministic,0.18293229711552833,0.06710506650724854,0.1278965659940127,0.7866666666666666,0.18293229711552833
0.2304460245636716,virtual_reward_dormant_25,6188,75,chop_logs,2192.113768584357,-0.6367813822020403,69.30882352941177,deterministic,0.38057530704589526,0.15012928248222365,0.13676849872042948,0.9066666666666666,0.38057530704589526
