goal,goal_name,target,bin,count,prediction_mean,target_mean,prediction_min,prediction_max
0,go_to_door,inclusive,0,98,0.5834980607032776,0.11133810877799988,0.14872679114341736,0.7290822267532349
0,go_to_door,inclusive,1,97,0.7358080148696899,0.07716343551874161,0.7291334867477417,0.7407878637313843
0,go_to_door,inclusive,2,97,0.7446209788322449,0.11284102499485016,0.7413103580474854,0.7480882406234741
0,go_to_door,inclusive,3,97,0.7510398030281067,0.12704622745513916,0.7481540441513062,0.754419207572937
0,go_to_door,inclusive,4,97,0.7561661005020142,0.11800101399421692,0.754456639289856,0.7587814331054688
0,go_to_door,inclusive,5,97,0.7605224251747131,0.09528324007987976,0.7588452100753784,0.7630742788314819
0,go_to_door,inclusive,6,97,0.7652526497840881,0.07828846573829651,0.7630798816680908,0.767448902130127
0,go_to_door,inclusive,7,97,0.7721933722496033,0.13930001854896545,0.767454206943512,0.7775923013687134
0,go_to_door,inclusive,8,97,0.7870113849639893,0.18963740766048431,0.7789416313171387,0.8030064105987549
0,go_to_door,inclusive,9,98,0.8496862649917603,0.7750499248504639,0.8031567931175232,0.9239798188209534
0,go_to_door,exclusive,0,98,0.5834980607032776,0.10416463017463684,0.14872679114341736,0.7290822267532349
0,go_to_door,exclusive,1,97,0.7358080148696899,0.07716343551874161,0.7291334867477417,0.7407878637313843
0,go_to_door,exclusive,2,97,0.7446209788322449,0.11284102499485016,0.7413103580474854,0.7480882406234741
0,go_to_door,exclusive,3,97,0.7510398030281067,0.11868539452552795,0.7481540441513062,0.754419207572937
0,go_to_door,exclusive,4,97,0.7561661005020142,0.11800101399421692,0.754456639289856,0.7587814331054688
0,go_to_door,exclusive,5,97,0.7605224251747131,0.09528324007987976,0.7588452100753784,0.7630742788314819
0,go_to_door,exclusive,6,97,0.7652526497840881,0.07076269388198853,0.7630798816680908,0.767448902130127
0,go_to_door,exclusive,7,97,0.7721933722496033,0.13084641098976135,0.767454206943512,0.7775923013687134
0,go_to_door,exclusive,8,97,0.7870113849639893,0.1811838001012802,0.7789416313171387,0.8030064105987549
0,go_to_door,exclusive,9,98,0.8496862649917603,0.6701520085334778,0.8031567931175232,0.9239798188209534
