event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,go_to_door,0,go_to_door,16,8.088390472948959e-07,0.8778142929077148,0.06861213594675064,0.06990118324756622
0,go_to_door,1,fetch,16,1.9813484186670394e-07,0.9958672523498535,0.07314494997262955,0.07445424795150757
0,go_to_door,2,go_to_object,16,1.598491849108541e-06,0.7151768207550049,0.06582581996917725,0.06693610548973083
0,go_to_door,3,put_near,16,6.947879001018009e-07,0.874467134475708,0.06885062903165817,0.07022491842508316
0,go_to_door,4,unlock_pickup,16,7.833436939108651e-07,0.8825521469116211,0.06901172548532486,0.07038285583257675
0,go_to_door,5,pickup_dist,16,7.538630484305031e-07,0.869615375995636,0.06925361603498459,0.0703049749135971
1,fetch,0,go_to_door,6,3.731862307176925e-05,0.10582610219717026,0.07133540511131287,0.0728582963347435
1,fetch,1,fetch,6,3.559967444743961e-05,0.48981738090515137,0.0785427987575531,0.08018853515386581
1,fetch,2,go_to_object,6,7.83054856583476e-05,0.005394909530878067,0.06720539182424545,0.06869980692863464
1,fetch,3,put_near,6,4.761053787660785e-05,0.08293759822845459,0.07132678478956223,0.07263630628585815
1,fetch,4,unlock_pickup,6,4.800835813512094e-05,0.094780832529068,0.07089360803365707,0.07284187525510788
1,fetch,5,pickup_dist,6,5.35411927558016e-05,0.07613972574472427,0.07153726369142532,0.0728408619761467
2,go_to_object,0,go_to_door,16,6.292659236351028e-05,0.9005516767501831,0.06893245130777359,0.07030463218688965
2,go_to_object,1,fetch,16,1.4379932508745696e-05,0.9961426258087158,0.07445972412824631,0.07577408850193024
2,go_to_object,2,go_to_object,16,0.00016785120533313602,0.7519304156303406,0.06574372947216034,0.06661821156740189
2,go_to_object,3,put_near,16,5.799203063361347e-05,0.9003476500511169,0.06909443438053131,0.07022453844547272
2,go_to_object,4,unlock_pickup,16,6.677029887214303e-05,0.9017614722251892,0.06917418539524078,0.0704638659954071
2,go_to_object,5,pickup_dist,16,6.083782864152454e-05,0.8930160999298096,0.06933444738388062,0.07038417458534241
