event_goal,event_goal_name,probed_goal,probed_goal_name,count,reward_mean,continuation_mean,value_mean,slowvalue_mean
0,kill_goblin,0,kill_goblin,64,0.7515130043029785,0.05644986033439636,1.5041613578796387,1.4966905117034912
0,kill_goblin,1,bury_bones,64,0.3122888207435608,0.4987330734729767,1.4861013889312744,1.4794704914093018
0,kill_goblin,2,chop_logs,64,0.2826969623565674,0.5480047464370728,1.4347727298736572,1.4279561042785645
0,kill_goblin,3,light_fire,64,0.2231830209493637,0.6040736436843872,1.4487066268920898,1.4415067434310913
0,kill_goblin,4,catch_fish,64,0.22010695934295654,0.6036019921302795,1.4474804401397705,1.4402835369110107
1,bury_bones,0,kill_goblin,64,0.331679105758667,0.5864996910095215,1.4658467769622803,1.4915015697479248
1,bury_bones,1,bury_bones,64,0.9081364870071411,0.07207788527011871,1.5018365383148193,1.5288604497909546
1,bury_bones,2,chop_logs,64,0.26243501901626587,0.643343448638916,1.4327590465545654,1.4570400714874268
1,bury_bones,3,light_fire,64,0.23603001236915588,0.6744855642318726,1.4472315311431885,1.4717748165130615
1,bury_bones,4,catch_fish,64,0.2318534106016159,0.6779251098632812,1.4465751647949219,1.4711052179336548
2,chop_logs,0,kill_goblin,64,0.16485410928726196,0.8429140448570251,0.922658383846283,0.9323484301567078
2,chop_logs,1,bury_bones,64,0.14683514833450317,0.859687089920044,0.9275976419448853,0.9376747608184814
2,chop_logs,2,chop_logs,64,0.6942467093467712,0.19676873087882996,0.9109424352645874,0.9196192622184753
2,chop_logs,3,light_fire,64,0.10157864540815353,0.9200975894927979,0.9190170168876648,0.9285023212432861
2,chop_logs,4,catch_fish,64,0.10078359395265579,0.920215904712677,0.918755829334259,0.9280440807342529
