checkpoint,goal,goal_name,online_bias,online_mae,online_pearson,online_prediction_mean,online_slow_gap_mae,online_slow_gap_max,online_spearman,slow_bias,slow_mae,slow_pearson,slow_prediction_mean,slow_spearman,states,target_mean
strong,0,kill_goblin,1.4207016271170734,1.4207016271170734,0.18181452019486838,1.6182350287286067,0.010909907519817352,0.10783815383911133,0.12083234108769837,1.4255853611822193,1.4255853611822193,0.1751072227797408,1.6231187627937527,0.1170322863458444,16601,0.19753340161153332
strong,1,bury_bones,1.6205254831321914,1.6205254831321914,0.10666417858394532,1.7250161609861956,0.013078113086521626,0.3434131145477295,0.12131780374353784,1.6285591019054326,1.6285591019054326,0.11472847917553426,1.7330497797594369,0.12990425455682153,14622,0.10449067785400419
strong,2,chop_logs,0.5794423843440978,0.601763634254179,0.3066092482060455,0.79434164272284,0.005841320846229792,0.06814205646514893,0.39591268175645244,0.5850977552568195,0.605836885012852,0.3090822709798861,0.7999970136355616,0.3963443926651821,17076,0.21489925837874216
weak,0,kill_goblin,1.7933353776099072,1.7933353776099072,0.048300477139874634,1.9908687792214406,0.010857776738703251,0.1619412899017334,0.0568081023046123,1.7908495817010097,1.7908495817010097,0.05076244254230142,1.988382983312543,0.058303342767939186,16601,0.19753340161153332
weak,1,bury_bones,1.9001901136338506,1.9001901136338506,0.06378068105731106,2.004680791487855,0.01669817790389061,0.3848607540130615,0.1032734719936918,1.912451601182529,1.912451601182529,0.0697053787766954,2.0169422790365332,0.111606494435566,14622,0.10449067785400419
weak,2,chop_logs,1.1422033192095529,1.1422033192095529,0.06101058629215502,1.3571025775882952,0.013551575131714344,0.06260299682617188,0.08182639106926068,1.1555122847815649,1.1555122847815649,0.05132072554710449,1.370411543160307,0.06894676335105364,17076,0.21489925837874216
