actor_bootstrap_mean,actor_minus_recorded_bootstrap,actor_minus_recorded_prior_entropy,actor_minus_recorded_return,actor_minus_recorded_reward_only,actor_prior_entropy_mean,actor_return_mean,actor_reward_only_mean,actor_rows,actual_goal,actual_goal_name,checkpoint,horizon,recorded_bootstrap_mean,recorded_prior_entropy_mean,recorded_return_mean,recorded_reward_only_mean,recorded_rows,relationship
1.5823030153740163,0.19609859370056015,0.04628974234703742,0.11567768643648102,-0.08042090726407915,0.8904048050984298,1.622220075042438,0.03991705966842163,2020,0,kill_goblin,strong,1,1.3862044216734561,0.8441150627513924,1.506542388605957,0.12033796693250078,2020,counterfactual
1.7875113287575,0.4256398220213624,0.0594381919273963,0.2875664903431505,-0.13807333167821217,0.8478755950927734,1.8431778028892198,0.05566647413171959,1664,1,bury_bones,strong,1,1.3618715067361375,0.7884374031653771,1.5556113125460693,0.19373980580993175,1664,counterfactual
0.7996939559890913,0.010493868702129094,0.02680070698261261,0.00888402921440079,-0.0016098394877282068,1.1250445693731308,0.8463292796639936,0.04663532367490241,2048,2,chop_logs,strong,1,0.7892000872869622,1.0982438623905182,0.8374452504495928,0.04824516316263062,2048,counterfactual
1.6070724856519711,0.1952166475053112,0.04451206320583223,0.12073873867248586,-0.07447790883282505,0.8886271259572246,1.6594434690848423,0.05237098343287115,505,0,kill_goblin,strong,1,1.41185583814666,0.8441150627513924,1.5387047304123564,0.1268488922656962,505,factual
1.7645950865070634,0.42953772493513176,0.06034454932579625,0.2875003990547842,-0.1420373258803475,0.8487819524911734,1.832548433303694,0.06795334679663077,416,1,bury_bones,strong,1,1.3350573615719317,0.7884374031653771,1.54504803424891,0.2099906726769783,416,factual
0.8001409789443064,0.007755877159908553,0.025965780019760132,0.00793534974088006,0.0001794725809715278,1.1242096424102783,0.8372997777983742,0.03715879885406789,512,2,chop_logs,strong,1,0.7923851017843978,1.0982438623905182,0.8293644280574941,0.036979326273096365,512,factual
1.6963816734467143,0.1333432394910734,0.05837647436543347,0.12602371910849564,-0.007319520382577585,0.8973845627277772,1.6989170340871913,0.0025353606404773135,1504,0,kill_goblin,strong,3,1.563038433955641,0.8390080883623438,1.5728933149786957,0.0098548810230549,1504,counterfactual
1.8991740354197628,0.29964857264561395,0.06916923273693432,0.2621786960605448,-0.037469876585069305,0.8689392225308852,1.9495639949754158,0.05038995955565282,1100,1,bury_bones,strong,3,1.5995254627741489,0.7997699897939509,1.687385298914871,0.08785983614072213,1100,counterfactual
0.8410354078960128,0.011191519276037343,0.03672257447055993,0.015188237049436726,0.003996717773399451,1.1513143260391823,0.853604431217918,0.012569023321905267,1532,2,chop_logs,strong,3,0.8298438886199755,1.1145917515686223,0.8384161941684812,0.008572305548505816,1532,counterfactual
1.726954058927629,0.12711266360800555,0.05529726970385995,0.11861667627377104,-0.00849598733423465,0.8943053580662037,1.732345865516584,0.005391806588954841,376,0,kill_goblin,strong,3,1.5998413953196235,0.8390080883623438,1.613729189242813,0.013887793923189493,376,factual
1.8618787395970386,0.29910712380175397,0.07031797387383198,0.25638714070378565,-0.04271998309796837,0.8700879636677828,1.9226993126180514,0.06082057302101275,275,1,bury_bones,strong,3,1.5627716157952847,0.7997699897939509,1.6663121719142657,0.10354055611898112,275,factual
0.8417748110309202,0.008710590280965214,0.035632022444946676,0.012081398600958249,0.003370808319993095,1.150223774013569,0.8492465735497493,0.007471762518829109,383,2,chop_logs,strong,3,0.833064220749955,1.1145917515686223,0.8371651749487911,0.004100954198836014,383,factual
1.702364822569229,0.14668352073016866,0.06442316558435968,0.13992489468586133,-0.006758626044306879,0.8742963266787959,1.706969811645636,0.004604989076407156,1464,0,kill_goblin,strong,6,1.5556813018390603,0.8098731610944362,1.5670449169597747,0.011363615120714035,1464,counterfactual
1.8785543304334233,0.2609981188800883,0.08196686454690416,0.2289369346588046,-0.03206118422128343,0.8755861089206659,1.9274705619236372,0.04891623149021401,1040,1,bury_bones,strong,6,1.617556211553335,0.7936192443737617,1.6985336272648326,0.08097741571149744,1040,counterfactual
0.8160163820862085,0.00917665777182064,0.05106541581235646,0.020542794838963152,0.01136613706714252,1.1567065757072694,0.8417778269835415,0.02576144489733317,1516,2,chop_logs,strong,6,0.8068397243143879,1.105641159894913,0.8212350321445784,0.01439530783019065,1516,counterfactual
1.7285272106670655,0.13762202793518807,0.06118020464162366,0.12945082594254065,-0.008171201992647311,0.8710533657360598,1.7364465230119603,0.007919312344894708,366,0,kill_goblin,strong,6,1.5909051827318774,0.8098731610944362,1.6069956970694197,0.01609051433754202,366,factual
1.841212517286647,0.2659125910558635,0.08279429490749646,0.22942555900953066,-0.036487032046333065,0.8764135392812582,1.90014998876343,0.05893747147678326,260,1,bury_bones,strong,6,1.5752999262307834,0.7936192443737617,1.6707244297538995,0.09542450352311632,260,factual
0.8325723129921815,0.00980573498099846,0.05105407076020363,0.018832956846721705,0.009027221865723033,1.1566952306551166,0.8495121397236204,0.016939826731438717,379,2,chop_logs,strong,6,0.822766578011183,1.105641159894913,0.8306791828768987,0.007912604865715683,379,factual
1.6852319086527685,0.15296242573126162,0.06724791133657415,0.15039789654577462,-0.0025645291854873124,0.8578664624219969,1.7051218337289424,0.019889925076173525,1316,0,kill_goblin,strong,15,1.5322694829215069,0.7906185510854228,1.5547239371831678,0.022454454261660838,1316,counterfactual
1.8449016349689236,0.2738581154541224,0.08214713252990347,0.265161941501858,-0.008696173952264241,0.8706347895295996,1.9158537288454227,0.07095209387649953,988,1,bury_bones,strong,15,1.5710435195148011,0.7884876569996961,1.6506917873435647,0.07964826782876377,988,counterfactual
0.7527620771018716,-0.003755923438734876,0.07674381385962636,0.026746001845530887,0.03050192528426608,1.1779727074357893,0.8089124434283101,0.056150366326438717,1388,2,chop_logs,strong,15,0.7565180005406065,1.101228893576163,0.7821664415827793,0.025648441042172638,1388,counterfactual
