actual_goal,actual_goal_name,all_action_unique_fraction,bootstrap_abs_mean,bootstrap_fraction,bootstrap_mean,checkpoint,control_scope,first_action_unique_fraction,horizon,imagined_reward_event_posterior_sample_rate,imagined_reward_sum_mean,imagined_stop_posterior_sample_rate,online_slow_start_gap,online_value_final_mean,online_value_start_mean,prior_entropy_mean,proposal,relationship,return_bias_vs_realized,return_max,return_mean,return_p95,reward_only_mean,rows,slow_value_final_mean,slow_value_start_mean
0.0,kill_goblin,0.10655940594059406,1.6070724856519711,0.9605513068308226,1.6070724856519711,strong,all,0.10655940594059406,1.0,0.05013923267326733,0.05237098282189751,0.04521967821782178,-0.005168893051767113,1.694150445602908,1.5757128903181246,0.8886271259572246,actor,factual,nan,1.784266739296253,1.6594434690848423,1.7349989685854081,0.05237098343287115,505.0,1.6976926372783019,1.5808817824514785
1.0,bury_bones,0.08090444711538461,1.7645950865070634,0.9565191188344789,1.7645950865070634,strong,all,0.08090444711538461,1.0,0.06533578725961539,0.06795334670423057,0.061598557692307696,-0.01764087690501653,1.9072673845176513,1.5890735359146044,0.8487819524911734,actor,factual,nan,2.063653885904502,1.832548433303694,1.9824968767627977,0.06795334679663077,416.0,1.9221481326967478,1.6067144183012156
2.0,chop_logs,0.3371124267578125,0.8001409789443064,0.9598326663772794,0.8001409789443064,strong,all,0.3371124267578125,1.0,0.0359649658203125,0.03715879846265999,0.0394134521484375,-0.006690994234304526,0.8414768477668986,0.8367013953393325,1.1242096424102783,actor,factual,nan,1.0267987697161203,0.8372997777983742,0.8890429127203596,0.03715879885406789,512.0,0.8484618248185143,0.843392385635525
0.0,kill_goblin,0.10642017326732674,1.5823030153740163,0.9689605876721527,1.5823030153740163,strong,all,0.10642017326732674,1.0,0.038103341584158415,0.03991705970586917,0.03616568688118812,-0.00720951359138114,1.6533965847279766,1.4999148311886457,0.8904048050984298,actor,counterfactual,nan,1.7477124097108796,1.622220075042438,1.7003989337224255,0.03991705966842163,2020.0,1.6573882914710754,1.5071243409178046
1.0,bury_bones,0.09520545372596154,1.7875113287575,0.9666741114983355,1.7875113287575,strong,all,0.09520545372596154,1.0,0.051832932692307696,0.05566647443381078,0.039583646334134616,-0.014583657190367095,1.8853734679018648,1.5170453453006654,0.8478755950927734,actor,counterfactual,nan,2.075666604240034,1.8431778028892198,1.9910001028817912,0.05566647413171959,1664.0,1.9010986144511173,1.531629005088829
2.0,chop_logs,0.304412841796875,0.7996939559890913,0.9477163711688228,0.7996939559890913,strong,all,0.304412841796875,1.0,0.044910430908203125,0.04663532350679244,0.05335235595703125,-0.011693763802895774,0.8585737842367962,0.9047587543609552,1.1250445693731308,actor,counterfactual,nan,1.0664427751324999,0.8463292796639936,0.9152243684618225,0.04663532367490241,2048.0,0.866449041175656,0.9164525174419396
0.0,kill_goblin,0.08479785478547856,1.6205797324523925,0.9548144642619768,1.6205797324523925,strong,all,0.10655940594059406,3.0,0.0567759900990099,0.07822282064731813,0.04735457920792079,-0.005168893051767113,1.7366549779873084,1.5757128903181246,0.869559239810056,actor,factual,nan,1.8543322076192623,1.6828394128229547,1.7773663816035778,0.06225968037056225,505.0,1.7413938969668776,1.5808817824514785
1.0,bury_bones,0.06939227764423077,1.8173339364969026,0.9513220376583333,1.8173339364969026,strong,all,0.08090444711538461,3.0,0.077880859375,0.09073420320218524,0.07059420072115384,-0.01764087690501653,2.0316578884823966,1.5890735359146044,0.8615476524887177,actor,factual,nan,2.180869426178511,1.8998236789175484,2.082323118029734,0.08248974242064581,416.0,2.0370045363043365,1.6067144183012156
2.0,chop_logs,0.28462727864583337,0.7967701007095509,0.950963749515965,0.7967701007095509,strong,all,0.3371124267578125,3.0,0.0430145263671875,0.04775533442438917,0.0458831787109375,-0.006690994234304526,0.8517615748569369,0.8367013953393325,1.1357482768944465,actor,factual,nan,1.1760318939580907,0.841619981972516,0.9324932922584795,0.04484988126296502,512.0,0.8585652995388955,0.843392385635525
0.0,kill_goblin,0.08791125206270627,1.605010775061584,0.9644205856910978,1.605010775061584,strong,all,0.10642017326732674,3.0,0.04317373143564356,0.05796723398160539,0.03847462871287129,-0.00720951359138114,1.7037858756757018,1.4999148311886457,0.8718547967695954,actor,counterfactual,nan,1.8211763934752407,1.6523012484087434,1.7496430741885125,0.0472904733471595,2020.0,1.7089237084778228,1.5071243409178046
1.0,bury_bones,0.0750153370392628,1.8611724549007191,0.9606877348653106,1.8611724549007191,strong,all,0.09520545372596154,3.0,0.06534987229567307,0.08009408823749836,0.04848538912259615,-0.014583657190367095,2.02630914747715,1.5170453453006654,0.8609027495751014,actor,counterfactual,nan,2.205792085532447,1.9337492391593765,2.0989997601576524,0.07257678425865739,1664.0,2.031656780745834,1.531629005088829
