observed_goal,observed_goal_name,probed_goal,probed_goal_name,reward_mae,reward_auroc,reward_ap,reward_positive_mean,reward_negative_mean,continuation_mae,continuation_auroc,continuation_ap,continuation_positive_mean,continuation_negative_mean
0,kill_goblin,0,kill_goblin,0.0011020148918511397,0.9999943308943581,0.9984988785499169,0.9880696292966604,0.0010566315306662802,0.0026927316599731485,0.9999952757452985,0.9999999817190491,0.996036072740274,0.027253628694325016
0,kill_goblin,1,bury_bones,0.004263285637497357,,,,0.004263285637497357,0.006588271097054456,,1.0,0.9914197741535362,
0,kill_goblin,2,chop_logs,0.003764247592862675,,,,0.003764247592862675,0.00511413351511057,,1.0,0.995163194018175,
0,kill_goblin,3,light_fire,0.004741073945927652,,,,0.004741073945927652,0.006503508073405624,,1.0,0.991909395298166,
0,kill_goblin,4,catch_fish,0.004661689360569018,,,,0.004661689360569018,0.006508849858275654,,1.0,0.9918568579372916,
1,bury_bones,0,kill_goblin,0.005216614147486845,,,,0.005216614147486845,0.00635489560117023,,1.0,0.9915391529836401,
1,bury_bones,1,bury_bones,0.001395545828147881,0.9999216496084627,0.9555476550410119,0.9907728172838688,0.0013602677882899787,0.0027712343830624117,0.9999576049251271,0.9999998114628766,0.9950862865628616,0.007541186031161828
1,bury_bones,2,chop_logs,0.004497610443667882,,,,0.004497610443667882,0.005490670213897791,,1.0,0.9940243126791808,
1,bury_bones,3,light_fire,0.00564724521584175,,,,0.00564724521584175,0.006774007266627195,,1.0,0.9912175419699767,
1,bury_bones,4,catch_fish,0.005592163485684848,,,,0.005592163485684848,0.006754213512281851,,1.0,0.9911956548916588,
2,chop_logs,0,kill_goblin,0.0053473052432106835,,,,0.0053473052432106835,0.01020862296958381,,1.0,0.9870889445113988,
2,chop_logs,1,bury_bones,0.005249788139274064,,,,0.005249788139274064,0.011013234256701282,,1.0,0.9862495591708244,
2,chop_logs,2,chop_logs,0.0010570610687344578,0.9999265224547378,0.9831134562169888,0.9054736953694373,0.0007031512094833954,0.0027754814339225986,0.9999357071478956,0.9999997579860821,0.9959456416969437,0.09704745520934921
2,chop_logs,3,light_fire,0.005511048717999966,,,,0.005511048717999966,0.010488034337394715,,1.0,0.9868262654058237,
2,chop_logs,4,catch_fish,0.005348110700624574,,,,0.005348110700624574,0.010292063931110942,,1.0,0.9870286870410407,
