observed_goal,observed_goal_name,probed_goal,probed_goal_name,count,successes,prediction_mean,success_mean,failure_mean,success_auroc,success_average_precision
0,go_to_door,0,go_to_door,32,16,0.059055447578430176,0.05867273733019829,0.059438154101371765,0.32421875,0.4206240288199706
0,go_to_door,1,fetch,32,16,0.05918438360095024,0.05903065577149391,0.05933811143040657,0.36328125,0.4255022242597205
0,go_to_door,2,go_to_object,32,16,0.0591951459646225,0.05881402641534805,0.059576258063316345,0.31640625,0.4075885577625584
0,go_to_door,3,put_near,32,16,0.05953599512577057,0.05926784127950668,0.059804148972034454,0.359375,0.43479996578203284
0,go_to_door,4,unlock_pickup,32,16,0.059005413204431534,0.05896235257387161,0.059048473834991455,0.48828125,0.4695794062963482
0,go_to_door,5,pickup_dist,32,16,0.05926787853240967,0.059037573635578156,0.05949817970395088,0.30078125,0.4060542937787128
1,fetch,0,go_to_door,30,14,0.059315118938684464,0.059267643839120865,0.059356652200222015,0.4732142857142857,0.47498632180963
1,fetch,1,fetch,30,14,0.05949714407324791,0.05924707651138306,0.059715963900089264,0.36160714285714285,0.3920047655507629
1,fetch,2,go_to_object,30,14,0.059508733451366425,0.059346478432416916,0.059650711715221405,0.41517857142857145,0.42987187473785815
1,fetch,3,put_near,30,14,0.05970847234129906,0.05960177257657051,0.05980183929204941,0.42410714285714285,0.4291455025061226
1,fetch,4,unlock_pickup,30,14,0.059064701199531555,0.05874159187078476,0.05934740975499153,0.39285714285714285,0.41473687343826054
1,fetch,5,pickup_dist,30,14,0.05954742431640625,0.05934355407953262,0.0597258135676384,0.4330357142857143,0.4470861005798894
2,go_to_object,0,go_to_door,16,0,0.05829468369483948,,0.05829468369483948,,
2,go_to_object,1,fetch,16,0,0.058805279433727264,,0.058805279433727264,,
2,go_to_object,2,go_to_object,16,0,0.05881322920322418,,0.05881322920322418,,
2,go_to_object,3,put_near,16,0,0.05911649763584137,,0.05911649763584137,,
2,go_to_object,4,unlock_pickup,16,0,0.058361656963825226,,0.058361656963825226,,
2,go_to_object,5,pickup_dist,16,0,0.05866082012653351,,0.05866082012653351,,
3,put_near,0,go_to_door,16,0,0.0592116080224514,,0.0592116080224514,,
3,put_near,1,fetch,16,0,0.059567686170339584,,0.059567686170339584,,
3,put_near,2,go_to_object,16,0,0.05935432016849518,,0.05935432016849518,,
3,put_near,3,put_near,16,0,0.05965520069003105,,0.05965520069003105,,
3,put_near,4,unlock_pickup,16,0,0.05927665904164314,,0.05927665904164314,,
3,put_near,5,pickup_dist,16,0,0.0595792680978775,,0.0595792680978775,,
